index,ticker,revenue,yearRevenueGrowth,quarterRevenueGrowth,costOfGoodSold,grossProfit,operationExpense,operationProfit,yearOperationProfitGrowth,quarterOperationProfitGrowth,interestExpense,preTaxProfit,postTaxProfit,shareHolderIncome,yearShareHolderIncomeGrowth,quarterShareHolderIncomeGrowth,investProfit,serviceProfit,otherProfit,provisionExpense,operationIncome,ebitda
2023-Q4,AAM,38,-0.109,0.34,-38,0,-3,-3,,,0,-1,0,0,,,,,,,,-2.0
2023-Q3,AAM,28,-0.392,-0.303,-30,-1,-2,-3,,,0,-1,-1,-1,,,,,,,,-2.0
2023-Q2,AAM,40,-0.401,0.334,-39,1,-3,-2,,,0,1,1,1,-0.902,-0.299,,,,,,-1.0
2023-Q1,AAM,30,-0.456,-0.285,-29,1,-2,-1,,,0,1,1,1,-0.41,-0.63,,,,,,0.0
2022-Q4,AAM,42,-0.309,-0.085,-38,4,-3,1,-0.738,0.267,0,4,3,3,-0.225,0.255,,,,,,2.0
2022-Q3,AAM,46,2.37,-0.313,-41,5,-4,1,,-0.884,0,3,3,3,17.677,-0.699,,,,,,2.0
2022-Q2,AAM,68,1.327,0.211,-52,15,-8,7,,,0,9,9,9,,3.223,,,,,,7.0
2022-Q1,AAM,56,0.859,-0.092,-53,3,-4,-1,,,0,2,2,2,,-0.514,,,,,,-1.0
2021-Q4,AAM,61,0.937,3.46,-54,8,-4,4,,,0,4,4,4,,29.239,,,,,,5.0
2021-Q3,AAM,14,-0.433,-0.526,-14,0,-2,-2,,,0,0,0,0,,,,,,,,-1.0
2021-Q2,AAM,29,0.22,-0.032,-30,-1,-4,-5,,,0,-3,-3,-3,,,,,,,,-4.0
2021-Q1,AAM,30,-0.272,-0.054,-29,1,-3,-2,,,0,-1,-1,-1,,,,,,,,-1.0
2020-Q4,AAM,32,-0.524,0.306,-37,-5,-4,-9,,,0,-8,-8,-8,,,,,,,,-8.0
2020-Q3,AAM,24,-0.56,0.02,-25,-1,-4,-5,,,0,-4,-4,-4,,,,,,,,-5.0
2020-Q2,AAM,24,-0.523,-0.423,-23,1,-3,-2,,,0,-1,-1,-1,,,,,,,,-1.0
2020-Q1,AAM,41,-0.079,-0.381,-36,5,-5,0,,,0,1,1,1,-0.789,-0.187,,,,,,1.0
2019-Q4,AAM,67,0.168,0.208,-64,3,-4,-1,,,0,1,1,1,0.748,0.33,,,,,,0.0
2019-Q3,AAM,55,0.079,0.106,-52,3,-3,0,-0.995,-0.88,0,1,1,1,-0.749,-0.834,,,,,,1.0
2019-Q2,AAM,50,-0.041,0.114,-44,6,-6,0,-0.947,-0.977,0,5,4,4,-0.053,0.182,,,,,,1.0
2019-Q1,AAM,45,-0.233,-0.215,-36,9,-6,3,0.044,,0,4,3,3,0.154,5.718,,,,,,4.0
2018-Q4,AAM,57,0.207,0.116,-54,3,-5,-2,,,0,1,0,0,-0.881,-0.809,,,,,,-1.0
2018-Q3,AAM,51,0.033,-0.018,-46,5,-3,2,,0.372,0,3,2,2,,-0.375,,,,,,3.0
2018-Q2,AAM,52,-0.32,-0.109,-48,4,-3,1,,-0.537,0,4,4,4,3.557,0.441,,,,,,2.0
2018-Q1,AAM,58,0.139,0.235,-47,11,-9,3,4.988,3.473,0,3,3,3,4.608,-0.309,,,,,,4.0
2017-Q4,AAM,47,-0.375,-0.045,-43,4,-4,1,,,0,4,4,4,9.825,,,,,,,2.0
2017-Q3,AAM,49,-0.241,-0.353,-51,-1,-3,-4,,,0,-4,-4,-4,,,,,,,,-3.0
2017-Q2,AAM,76,0.189,0.492,-67,9,-11,-1,,,0,1,1,1,0.183,0.773,,,,,,0.0
2017-Q1,AAM,51,-0.267,-0.322,-48,4,-3,0,-0.009,,0,1,0,0,-0.037,0.335,,,,,,1.0
2016-Q4,AAM,76,-0.083,0.16,-72,4,-5,-2,,,0,1,0,0,-0.577,-0.542,,,,,,0.0
2016-Q3,AAM,65,-0.373,0.013,-60,5,-5,1,6.894,,0,1,1,1,0.008,0.091,,,,,,1.0
2016-Q2,AAM,64,-0.308,-0.08,-57,7,-7,-1,,,0,1,1,1,1.655,0.444,,,,,,1.0
2016-Q1,AAM,70,-0.01,-0.152,-65,5,-5,0,-0.475,,0,1,1,1,-0.231,-0.415,,,,,,2.0
2015-Q4,AAM,82,-0.142,-0.206,-77,6,-7,-1,,,0,1,1,1,2.366,0.094,,,,,,2.0
2015-Q3,AAM,104,0.022,0.117,-95,9,-9,0,-0.729,,0,1,1,1,2.107,1.872,,,,,,2.0
2015-Q2,AAM,93,-0.269,0.317,-86,7,-8,-1,,,0,0,0,0,-0.957,-0.582,,,,,,1.0
2015-Q1,AAM,71,-0.383,-0.265,-62,8,-7,1,-0.489,,0,1,1,1,-0.656,1.561,,,,,,3.0
2014-Q4,AAM,96,-0.375,-0.055,-85,11,-12,-1,,,0,1,0,0,-0.936,0.009,,,,,,1.0
2014-Q3,AAM,102,-0.317,-0.201,-96,5,-5,0,-0.828,-0.891,0,0,0,0,-0.869,-0.96,,,,,,2.0
2014-Q2,AAM,127,0.058,0.112,-115,12,-9,3,0.44,0.756,0,8,6,6,2.721,2.34,,,,,,5.0
2014-Q1,AAM,114,0.03,-0.255,-99,15,-13,2,0.141,-0.366,0,2,2,2,0.571,-0.527,,,,,,4.0
2013-Q4,AAM,154,0.131,0.032,-138,16,-13,3,-0.182,0.42,0,5,4,4,1.094,1.083,,,,,,5.0
2013-Q3,AAM,149,0.53,0.238,-134,15,-13,2,3.085,-0.089,0,3,2,2,0.334,0.131,,,,,,4.0
2013-Q2,AAM,120,-0.095,0.083,-102,18,-16,2,2.265,0.391,0,2,2,2,-0.55,0.41,,,,,,4.0
