index,ticker,revenue,yearRevenueGrowth,quarterRevenueGrowth,costOfGoodSold,grossProfit,operationExpense,operationProfit,yearOperationProfitGrowth,quarterOperationProfitGrowth,interestExpense,preTaxProfit,postTaxProfit,shareHolderIncome,yearShareHolderIncomeGrowth,quarterShareHolderIncomeGrowth,investProfit,serviceProfit,otherProfit,provisionExpense,operationIncome,ebitda
2023-Q3,AAT,80,-0.324,-0.504,-70,10,-4,7,0.222,0.131,-6,1,1,1,0.072,,,,,,,7.0
2023-Q2,AAT,162,-0.648,0.282,-152,10,-4,6,-0.949,-0.284,-6,0,0,0,,,,,,,,6.0
2023-Q1,AAT,126,0.1,-0.532,-112,14,-6,8,0.833,-0.064,-6,2,1,1,67.445,0.07,,,,,,8.0
2022-Q4,AAT,269,2.964,1.273,-254,15,-7,9,,0.612,-7,2,1,1,0.286,1.242,,,,,,9.0
2022-Q3,AAT,118,0.173,-0.742,-108,11,-5,5,-0.091,-0.953,-4,1,1,1,-0.753,-0.993,,,,,,5.0
2022-Q2,AAT,460,1.438,3.01,-340,119,-3,116,4.064,24.847,-4,110,88,88,4.538,4124.767,,,,,,116.0
2022-Q1,AAT,115,-0.011,0.688,-105,9,-5,4,-0.664,,-4,0,0,0,-0.998,-0.98,,,,,,4.0
2021-Q4,AAT,68,-0.274,-0.328,-66,2,-2,0,,,-3,2,1,1,-0.691,-0.569,,,,,,
2021-Q3,AAT,101,0.34,-0.465,-89,12,-6,6,-0.119,-0.738,-2,3,2,2,-0.266,-0.845,,,,,,
2021-Q2,AAT,189,1.608,0.628,-162,26,-3,23,5.767,0.717,-3,20,16,16,20.868,0.796,,,,,,23.0
2021-Q1,AAT,116,1.519,0.239,-99,17,-4,13,1.937,0.271,-2,11,9,9,0.083,1.579,,,,,,13.0
2020-Q4,AAT,94,1.822,0.242,-79,14,-4,10,0.436,0.54,-3,5,3,3,0.045,0.021,,,,,,10.0
2020-Q3,AAT,75,0.974,0.042,-67,8,-2,7,-0.202,1.013,-2,4,3,3,0.055,3.621,,,,,,7.0
2020-Q2,AAT,72,-0.404,0.572,-66,7,-3,3,-0.749,-0.255,-2,1,1,1,-0.93,-0.911,,,,,,3.0
2020-Q1,AAT,46,-0.557,0.388,-39,7,-3,5,-0.477,-0.379,-3,10,8,8,0.994,1.487,,,,,,5.0
2019-Q4,AAT,33,-0.763,-0.132,-23,10,-2,7,-0.111,-0.144,0,4,3,3,-0.645,0.031,,,,,,7.0
2019-Q3,AAT,38,-0.505,-0.685,-27,11,-2,9,-0.608,-0.367,-4,4,3,3,-0.77,-0.693,,,,,,9.0
2019-Q2,AAT,121,,0.169,-104,17,-3,13,,0.552,-2,13,10,10,,1.533,,,,,,6.0
2019-Q1,AAT,104,,-0.256,-92,12,-3,9,,0.057,-3,5,4,4,,-0.557,,,,,,16.0
2018-Q4,AAT,140,,0.812,-126,13,-5,8,,-0.623,0,11,9,9,,-0.333,,,,,,8.0
2018-Q3,AAT,77,,,-52,25,-3,22,,,0,18,14,14,,,,,,,,
