index,ticker,revenue,yearRevenueGrowth,quarterRevenueGrowth,costOfGoodSold,grossProfit,operationExpense,operationProfit,yearOperationProfitGrowth,quarterOperationProfitGrowth,interestExpense,preTaxProfit,postTaxProfit,shareHolderIncome,yearShareHolderIncomeGrowth,quarterShareHolderIncomeGrowth,investProfit,serviceProfit,otherProfit,provisionExpense,operationIncome,ebitda
2023-Q3,AAV,0,-0.996,0.081,0,0,-4,-4,,,0,-4,-4,-4,,,,,,,,3.0
2023-Q2,AAV,0,-0.998,-0.993,0,0,-5,-4,,,-3,-5,-5,-5,,,,,,,,-6.0
2023-Q1,AAV,68,-0.212,-0.369,-66,2,-5,-3,,,-3,-3,-3,-3,,,,,,,,0.0
2022-Q4,AAV,108,0.32,-0.016,-102,6,-11,-5,,,-2,-7,-7,-6,,,,,,,,-2.0
2022-Q3,AAV,110,-0.35,-0.427,-99,11,-5,5,-0.608,-0.428,-2,4,3,2,-0.747,-0.538,,,,,,12.0
2022-Q2,AAV,192,0.257,1.218,-175,17,-8,10,-0.44,5.507,-2,9,7,5,-0.531,176.022,,,,,,8.0
2022-Q1,AAV,87,-0.11,0.056,-80,6,-5,1,-0.797,,-1,1,0,0,-0.994,-0.852,,,,,,4.0
2021-Q4,AAV,82,-0.096,-0.515,-77,5,-6,-1,,,-1,0,0,0,-0.969,-0.979,,,,,,5.0
2021-Q3,AAV,169,2.317,0.107,-152,17,-3,14,8.09,-0.182,-1,14,11,9,25.116,-0.145,,,,,,16.0
2021-Q2,AAV,153,0.692,0.57,-135,18,0,17,2.272,1.361,-1,17,13,11,2.785,1.423,,,,,,19.0
2021-Q1,AAV,97,0.059,0.072,-86,11,-3,7,0.079,,-1,7,6,5,0.192,-0.287,,,,,,9.0
2020-Q4,AAV,91,-0.403,0.78,-83,8,-12,-5,,,-1,6,6,6,0.114,16.674,,,,,,-3.0
2020-Q3,AAV,51,-0.677,-0.435,-46,5,-3,2,-0.883,-0.706,-1,1,1,0,-0.962,-0.876,,,,,,3.0
2020-Q2,AAV,90,-0.393,-0.017,-82,9,-3,5,-0.549,-0.221,-1,5,4,3,-0.644,-0.237,,,,,,7.0
2020-Q1,AAV,92,0.034,-0.395,-81,10,-4,7,-0.229,-0.238,-1,6,4,4,-0.398,-0.333,,,,,,9.0
2019-Q4,AAV,152,-0.332,-0.038,-138,13,-5,9,-0.659,-0.329,-1,8,6,6,-0.711,-0.39,,,,,,10.0
2019-Q3,AAV,158,0.14,0.061,-141,17,-4,13,-0.064,0.132,-1,12,10,9,0.216,0.149,,,,,,14.0
2019-Q2,AAV,149,1.059,0.675,-133,16,-4,12,0.783,0.332,-1,11,9,8,0.681,0.29,,,,,,13.0
2019-Q1,AAV,89,1.814,-0.609,-77,11,-3,9,1.406,-0.663,-1,8,7,6,1.905,-0.68,,,,,,10.0
2018-Q4,AAV,227,1.748,0.643,-197,30,-4,26,1.856,0.842,-1,26,21,20,2.078,1.565,,,,,,27.0
2018-Q3,AAV,138,0.759,0.916,-122,17,-3,14,0.953,1.158,-1,11,8,8,0.715,0.588,,,,,,15.0
2018-Q2,AAV,72,0.211,1.289,-63,9,-3,7,-0.23,0.797,-1,7,5,5,0.147,1.228,,,,,,7.0
2018-Q1,AAV,32,0.292,-0.619,-26,6,-2,4,-0.392,-0.6,-1,3,2,2,-0.45,-0.661,,,,,,4.0
2017-Q4,AAV,83,-0.071,0.052,-71,12,-3,9,-0.346,0.26,-1,9,7,6,-0.376,0.429,,,,,,10.0
2017-Q3,AAV,79,0.879,0.319,-69,10,-2,7,3.775,-0.149,-1,6,5,4,3.293,0.062,,,,,,8.0
2017-Q2,AAV,60,,1.442,-48,12,-3,8,,0.418,-1,7,5,4,,0.069,,,,,,10.0
2017-Q1,AAV,24,,-0.726,-17,8,-2,6,,-0.57,0,6,5,4,,-0.615,,,,,,7.0
2016-Q4,AAV,89,,1.126,-73,16,-2,14,,8.198,0,14,11,10,,8.821,,,,,,
2016-Q3,AAV,42,,,-39,3,-1,2,,,0,1,1,1,,,,,,,,
