index,ticker,revenue,yearRevenueGrowth,quarterRevenueGrowth,costOfGoodSold,grossProfit,operationExpense,operationProfit,yearOperationProfitGrowth,quarterOperationProfitGrowth,interestExpense,preTaxProfit,postTaxProfit,shareHolderIncome,yearShareHolderIncomeGrowth,quarterShareHolderIncomeGrowth,investProfit,serviceProfit,otherProfit,provisionExpense,operationIncome,ebitda
2023-Q3,ABC,247,-0.298,0.073,-248,-1,-11,-12,,,-1,-5,-5,-2,,,,,,,,-9.0
2023-Q2,ABC,230,-0.493,-0.084,-230,0,-9,-9,,,-1,-1,-1,0,,,,,,,,-5.0
2023-Q1,ABC,251,-0.286,0.095,-246,5,-7,-2,,,-1,4,3,4,-0.246,-0.995,,,,,,1.0
2022-Q4,ABC,230,-0.81,-0.347,-223,6,736,742,,184.243,-1,749,750,749,,135.744,,,,,,746.0
2022-Q3,ABC,352,0.109,-0.225,-329,23,-19,4,,-0.772,-1,10,6,5,1.348,-0.688,,,,,,8.0
2022-Q2,ABC,454,0.03,0.291,-405,49,-31,18,12.98,2.512,-2,24,16,18,5.912,2.552,,,,,,21.0
2022-Q1,ABC,352,-0.066,-0.709,-327,25,-20,5,1.584,,-2,9,5,5,-0.344,,,,,,,9.0
2021-Q4,ABC,1208,1.674,2.806,-1159,49,-643,-593,,,-6,-581,-585,-583,,,,,,,,-591.0
2021-Q3,ABC,317,-0.67,-0.28,-306,12,-12,-1,,,-2,3,2,2,-0.797,-0.081,,,,,,2.0
2021-Q2,ABC,441,-0.522,0.172,-423,18,-17,1,-0.864,-0.351,-3,3,2,3,-0.78,-0.663,,,,,,3.0
2021-Q1,ABC,377,-0.635,-0.167,-363,13,-11,2,-0.796,-0.648,-1,9,7,8,-0.112,1.016,,,,,,4.0
2020-Q4,ABC,452,-0.527,-0.531,-438,14,-9,5,11.597,0.997,-2,5,3,4,-0.343,-0.674,,,,,,7.0
2020-Q3,ABC,963,0.431,0.042,-948,15,-13,3,-0.669,-0.702,-1,9,8,11,0.598,-0.008,,,,,,3.0
2020-Q2,ABC,924,1.925,-0.105,-900,23,-14,9,3.004,-0.024,0,17,14,12,0.567,0.363,,,,,,10.0
2020-Q1,ABC,1032,1.95,0.08,-1007,25,-15,9,0.788,20.73,-1,14,11,8,0.196,0.493,,,,,,11.0
2019-Q4,ABC,956,1.36,0.42,-938,17,-17,0,-0.905,-0.948,-1,7,6,6,-0.499,-0.208,,,,,,1.0
2019-Q3,ABC,673,5.189,1.13,-655,18,-9,8,5.663,2.599,0,12,10,7,0.161,-0.027,,,,,,9.0
2019-Q2,ABC,316,1.449,-0.097,-303,12,-10,2,11.451,-0.564,0,9,7,7,1.15,0.041,,,,,,3.0
2019-Q1,ABC,350,0.479,-0.136,-335,15,-9,5,,0.15,-1,10,9,7,1.657,-0.374,,,,,,6.0
2018-Q4,ABC,405,0.095,2.725,-391,14,-9,5,,2.694,0,15,12,11,1.242,0.834,,,,,,5.0
2018-Q3,ABC,109,-0.667,-0.157,-101,8,-7,1,,5.726,0,7,6,6,0.092,0.802,,,,,,2.0
2018-Q2,ABC,129,-0.909,-0.455,-122,7,-7,0,-0.975,,0,5,4,3,-0.989,0.286,,,,,,1.0
2018-Q1,ABC,237,-0.888,-0.361,-232,5,-7,-2,,,0,3,3,3,-0.196,-0.472,,,,,,-1.0
2017-Q4,ABC,370,-0.815,0.132,-368,2,-8,-5,,,0,6,5,5,-0.78,-0.107,,,,,,-4.0
2017-Q3,ABC,327,-0.832,-0.77,-324,3,-6,-3,,,0,7,6,6,-0.755,-0.981,,,,,,-2.0
2017-Q2,ABC,1422,-0.214,-0.328,-1404,18,-10,8,-0.695,1.247,-1,387,305,302,13.573,90.101,,,,,,10.0
2017-Q1,ABC,2115,0.371,0.056,-2095,20,-17,3,-0.844,-0.849,-1,8,6,3,-0.796,-0.856,,,,,,6.0
2016-Q4,ABC,2004,0.569,0.028,-1965,39,-17,22,3.072,-0.095,-1,32,25,23,-0.64,-0.004,,,,,,24.0
2016-Q3,ABC,1950,0.792,0.078,-1913,37,-13,24,3.995,-0.007,-1,32,26,23,,0.112,,,,,,25.0
2016-Q2,ABC,1810,0.939,0.173,-1772,38,-13,25,1.641,0.149,-1,31,25,21,1.711,0.272,,,,,,29.0
2016-Q1,ABC,1543,0.918,0.208,-1511,32,-10,21,1.882,2.942,-1,22,16,16,1.376,-0.745,,,,,,25.0
2015-Q4,ABC,1277,,0.174,-1244,34,-28,5,,0.11,0,71,65,64,,,,,,,,
2015-Q3,ABC,1088,,0.166,-1054,34,-29,5,,-0.475,0,8,1,0,,,,,,,,
2015-Q2,ABC,934,,0.161,-902,32,-23,9,,0.254,0,17,10,8,,0.115,,,,,,
2015-Q1,ABC,804,,,-774,30,-23,7,,,0,12,7,7,,,,,,,,
