index,ticker,revenue,yearRevenueGrowth,quarterRevenueGrowth,costOfGoodSold,grossProfit,operationExpense,operationProfit,yearOperationProfitGrowth,quarterOperationProfitGrowth,interestExpense,preTaxProfit,postTaxProfit,shareHolderIncome,yearShareHolderIncomeGrowth,quarterShareHolderIncomeGrowth,investProfit,serviceProfit,otherProfit,provisionExpense,operationIncome,ebitda
2023-Q3,ABR,6,-0.771,-0.513,0,6,-4,2,-0.799,-0.316,0,8,6,6,-0.33,-0.625,,,,,,0
2023-Q2,ABR,13,-0.46,-0.535,-5,8,-6,3,-0.519,-0.673,0,20,15,15,1.746,0.698,,,,,,4
2023-Q1,ABR,28,0.191,-0.023,-14,14,-6,8,0.427,-0.147,0,12,9,9,0.563,-0.009,,,,,,10
2022-Q4,ABR,29,0.241,0.035,-13,16,-7,9,0.487,0.055,0,12,9,9,0.568,0.063,,,,,,10
2022-Q3,ABR,28,0.248,0.147,-13,15,-6,9,0.973,0.637,0,11,9,9,0.957,0.535,,,,,,8
2022-Q2,ABR,24,0.027,0.027,-13,11,-6,5,0.082,-0.031,0,7,6,6,0.159,-0.033,,,,,,8
2022-Q1,ABR,24,0.076,0.018,-13,11,-6,5,0.39,-0.111,0,8,6,6,0.441,-0.006,,,,,,8
2021-Q4,ABR,23,0.077,0.04,-11,12,-6,6,0.049,0.399,0,8,6,6,-0.036,0.327,,,,,,12
2021-Q3,ABR,22,0.017,-0.056,-12,10,-6,4,2.17,-0.102,0,6,4,4,1.111,-0.091,,,,,,4
2021-Q2,ABR,24,-0.034,0.076,-12,12,-7,5,-0.178,0.245,0,6,5,5,-0.094,0.203,,,,,,7
2021-Q1,ABR,22,-0.281,0.019,-12,10,-6,4,-0.668,-0.329,0,5,4,4,-0.624,-0.335,,,,,,6
2020-Q4,ABR,21,,-0.018,-9,12,-6,6,,3.228,0,8,6,6,25.808,1.905,,,,,,6
2020-Q3,ABR,22,,-0.102,-14,8,-7,1,,-0.767,0,3,2,2,,-0.61,,,,,,0
2020-Q2,ABR,24,,-0.199,-9,15,-9,6,,-0.497,0,8,5,5,,-0.501,,,,,,8
2020-Q1,ABR,30,31.974,,-13,18,-6,12,,,0,14,11,11,303.238,46.393,,,,,,13
2019-Q4,ABR,0,,,0,0,0,0,,,0,0,0,0,,,,,,,,0
2019-Q1,ABR,1,,,-1,0,0,0,,,0,0,0,0,,,,,,,,0
