index,ticker,revenue,yearRevenueGrowth,quarterRevenueGrowth,costOfGoodSold,grossProfit,operationExpense,operationProfit,yearOperationProfitGrowth,quarterOperationProfitGrowth,interestExpense,preTaxProfit,postTaxProfit,shareHolderIncome,yearShareHolderIncomeGrowth,quarterShareHolderIncomeGrowth,investProfit,serviceProfit,otherProfit,provisionExpense,operationIncome,ebitda
2023-Q3,ACB,6209,0.029,-0.006,,,-2868,8424,0.188,0.05,,5035,4038,4038,0.126,0.044,1305,764,147,-521,5556,
2023-Q2,ACB,6246,0.114,0.005,,,-2485,8024,0.159,0.013,,4832,3866,3866,-0.02,-0.065,811,804,163,-706,5538,
2023-Q1,ACB,6215,0.142,-0.037,,,-2508,7920,0.156,-0.001,,5156,4135,4135,0.258,0.441,511,627,567,-256,5413,
2022-Q4,ACB,6454,0.346,0.07,,,-4064,7926,0.327,0.118,,3611,2871,2871,0.182,-0.2,404,927,141,-251,3862,
2022-Q3,ACB,6032,0.334,0.076,,,-2526,7091,0.246,0.024,,4475,3587,3587,0.706,-0.09,68,867,124,-90,4565,
2022-Q2,ACB,5606,0.123,0.03,,,-2276,6923,0.112,0.011,,4914,3943,3943,0.523,0.199,-32,993,356,267,4647,
2022-Q1,ACB,5441,0.173,0.135,,,-2739,6850,0.207,0.147,,4114,3288,3288,0.324,0.354,301,739,369,3,4111,
2021-Q4,ACB,4794,0.086,0.061,,,-2417,5971,0.149,0.049,,3030,2428,2428,-0.047,0.155,361,747,69,-524,3554,
2021-Q3,ACB,4521,0.244,-0.094,,,-2254,5690,0.269,-0.086,,2616,2103,2103,0.014,-0.188,492,636,42,-820,3436,
2021-Q2,ACB,4990,0.604,0.076,,,-1593,6227,0.518,0.097,,3248,2588,2588,0.701,0.042,371,886,-21,-1386,4635,
2021-Q1,ACB,4640,0.357,0.051,,,-1965,5675,0.296,0.092,,3104,2483,2483,0.616,-0.026,362,625,49,-606,3710,
2020-Q4,ACB,4416,0.326,0.215,,,-1764,5195,0.08,0.158,,3185,2550,2550,0.646,0.229,308,406,66,-247,3432,
2020-Q3,ACB,3635,0.202,0.168,,,-1732,4486,0.165,0.093,,2592,2075,2075,0.339,0.363,248,492,111,-162,2754,
2020-Q2,ACB,3112,0.072,-0.09,,,-1768,4102,0.039,-0.063,,1895,1522,1522,-0.007,-0.01,542,427,22,-440,2334,
