index,ticker,revenue,yearRevenueGrowth,quarterRevenueGrowth,costOfGoodSold,grossProfit,operationExpense,operationProfit,yearOperationProfitGrowth,quarterOperationProfitGrowth,interestExpense,preTaxProfit,postTaxProfit,shareHolderIncome,yearShareHolderIncomeGrowth,quarterShareHolderIncomeGrowth,investProfit,serviceProfit,otherProfit,provisionExpense,operationIncome,ebitda
2023-Q3,APG,38,0.052,-0.721,-41,-3,-4.0,-7.0,,,-1.0,-8,-6,-6,,,,,,,,-7.0
2023-Q2,APG,136,3.81,1.712,-33,103,-2.0,101.0,,1.547,-1.0,94,66,66,,0.549,,,,,,101.0
2023-Q1,APG,50,-0.571,14.387,-6,44,-5.0,40.0,-0.636,,-2.0,44,42,42,-0.455,,,,,,,40.0
2022-Q4,APG,3,-0.988,-0.91,-174,-170,-4.0,-175.0,,,-9.0,-177,-160,-160,,,,,,,,-174.0
2022-Q3,APG,36,-0.381,0.276,-80,-44,-5.0,-49.0,,,0.0,-49,-49,-49,,,,,,,,-49.0
2022-Q2,APG,28,-0.165,-0.758,-126,-98,-5.0,-103.0,,,-1.0,-107,-77,-77,,,,,,,,-102.0
2022-Q1,APG,117,7.839,-0.578,-3,114,-5.0,109.0,9.616,-0.486,-3.0,108,78,78,7.861,-0.59,,,,,,109.0
2021-Q4,APG,277,12.862,3.753,-61,216,-4.0,211.0,10.099,3.06,-1.0,213,190,190,11.03,3.242,,,,,,212.0
2021-Q3,APG,58,6.801,0.72,-4,55,-3.0,52.0,8.162,0.722,0.0,52,45,45,6.895,0.948,,,,,,52.0
2021-Q2,APG,34,5.409,1.562,-1,33,-3.0,30.0,9.025,1.954,-1.0,29,23,23,11.197,1.617,,,,,,30.0
2021-Q1,APG,13,1.668,-0.339,-2,12,-1.0,10.0,3.078,-0.463,0.0,10,9,9,2.506,-0.443,,,,,,11.0
2020-Q4,APG,20,-0.785,1.675,0,20,-1.0,19.0,-0.288,2.352,0.0,19,16,16,-0.208,1.784,,,,,,20.0
2020-Q3,APG,7,-0.55,0.414,-1,7,-1.0,6.0,1.135,0.885,0.0,6,6,6,1.135,2.009,,,,,,6.0
2020-Q2,APG,5,-0.693,0.067,-1,4,-1.0,3.0,,0.202,0.0,3,2,2,,-0.248,,,,,,3.0
2020-Q1,APG,5,0.338,-0.947,-1,4,-1.0,3.0,0.13,-0.906,0.0,3,3,3,0.131,-0.874,,,,,,3.0
2019-Q4,APG,93,7.674,4.593,-65,28,-1.0,27.0,3.638,9.055,0.0,26,20,20,3.25,6.503,,,,,,27.0
2019-Q3,APG,17,2.256,-0.036,-13,4,-1.0,3.0,-0.331,,0.0,3,3,3,-0.331,,,,,,,3.0
2019-Q2,APG,17,2.861,3.646,-17,1,-1.0,-1.0,,,0.0,-1,-1,-1,,,,,,,,-1.0
2019-Q1,APG,4,0.979,-0.654,0,3,-1.0,2.0,250.223,-0.615,0.0,2,2,2,201.33,-0.527,,,,,,2.0
2018-Q4,APG,11,0.345,1.1,-2,9,-3.0,6.0,0.449,0.451,0.0,6,5,5,0.319,0.182,,,,,,6.0
2018-Q3,APG,5,1.739,0.143,0,5,-1.0,4.0,20.573,0.46,0.0,4,4,4,28.641,0.829,,,,,,4.0
2018-Q2,APG,4,-0.493,1.381,0,4,-1.0,3.0,-0.553,307.001,0.0,3,2,2,-0.539,197.105,,,,,,3.0
