index,ticker,revenue,yearRevenueGrowth,quarterRevenueGrowth,costOfGoodSold,grossProfit,operationExpense,operationProfit,yearOperationProfitGrowth,quarterOperationProfitGrowth,interestExpense,preTaxProfit,postTaxProfit,shareHolderIncome,yearShareHolderIncomeGrowth,quarterShareHolderIncomeGrowth,investProfit,serviceProfit,otherProfit,provisionExpense,operationIncome,ebitda
2023-Q3,BID,13783,-0.022,0.017,,,-6044,17887,0.019,0.036,,5893,4728,4583,-0.132,-0.155,1598,1764,741,-5950,11842,
2023-Q2,BID,13547,-0.073,-0.028,,,-6374,17257,-0.048,-0.001,,6951,5550,5426,0.052,-0.008,1001,1674,1035,-3933,10884,
2023-Q1,BID,13936,0.087,-0.041,,,-4832,17278,0.065,-0.023,,6920,5559,5468,0.531,0.306,848,1517,977,-5527,12447,
2022-Q4,BID,14532,0.339,0.031,,,-7578,17680,0.159,0.007,,5381,4262,4186,0.888,-0.207,1346,1441,362,-4721,10102,
2022-Q3,BID,14098,0.155,-0.035,,,-5452,17555,0.151,-0.032,,6673,5354,5278,1.577,0.023,958,1441,1057,-5429,12102,
2022-Q2,BID,14607,0.13,0.139,,,-5196,18131,0.049,0.117,,6490,5200,5158,0.41,0.444,687,1502,1336,-6446,12936,
2022-Q1,BID,12826,0.184,0.182,,,-4322,16227,0.111,0.064,,4514,3638,3571,0.349,0.61,668,1275,1458,-7391,11905,
2021-Q4,BID,10853,0.027,-0.111,,,-6146,15252,-0.015,0.0,,2868,2296,2218,0.355,0.083,1280,1844,1274,-6238,9106,
2021-Q3,BID,12205,0.335,-0.056,,,-5071,15247,0.23,-0.118,,2674,2122,2048,-0.029,-0.44,654,1594,794,-7502,10176,
2021-Q2,BID,12929,0.863,0.194,,,-4108,17292,0.598,0.184,,4664,3739,3659,0.845,0.382,433,1742,2188,-8520,13183,
2021-Q1,BID,10830,0.184,0.025,,,-4037,14605,0.288,-0.057,,3396,2722,2648,0.879,0.618,536,1434,1805,-7173,10569,
2020-Q4,BID,10565,0.101,0.155,,,-6322,15480,0.113,0.249,,2152,1696,1637,-0.453,-0.224,1046,1593,2275,-7006,9158,
2020-Q3,BID,9144,0.045,0.318,,,-3931,12393,0.069,0.145,,2703,2174,2108,0.162,0.063,879,1368,1002,-5758,8461,
2020-Q2,BID,6939,-0.238,-0.242,,,-3958,10823,-0.095,-0.045,,2545,2048,1983,0.158,0.407,1441,1213,1230,-4320,6865,
2020-Q1,BID,9149,0.071,-0.047,,,-3484,11339,0.059,-0.185,,1814,1444,1409,-0.284,-0.529,523,1086,581,-6041,7855,
2019-Q4,BID,9597,0.028,0.097,,,-6551,13907,0.196,0.2,,3848,3020,2990,0.745,0.649,1182,1265,1863,-3507,7355,
2019-Q3,BID,8752,0.074,-0.038,,,-3513,11588,0.066,-0.032,,2319,1874,1814,0.035,0.059,582,1050,1204,-5756,8075,
2019-Q2,BID,9101,0.097,0.065,,,-4218,11966,0.116,0.118,,2188,1746,1713,-0.104,-0.13,648,1092,1124,-5559,7747,
2019-Q1,BID,8545,-0.068,-0.085,,,-2998,10705,-0.051,-0.079,,2521,2025,1969,-0.004,0.149,20,876,1264,-5187,7707,
2018-Q4,BID,9340,0.166,0.146,,,-4878,11624,0.029,0.07,,2218,1725,1714,-0.361,-0.022,318,1009,957,-4528,6747,
2018-Q3,BID,8151,-0.096,-0.018,,,-4242,10866,-0.001,0.013,,2284,1810,1753,0.165,-0.083,624,820,1270,-4340,6624,
2018-Q2,BID,8299,0.155,-0.095,,,-4225,10722,0.189,-0.049,,2485,1985,1913,1.144,-0.033,449,976,998,-4013,6497,
2018-Q1,BID,9166,0.347,0.144,,,-2780,11278,0.43,-0.002,,2486,2021,1978,0.085,-0.262,769,745,598,-6013,8499,
2017-Q4,BID,8009,0.139,-0.112,,,-5025,11299,0.265,0.038,,3245,2750,2682,0.743,0.782,668,846,1776,-3028,6274,
