index,ticker,revenue,yearRevenueGrowth,quarterRevenueGrowth,costOfGoodSold,grossProfit,operationExpense,operationProfit,yearOperationProfitGrowth,quarterOperationProfitGrowth,interestExpense,preTaxProfit,postTaxProfit,shareHolderIncome,yearShareHolderIncomeGrowth,quarterShareHolderIncomeGrowth,investProfit,serviceProfit,otherProfit,provisionExpense,operationIncome,ebitda
2023-Q3,CTG,13087,0.013,0.026,,,-5082,17393,0.004,-0.021,,4871,3895,3863,0.157,-0.258,1081,1815,1410,-7440,12311,
2023-Q2,CTG,12757,0.062,0.007,,,-4743,17772,0.115,0.044,,6550,5264,5203,0.12,0.083,1452,1784,1778,-6478,13029,
2023-Q1,CTG,12666,0.248,-0.014,,,-4314,17018,0.21,-0.013,,5980,4831,4806,0.031,0.128,1331,2001,1020,-6724,12704,
2022-Q4,CTG,12848,0.236,-0.006,,,-6363,17245,0.242,-0.005,,5349,4274,4260,0.459,0.276,1235,1786,1377,-5533,10882,
2022-Q3,CTG,12924,0.309,0.076,,,-4847,17324,0.414,0.087,,4157,3320,3338,0.357,-0.281,697,1465,2238,-8321,12477,
2022-Q2,CTG,12013,0.104,0.184,,,-4272,15941,0.132,0.133,,5785,4681,4645,1.064,-0.004,1256,1560,1111,-5883,11668,
2022-Q1,CTG,10146,-0.047,-0.024,,,-3821,14070,0.089,0.013,,5822,4698,4664,-0.278,0.597,769,1278,1878,-4427,10249,
2021-Q4,CTG,10396,0.011,0.053,,,-5832,13887,0.059,0.133,,3678,2986,2921,-0.455,0.187,864,1158,1469,-4377,8055,
2021-Q3,CTG,9872,0.087,-0.093,,,-3647,12255,0.065,-0.13,,3061,2466,2460,0.053,0.093,864,1154,365,-5548,8609,
2021-Q2,CTG,10879,0.395,0.022,,,-4187,14083,0.412,0.09,,2790,2296,2250,-0.37,-0.652,714,1357,1134,-7106,9896,
2021-Q1,CTG,10642,0.264,0.035,,,-3512,12923,0.209,-0.014,,8060,6471,6462,1.676,0.206,559,1283,439,-1350,9410,
2020-Q4,CTG,10287,0.183,0.133,,,-5713,13110,0.24,0.139,,6706,5384,5356,1.017,1.292,977,1123,723,-690,7396,
2020-Q3,CTG,9078,0.09,0.164,,,-3749,11511,0.109,0.154,,2904,2342,2337,-0.069,-0.346,694,1057,682,-4858,7762,
2020-Q2,CTG,7798,-0.052,-0.074,,,-3282,9975,0.003,-0.066,,4486,3610,3572,1.022,0.479,879,1102,195,-2207,6693,
2020-Q1,CTG,8418,0.059,-0.031,,,-3318,10685,0.109,0.011,,2974,2405,2414,-0.045,-0.091,932,1059,275,-4393,7367,
2019-Q4,CTG,8692,31.884,0.043,,,-5130,10573,4.809,0.019,,3324,2654,2655,,0.057,-26,1009,898,-2120,5444,
2019-Q3,CTG,8330,0.11,0.012,,,-3753,10376,0.117,0.044,,3121,2517,2511,0.342,0.421,697,1092,257,-3502,6623,
2019-Q2,CTG,8227,0.142,0.035,,,-3619,9940,0.169,0.032,,2182,1768,1767,-0.023,-0.301,531,986,196,-4139,6321,
2019-Q1,CTG,7950,0.099,29.075,,,-3238,9632,0.09,4.292,,3153,2539,2528,0.041,,564,969,149,-3242,6394,
2018-Q4,CTG,264,-0.963,-0.965,,,-3385,1820,-0.79,-0.804,,-1037,-849,-833,,,210,785,561,527,-1565,
2018-Q3,CTG,7507,0.167,0.042,,,-3581,9289,0.221,0.093,,2330,1873,1871,-0.04,0.035,452,787,543,-3378,5708,
2018-Q2,CTG,7207,-0.015,-0.004,,,-3663,8502,-0.012,-0.038,,2238,1812,1808,-0.035,-0.255,260,607,428,-2601,4839,
2018-Q1,CTG,7234,0.173,0.011,,,-3455,8835,0.144,0.018,,3028,2441,2429,0.195,0.539,652,592,357,-2351,5379,
2017-Q4,CTG,7156,0.403,0.112,,,-5026,8681,0.401,0.141,,1974,1586,1578,0.01,-0.191,304,572,648,-1681,3655,
2017-Q3,CTG,6432,0.083,-0.121,,,-3369,7607,0.053,-0.116,,2419,1952,1950,0.099,0.041,249,374,552,-1820,4238,
2017-Q2,CTG,7319,0.243,0.187,,,-3560,8608,0.335,0.115,,2270,1882,1873,0.258,-0.078,754,397,138,-2779,5048,
2017-Q1,CTG,6166,0.147,0.209,,,-3114,7723,0.19,0.247,,2544,2039,2032,0.058,0.3,390,512,655,-2065,4609,
2016-Q4,CTG,5101,0.184,-0.141,,,-4144,6194,0.062,-0.143,,1969,1571,1562,0.252,-0.12,405,499,189,-81,2050,
2016-Q3,CTG,5939,0.21,0.009,,,-3047,7227,0.222,0.121,,2212,1779,1775,0.247,0.193,211,394,683,-1968,4181,
2016-Q2,CTG,5886,0.194,0.095,,,-3012,6448,0.123,-0.007,,1868,1491,1488,-0.165,-0.225,107,428,26,-1568,3436,
2016-Q1,CTG,5378,0.146,0.248,,,-2646,6492,0.235,0.113,,2405,1924,1919,0.542,0.538,337,377,400,-1441,3846,
2015-Q4,CTG,4309,-0.01,-0.122,,,-3354,5832,-0.032,-0.013,,1620,1255,1248,-0.137,-0.123,142,396,984,-859,2479,
2015-Q3,CTG,4909,0.089,-0.004,,,-2781,5912,0.147,0.029,,1847,1427,1423,0.141,-0.201,-25,386,642,-1284,3131,
2015-Q2,CTG,4928,0.096,0.05,,,-2403,5744,0.181,0.093,,2315,1787,1781,-0.054,0.431,17,407,392,-1026,3340,
2015-Q1,CTG,4692,0.111,0.078,,,-2182,5256,0.054,-0.128,,1564,1248,1245,0.096,-0.139,108,271,185,-1510,3074,
2014-Q4,CTG,4352,0.004,-0.035,,,-2795,6026,0.153,0.169,,1822,1451,1447,1.904,0.159,156,400,1119,-1409,3232,
