index,ticker,revenue,yearRevenueGrowth,quarterRevenueGrowth,costOfGoodSold,grossProfit,operationExpense,operationProfit,yearOperationProfitGrowth,quarterOperationProfitGrowth,interestExpense,preTaxProfit,postTaxProfit,shareHolderIncome,yearShareHolderIncomeGrowth,quarterShareHolderIncomeGrowth,investProfit,serviceProfit,otherProfit,provisionExpense,operationIncome,ebitda
2023-Q3,FOX,4008,0.074,0.03,-2080,1928,-1254,674,0.055,-0.031,-156,784,628,613,0.114,-0.009,,,,,,1014.0
2023-Q2,FOX,3892,0.079,0.027,-2138,1754,-1058,696,0.034,0.077,-111,790,632,619,0.087,0.068,,,,,,1025.0
2023-Q1,FOX,3790,0.092,-0.034,-2111,1679,-1033,646,0.028,0.077,-67,724,580,579,0.079,0.171,,,,,,963.0
2022-Q4,FOX,3922,0.135,0.051,-2005,1917,-1317,600,0.122,-0.061,-76,649,519,495,0.082,-0.1,,,,,,913.0
2022-Q3,FOX,3731,0.201,0.035,-1921,1809,-1170,639,0.171,-0.05,-90,723,579,550,0.224,-0.034,,,,,,935.0
2022-Q2,FOX,3606,0.126,0.039,-1830,1775,-1102,673,0.144,0.071,-94,744,600,569,0.21,0.06,,,,,,960.0
2022-Q1,FOX,3471,0.187,0.005,-1746,1725,-1096,629,0.198,0.175,-75,701,561,537,0.212,0.174,,,,,,907.0
2021-Q4,FOX,3455,0.095,0.112,-1837,1617,-1082,535,-0.054,-0.02,-62,612,490,457,-0.008,0.018,,,,,,833.0
2021-Q3,FOX,3106,0.081,-0.03,-1692,1414,-868,546,0.101,-0.072,-47,586,468,449,0.122,-0.044,,,,,,824.0
2021-Q2,FOX,3201,0.155,0.094,-1579,1622,-1034,588,0.272,0.121,-53,621,497,470,0.262,0.061,,,,,,866.0
2021-Q1,FOX,2925,0.096,-0.073,-1490,1435,-910,525,0.188,-0.072,-59,576,461,443,0.299,-0.038,,,,,,801.0
2020-Q4,FOX,3155,0.108,0.098,-1522,1633,-1068,565,0.176,0.141,-56,612,494,461,0.214,0.151,,,,,,842.0
2020-Q3,FOX,2872,0.089,0.037,-1421,1452,-956,496,0.068,0.071,-55,524,419,400,0.177,0.075,,,,,,769.0
2020-Q2,FOX,2771,0.091,0.038,-1424,1346,-884,462,0.046,0.047,-63,492,393,372,0.099,0.091,,,,,,732.0
2020-Q1,FOX,2668,0.123,-0.063,-1374,1294,-852,442,0.213,-0.081,-68,447,358,341,0.166,-0.101,,,,,,704.0
2019-Q4,FOX,2846,0.215,0.079,-1445,1401,-920,481,0.478,0.036,-67,514,417,380,0.495,0.116,,,,,,741.0
2019-Q3,FOX,2637,0.153,0.038,-1354,1283,-818,464,0.234,0.05,-57,460,362,340,0.193,0.004,,,,,,725.0
2019-Q2,FOX,2540,0.165,0.069,-1297,1243,-801,442,0.253,0.214,-42,466,373,339,0.315,0.157,,,,,,698.0
2019-Q1,FOX,2375,0.181,0.013,-1245,1130,-766,364,0.088,0.119,-44,368,311,293,0.159,0.153,,,,,,591.0
2018-Q4,FOX,2344,0.137,0.025,-1281,1063,-737,325,0.179,-0.135,-79,361,293,254,0.331,-0.109,,,,,,545.0
2018-Q3,FOX,2287,0.172,0.049,-1194,1093,-717,376,0.2,0.066,-36,396,312,285,0.224,0.106,,,,,,602.0
2018-Q2,FOX,2180,0.155,0.084,-1103,1077,-724,353,0.081,0.054,-30,362,285,258,0.078,0.021,,,,,,599.0
2018-Q1,FOX,2011,0.149,-0.024,-1026,985,-650,335,0.135,0.213,-21,338,269,253,0.206,0.324,,,,,,550.0
2017-Q4,FOX,2061,0.182,0.056,-995,1067,-791,276,-0.14,-0.119,-18,284,232,191,-0.255,-0.181,,,,,,508.0
2017-Q3,FOX,1952,,0.034,-992,960,-646,313,,-0.04,-26,312,259,233,,-0.026,,,,,,514.0
2017-Q2,FOX,1887,,0.078,-996,891,-565,326,,0.106,-39,327,261,239,,0.142,,,,,,522.0
2017-Q1,FOX,1751,,0.003,-954,796,-501,295,,-0.081,-37,294,222,209,,-0.182,,,,,,485.0
2016-Q4,FOX,1745,,,-856,889,-568,321,,,-38,344,292,256,,,,,,,,537.0
2014-Q4,FOX,1214,,0.009,-720,493,-341,153,,-0.304,-8,185,152,150,,-0.193,,,,,,274.0
2014-Q3,FOX,1203,,,-620,583,-363,220,,,-3,232,192,186,,,,,,,,
2012-Q4,FOX,1206,,0.07,-774,432,-256,177,,-0.184,0,187,159,156,,-0.039,,,,,,245.0
2012-Q3,FOX,1126,,,-671,455,-239,216,,,0,227,188,163,,,,,,,,284.0
2009-Q4,FOX,467,,-0.078,-184,283,-200,83,,-0.359,-1,90,87,94,,-0.005,,,,,,201.0
2009-Q3,FOX,507,,,-201,306,-176,130,,,-1,129,104,95,,,,,,,,
