index,ticker,revenue,yearRevenueGrowth,quarterRevenueGrowth,costOfGoodSold,grossProfit,operationExpense,operationProfit,yearOperationProfitGrowth,quarterOperationProfitGrowth,interestExpense,preTaxProfit,postTaxProfit,shareHolderIncome,yearShareHolderIncomeGrowth,quarterShareHolderIncomeGrowth,investProfit,serviceProfit,otherProfit,provisionExpense,operationIncome,ebitda
2023-Q3,FPT,13762,0.234,0.102,-8265,5496,-3208,2289,0.295,0.192,-266,2429,2076,1739,0.196,0.152,,,,,,2846.0
2023-Q2,FPT,12484,0.237,0.069,-7851,4634,-2714,1920,0.215,0.025,-212,2218,1856,1509,0.207,0.01,,,,,,2462.0
2023-Q1,FPT,11681,0.201,-0.104,-7113,4568,-2694,1874,0.323,-0.062,-148,2121,1810,1494,0.206,0.105,,,,,,2384.0
2022-Q4,FPT,13042,0.218,0.17,-7801,5241,-3243,1998,0.367,0.131,-157,1989,1620,1352,0.038,-0.07,,,,,,2498.0
2022-Q3,FPT,11149,0.278,0.104,-6789,4359,-2593,1767,0.284,0.118,-167,2028,1756,1454,0.292,0.162,,,,,,2222.0
2022-Q2,FPT,10096,0.168,0.038,-6253,3843,-2262,1581,0.057,0.117,-177,1858,1562,1251,0.251,0.01,,,,,,2029.0
2022-Q1,FPT,9730,0.283,-0.091,-5777,3953,-2538,1416,0.31,-0.031,-146,1779,1539,1239,0.367,-0.048,,,,,,1846.0
2021-Q4,FPT,10704,0.235,0.227,-6610,4094,-2633,1462,0.163,0.062,-138,1760,1560,1302,0.324,0.157,,,,,,1920.0
2021-Q3,FPT,8725,0.155,0.01,-5474,3251,-1875,1376,0.154,-0.08,-120,1639,1375,1125,0.211,0.125,,,,,,1788.0
2021-Q2,FPT,8642,0.238,0.139,-5202,3440,-1945,1495,0.356,0.384,-125,1539,1260,1000,0.138,0.104,,,,,,1882.0
2021-Q1,FPT,7586,0.144,-0.125,-4692,2895,-1814,1081,0.029,-0.14,-100,1397,1151,906,0.213,-0.078,,,,,,1467.0
2020-Q4,FPT,8667,0.067,0.147,-5196,3471,-2214,1257,0.215,0.054,-99,1447,1253,983,0.298,0.058,,,,,,1646.0
2020-Q3,FPT,7553,0.063,0.082,-4554,2999,-1806,1192,0.0,0.081,-86,1386,1149,929,-0.033,0.057,,,,,,1565.0
2020-Q2,FPT,6980,0.023,0.053,-4258,2722,-1619,1103,0.021,0.05,-101,1285,1084,879,0.11,0.176,,,,,,1471.0
2020-Q1,FPT,6631,0.17,-0.183,-4006,2624,-1574,1050,0.296,0.015,-100,1142,937,747,0.193,-0.013,,,,,,1412.0
2019-Q4,FPT,8120,0.168,0.143,-5049,3071,-2036,1035,0.22,-0.132,-121,1157,972,757,-0.037,-0.211,,,,,,1381.0
2019-Q3,FPT,7104,0.177,0.041,-4322,2783,-1590,1193,0.344,0.104,-101,1368,1160,960,0.324,0.213,,,,,,1539.0
2019-Q2,FPT,6826,0.247,0.205,-4248,2578,-1498,1080,0.503,0.334,-72,1179,986,792,0.332,0.264,,,,,,1413.0
2019-Q1,FPT,5666,0.193,-0.185,-3387,2279,-1469,810,0.223,-0.045,-73,960,794,626,0.23,-0.204,,,,,,1129.0
2018-Q4,FPT,6952,-0.444,0.152,-4381,2571,-1723,848,-0.034,-0.044,-75,1115,926,786,-0.446,0.085,,,,,,1142.0
2018-Q3,FPT,6036,-0.443,0.103,-3740,2296,-1408,887,0.062,0.234,-62,1051,890,725,0.244,0.22,,,,,,1198.0
2018-Q2,FPT,5474,-0.45,0.152,-3474,2001,-1282,719,-0.096,0.085,-55,906,759,594,0.161,0.168,,,,,,1005.0
2018-Q1,FPT,4751,-0.496,-0.62,-2895,1856,-1193,662,0.013,-0.245,-46,781,653,509,0.233,-0.641,,,,,,937.0
2017-Q4,FPT,12496,0.008,0.154,-9645,2850,-1973,878,-0.136,0.051,-70,1940,1567,1420,1.147,1.437,,,,,,1174.0
2017-Q3,FPT,10831,0.11,0.089,-8415,2416,-1581,835,0.053,0.051,-85,882,744,583,0.245,0.139,,,,,,1088.0
2017-Q2,FPT,9947,0.11,0.056,-7515,2432,-1637,795,0.09,0.215,-100,783,670,512,-0.008,0.239,,,,,,1045.0
2017-Q1,FPT,9418,0.112,-0.24,-7343,2076,-1421,654,0.282,-0.356,-113,643,540,413,0.194,-0.375,,,,,,895.0
2016-Q4,FPT,12400,0.187,0.271,-9612,2787,-1771,1016,0.205,0.28,-103,1002,832,661,-0.002,0.413,,,,,,1273.0
2016-Q3,FPT,9755,0.024,0.089,-7539,2217,-1423,793,0.137,0.088,-104,754,667,468,0.202,-0.093,,,,,,1051.0
2016-Q2,FPT,8959,-0.04,0.058,-7025,1934,-1204,729,-0.024,0.429,-107,695,630,516,0.13,0.493,,,,,,940.0
2016-Q1,FPT,8467,-0.02,-0.19,-6780,1686,-1176,510,-0.227,-0.394,-64,563,447,346,-0.186,-0.478,,,,,,718.0
2015-Q4,FPT,10449,-0.319,0.097,-8290,2159,-1316,843,0.333,0.208,-105,882,781,662,0.47,0.702,,,,,,1115.0
2015-Q3,FPT,9527,-0.293,0.021,-7613,1915,-1217,698,0.223,-0.066,-55,618,519,389,0.0,-0.148,,,,,,812.0
2015-Q2,FPT,9329,-0.127,0.08,-7527,1802,-1055,747,0.166,0.132,-66,705,591,457,0.068,0.075,,,,,,930.0
2015-Q1,FPT,8641,-0.205,-0.436,-6952,1690,-1029,660,0.213,0.044,-41,645,547,425,0.175,-0.057,,,,,,823.0
2014-Q4,FPT,15333,0.359,0.138,-13565,1768,-1136,632,0.146,0.109,-92,631,534,451,-0.05,0.158,,,,,,796.0
2014-Q3,FPT,13477,0.123,0.261,-11871,1607,-1036,570,0.034,-0.11,-49,599,504,389,0.177,-0.09,,,,,,708.0
2014-Q2,FPT,10685,0.144,-0.017,-9131,1554,-913,641,-0.059,0.177,-47,645,557,428,-0.039,0.183,,,,,,761.0
2014-Q1,FPT,10867,0.262,-0.037,-9522,1345,-801,544,-0.014,-0.014,-36,582,481,362,0.009,-0.237,,,,,,670.0
2013-Q4,FPT,11283,0.126,-0.06,-9645,1638,-1086,552,-0.034,0.001,-33,676,541,474,0.056,0.434,,,,,,677.0
2013-Q3,FPT,12001,0.216,0.285,-10655,1346,-795,552,0.136,-0.19,-34,563,465,331,-0.023,-0.257,,,,,,665.0
2013-Q2,FPT,9337,-0.034,0.084,-7971,1365,-685,681,0.16,0.233,-30,702,584,445,0.079,0.241,,,,,,779.0
2013-Q1,FPT,8611,-0.037,-0.141,-7418,1193,-641,552,-0.037,-0.034,-36,574,475,358,0.052,-0.202,,,,,,659.0
2012-Q4,FPT,10021,-0.276,0.015,-8510,1511,-940,571,-0.155,0.177,-73,651,545,449,-0.03,0.327,,,,,,669.0
2012-Q3,FPT,9870,-0.027,0.021,-8734,1136,-650,485,-0.161,-0.173,-69,550,452,338,-0.341,-0.179,,,,,,592.0
2012-Q2,FPT,9667,0.036,0.082,-8423,1244,-657,587,-0.106,0.024,-86,627,529,412,-0.008,0.211,,,,,,678.0
2012-Q1,FPT,8937,-0.124,-0.354,-7820,1117,-544,573,-0.115,-0.153,-55,578,460,341,0.148,-0.264,,,,,,677.0
2011-Q4,FPT,13832,0.356,0.364,-12179,1653,-977,676,0.234,0.169,-55,649,580,463,0.523,-0.099,,,,,,761.0
2011-Q3,FPT,10141,-0.195,0.087,-8896,1244,-666,579,0.372,-0.118,-99,662,540,513,0.827,0.236,,,,,,655.0
2011-Q2,FPT,9330,-0.13,-0.085,-8039,1291,-635,656,0.247,0.014,-92,688,553,415,0.07,0.401,,,,,,757.0
2011-Q1,FPT,10199,0.272,0.0,-9038,1161,-513,648,0.431,0.182,-99,516,416,297,0.023,-0.024,,,,,,741.0
2010-Q4,FPT,10199,-0.319,-0.191,-8902,1297,-749,548,0.051,0.299,-86,474,429,304,0.048,0.081,,,,,,915.0
2010-Q3,FPT,12603,0.504,0.175,-11475,1128,-706,422,-0.147,-0.199,-103,462,373,281,-0.128,-0.276,,,,,,696.0
2010-Q2,FPT,10724,0.219,0.338,-9531,1193,-666,527,0.284,0.163,-52,632,505,388,0.674,0.338,,,,,,716.0
2010-Q1,FPT,8018,0.078,-0.465,-7008,1009,-557,453,0.063,-0.132,-74,455,384,290,0.321,0.001,,,,,,549.0
2009-Q4,FPT,14984,0.644,0.789,-13633,1350,-829,522,0.22,0.055,-65,426,368,290,-0.123,-0.1,,,,,,
2009-Q3,FPT,8377,0.122,-0.048,-7327,1050,-556,494,0.708,0.205,-16,485,406,322,1.674,0.389,,,,,,
2009-Q2,FPT,8799,-0.004,0.183,-7864,936,-525,410,-0.173,-0.037,-16,395,315,232,0.15,0.056,,,,,,
2009-Q1,FPT,7439,-0.115,-0.184,-6563,876,-450,426,0.452,-0.004,-13,392,317,220,0.18,-0.336,,,,,,
2008-Q4,FPT,9113,-0.028,0.221,-8097,1016,-589,427,0.232,0.477,-12,406,361,330,0.213,1.743,,,,,,
2008-Q3,FPT,7464,0.197,-0.155,-6743,721,-432,289,1.217,-0.416,-19,212,176,120,0.372,-0.402,,,,,,
2008-Q2,FPT,8830,,0.051,-7869,962,-466,496,,0.69,-28,328,273,202,,0.083,,,,,,
2008-Q1,FPT,8404,0.484,-0.104,-7714,690,-396,293,0.77,-0.154,-22,303,246,186,0.2,-0.317,,,,,,
2007-Q4,FPT,9376,0.313,0.503,-8481,896,-549,347,0.356,1.657,-12,367,313,273,0.193,2.103,,,,,,
2007-Q3,FPT,6238,0.144,,-5758,480,-350,131,0.227,,-10,153,128,88,0.285,,,,,,,
2007-Q1,FPT,5664,,-0.207,-5261,403,-237,166,,-0.352,-10,207,179,155,,-0.321,,,,,,
2006-Q4,FPT,7143,0.503,0.31,-6528,615,-359,256,0.937,1.405,-11,272,240,228,1.353,2.341,,,,,,
2006-Q3,FPT,5452,,,-5118,335,-228,106,,,0,107,93,68,,,,,,,,
2006-Q2,FPT,0,,,0,0,0,0,,,0,0,0,0,,,,,,,,
2006-Q1,FPT,0,,,0,0,0,0,,,0,0,0,0,,,,,,,,
2005-Q4,FPT,4754,,,-4427,327,-195,132,,,-10,124,108,97,,,,,,,,
2005-Q3,FPT,0,,,0,0,0,0,,,0,0,0,0,,,,,,,,
2005-Q2,FPT,0,,,0,0,0,0,,,0,0,0,0,,,,,,,,
2005-Q1,FPT,0,,,0,0,0,0,,,0,0,0,0,,,,,,,,
