index,ticker,revenue,yearRevenueGrowth,quarterRevenueGrowth,costOfGoodSold,grossProfit,operationExpense,operationProfit,yearOperationProfitGrowth,quarterOperationProfitGrowth,interestExpense,preTaxProfit,postTaxProfit,shareHolderIncome,yearShareHolderIncomeGrowth,quarterShareHolderIncomeGrowth,investProfit,serviceProfit,otherProfit,provisionExpense,operationIncome,ebitda
2023-Q3,GAS,22126,-0.091,-0.08,-18445,3682,-998,2684,-0.251,-0.231,-106,3009,2404,2377,-0.215,-0.247,,,,,,3438.0
2023-Q2,GAS,24043,-0.131,0.133,-19700,4343,-853,3490,-0.437,-0.077,-62,3999,3196,3156,-0.38,-0.058,,,,,,4225.0
2023-Q1,GAS,21214,-0.205,-0.038,-16372,4842,-1063,3779,-0.097,-0.015,-62,4267,3417,3350,-0.023,0.031,,,,,,4570.0
2022-Q4,GAS,22052,0.093,-0.094,-17183,4869,-1032,3836,0.626,0.071,-96,4169,3337,3250,0.655,0.073,,,,,,4641.0
2022-Q3,GAS,24329,0.312,-0.12,-19932,4397,-814,3583,0.289,-0.422,-68,3851,3089,3029,0.253,-0.404,,,,,,4358.0
2022-Q2,GAS,27653,0.218,0.036,-20741,6912,-716,6196,1.171,0.481,-91,6401,5141,5086,1.249,0.484,,,,,,6959.0
2022-Q1,GAS,26689,0.519,0.323,-21553,5136,-953,4184,0.756,0.774,-82,4381,3495,3429,0.689,0.746,,,,,,4946.0
2021-Q4,GAS,20177,0.3,0.088,-16650,3527,-1168,2359,0.297,-0.151,-97,2551,2029,1964,0.167,-0.188,,,,,,3157.0
2021-Q3,GAS,18543,0.163,-0.183,-15136,3407,-628,2779,0.242,-0.026,-85,3084,2464,2417,0.195,0.069,,,,,,3592.0
2021-Q2,GAS,22702,0.456,0.292,-18919,3782,-929,2853,0.494,0.198,-70,2933,2301,2262,0.276,0.114,,,,,,3690.0
2021-Q1,GAS,17570,0.028,0.132,-14301,3269,-887,2382,-0.111,0.31,-53,2637,2057,2030,-0.13,0.206,,,,,,3173.0
2020-Q4,GAS,15525,-0.104,-0.026,-12905,2620,-801,1818,-0.457,-0.188,-25,2086,1681,1682,-0.441,-0.169,,,,,,2496.0
2020-Q3,GAS,15937,-0.163,0.022,-13031,2906,-668,2239,-0.319,0.172,-17,2605,2068,2023,-0.298,0.141,,,,,,2848.0
2020-Q2,GAS,15594,-0.234,-0.088,-13075,2519,-610,1909,-0.471,-0.287,-26,2278,1828,1773,-0.413,-0.24,,,,,,2537.0
2020-Q1,GAS,17094,-0.083,-0.013,-13782,3312,-633,2679,-0.23,-0.2,-34,2968,2351,2333,-0.23,-0.224,,,,,,3297.0
2019-Q4,GAS,17318,-0.089,-0.09,-13476,3841,-493,3348,-0.105,0.019,-42,3824,3098,3007,-0.067,0.043,,,,,,3980.0
2019-Q3,GAS,19038,0.033,-0.065,-14708,4330,-1044,3286,-0.144,-0.089,-44,3688,2929,2884,-0.099,-0.045,,,,,,3955.0
2019-Q2,GAS,20353,0.016,0.092,-15880,4473,-867,3606,-0.044,0.036,-54,3812,3068,3020,-0.016,-0.003,,,,,,4293.0
2019-Q1,GAS,18639,0.026,-0.02,-14293,4346,-866,3480,0.094,-0.07,-59,3817,3064,3029,0.162,-0.06,,,,,,4168.0
2018-Q4,GAS,19014,0.113,0.032,-14280,4734,-991,3743,-0.154,-0.026,-100,4074,3273,3223,-0.122,0.007,,,,,,4435.0
2018-Q3,GAS,18426,0.222,-0.08,-13631,4795,-954,3841,0.755,0.018,-107,4063,3266,3201,0.683,0.042,,,,,,4394.0
2018-Q2,GAS,20025,0.24,0.103,-15242,4783,-1011,3772,0.632,0.186,-110,3908,3151,3071,0.677,0.177,,,,,,4616.0
