index,ticker,revenue,yearRevenueGrowth,quarterRevenueGrowth,costOfGoodSold,grossProfit,operationExpense,operationProfit,yearOperationProfitGrowth,quarterOperationProfitGrowth,interestExpense,preTaxProfit,postTaxProfit,shareHolderIncome,yearShareHolderIncomeGrowth,quarterShareHolderIncomeGrowth,investProfit,serviceProfit,otherProfit,provisionExpense,operationIncome,ebitda
2023-Q3,HPG,28484,-0.165,-0.034,-24889,3595,-879,2716,37.08,0.169,-856,2174,2000,2005,,0.373,,,,,,4438.0
2023-Q2,HPG,29496,-0.212,0.109,-26301,3195,-871,2324,-0.591,1.528,-1029,1702,1448,1460,-0.638,2.673,,,,,,3986.0
2023-Q1,HPG,26589,-0.397,0.03,-24912,1676,-757,919,-0.901,,-990,532,383,397,-0.952,,,,,,,2567.0
2022-Q4,HPG,25826,-0.422,-0.243,-26711,-885,-1059,-1944,,,-933,-2079,-1999,-1992,,,,,,,,-222.0
2022-Q3,HPG,34103,-0.118,-0.089,-33103,1001,-929,71,-0.994,-0.987,-837,-1300,-1786,-1774,,,,,,,,1808.0
2022-Q2,HPG,37422,0.066,-0.151,-30882,6540,-856,5683,-0.468,-0.387,-717,4379,4023,4032,-0.585,-0.509,,,,,,7360.0
2022-Q1,HPG,44058,0.413,-0.015,-33950,10108,-841,9268,0.225,0.108,-597,8922,8206,8217,0.178,0.106,,,,,,10945.0
2021-Q4,HPG,44711,0.734,0.156,-35123,9587,-1220,8367,0.45,-0.242,-630,8038,7419,7427,0.601,-0.282,,,,,,9934.0
2021-Q3,HPG,38674,0.567,0.101,-26813,11861,-819,11042,1.346,0.033,-675,10979,10351,10352,1.744,0.065,,,,,,12600.0
2021-Q2,HPG,35118,0.72,0.126,-23641,11477,-785,10692,2.249,0.414,-600,10349,9745,9721,2.544,0.393,,,,,,12200.0
2021-Q1,HPG,31177,0.621,0.209,-22994,8183,-621,7562,1.256,0.311,-622,7690,7006,6978,2.053,0.504,,,,,,9017.0
2020-Q4,HPG,25778,0.434,0.044,-19511,6267,-497,5770,1.346,0.226,-662,5330,4661,4638,1.419,0.229,,,,,,7156.0
2020-Q3,HPG,24686,0.636,0.209,-19516,5169,-462,4707,1.025,0.43,-541,4272,3785,3773,1.15,0.375,,,,,,5889.0
2020-Q2,HPG,20422,0.306,0.062,-16717,3706,-415,3291,0.241,-0.018,-523,3096,2756,2743,0.348,0.2,,,,,,4430.0
2020-Q1,HPG,19233,0.285,0.07,-15470,3763,-411,3352,0.453,0.363,-481,2657,2305,2285,0.269,0.192,,,,,,4444.0
2019-Q4,HPG,17975,0.249,0.191,-15140,2836,-376,2460,0.139,0.058,-270,2285,1923,1917,0.087,0.092,,,,,,3263.0
2019-Q3,HPG,15087,0.063,-0.035,-12385,2702,-377,2325,-0.231,-0.123,-266,2161,1794,1755,-0.269,-0.138,,,,,,2977.0
2019-Q2,HPG,15633,0.096,0.045,-12606,3027,-375,2652,-0.003,0.149,-215,2480,2050,2035,-0.073,0.13,,,,,,3251.0
2019-Q1,HPG,14963,0.151,0.04,-12342,2621,-314,2307,-0.148,0.068,-185,2171,1810,1801,-0.186,0.021,,,,,,2890.0
2018-Q4,HPG,14386,0.129,0.014,-11825,2561,-401,2159,-0.239,-0.286,-145,2037,1767,1764,-0.264,-0.266,,,,,,2737.0
2018-Q3,HPG,14188,0.131,-0.005,-10925,3263,-240,3023,0.165,0.136,-142,2848,2408,2402,0.123,0.094,,,,,,3620.0
2018-Q2,HPG,14261,0.344,0.097,-11380,2881,-221,2660,0.392,-0.017,-135,2577,2202,2196,0.428,-0.007,,,,,,3213.0
2018-Q1,HPG,13001,0.267,0.02,-10035,2966,-258,2707,0.189,-0.046,-118,2608,2223,2211,0.143,-0.077,,,,,,3263.0
2017-Q4,HPG,12745,0.281,0.016,-9554,3191,-352,2839,0.228,0.094,-135,2750,2401,2396,0.229,0.12,,,,,,3400.0
2017-Q3,HPG,12540,0.54,0.182,-9709,2831,-237,2594,0.367,0.357,-131,2488,2140,2139,0.333,0.391,,,,,,3091.0
2017-Q2,HPG,10612,0.319,0.034,-8423,2189,-277,1912,-0.204,-0.161,-130,1808,1539,1538,-0.241,-0.205,,,,,,2396.0
2017-Q1,HPG,10265,0.437,0.032,-7801,2463,-186,2278,0.831,-0.015,-84,2243,1935,1934,0.892,-0.008,,,,,,2750.0
2016-Q4,HPG,9950,0.397,0.222,-7311,2639,-327,2312,1.996,0.219,-63,2253,1950,1949,2.449,0.215,,,,,,2760.0
2016-Q3,HPG,8142,0.189,0.012,-6025,2117,-219,1897,0.438,-0.21,-69,1856,1606,1605,0.555,-0.208,,,,,,2318.0
2016-Q2,HPG,8048,0.052,0.127,-5477,2572,-169,2402,0.599,0.931,-67,2382,2030,2026,0.635,0.982,,,,,,2835.0
2016-Q1,HPG,7142,0.223,0.003,-5712,1431,-187,1244,0.546,0.612,-81,1211,1020,1022,0.575,0.808,,,,,,1598.0
2015-Q4,HPG,7122,0.082,0.04,-5817,1305,-533,772,0.08,-0.415,-77,683,566,565,0.193,-0.452,,,,,,1170.0
2015-Q3,HPG,6845,0.191,-0.105,-5285,1560,-241,1319,0.185,-0.122,-66,1161,1036,1032,0.205,-0.167,,,,,,1616.0
2015-Q2,HPG,7648,0.145,0.31,-5948,1699,-197,1502,0.234,0.867,-52,1408,1252,1239,0.313,0.91,,,,,,1804.0
2015-Q1,HPG,5838,-0.104,-0.113,-4822,1016,-211,805,-0.312,0.126,-58,738,650,649,-0.254,0.37,,,,,,1090.0
2014-Q4,HPG,6582,0.019,0.145,-5547,1034,-320,714,0.028,-0.358,-69,587,496,474,-0.033,-0.447,,,,,,999.0
2014-Q3,HPG,5747,0.37,-0.14,-4417,1330,-217,1113,0.657,-0.085,-79,1025,880,857,0.727,-0.092,,,,,,1392.0
2014-Q2,HPG,6681,0.538,0.025,-5249,1433,-216,1217,0.723,0.041,-81,1087,964,943,0.844,0.084,,,,,,1492.0
2014-Q1,HPG,6515,0.656,0.009,-5126,1390,-221,1169,1.186,0.683,-121,1071,910,870,0.905,0.778,,,,,,1438.0
2013-Q4,HPG,6460,0.525,0.54,-5369,1091,-397,695,1.657,0.034,-124,625,490,490,1.795,-0.013,,,,,,946.0
2013-Q3,HPG,4195,0.043,-0.035,-3538,657,15,672,0.726,-0.049,-79,598,508,496,0.718,-0.03,,,,,,836.0
2013-Q2,HPG,4345,-0.038,0.104,-3509,836,-129,706,0.305,0.321,-78,599,532,512,0.528,0.12,,,,,,860.0
2013-Q1,HPG,3934,-0.037,-0.071,-3243,692,-157,535,0.273,1.046,-81,572,481,457,1.34,1.609,,,,,,686.0
2012-Q4,HPG,4236,-0.044,0.053,-3529,706,-445,261,-0.32,-0.328,-89,217,178,175,0.279,-0.393,,,,,,412.0
2012-Q3,HPG,4022,-0.03,-0.109,-3482,540,-151,389,-0.081,-0.281,-109,353,310,289,1.833,-0.138,,,,,,535.0
2012-Q2,HPG,4515,0.001,0.105,-3831,683,-142,541,-0.169,0.288,-154,391,343,335,-0.269,0.715,,,,,,696.0
2012-Q1,HPG,4086,-0.139,-0.078,-3539,547,-127,420,-0.512,0.094,-176,244,200,195,-0.629,0.426,,,,,,568.0
2011-Q4,HPG,4432,-0.012,0.069,-3862,571,-186,384,-0.428,-0.093,-206,176,143,137,-0.661,0.343,,,,,,558.0
2011-Q3,HPG,4146,0.059,-0.081,-3580,566,-142,423,-0.169,-0.35,-222,153,111,102,-0.686,-0.777,,,,,,647.0
