index,ticker,revenue,yearRevenueGrowth,quarterRevenueGrowth,costOfGoodSold,grossProfit,operationExpense,operationProfit,yearOperationProfitGrowth,quarterOperationProfitGrowth,interestExpense,preTaxProfit,postTaxProfit,shareHolderIncome,yearShareHolderIncomeGrowth,quarterShareHolderIncomeGrowth,investProfit,serviceProfit,otherProfit,provisionExpense,operationIncome,ebitda
2023-Q3,MWG,30288,-0.054,0.028,-24609,5678,-5656,23,-0.987,24.783,-438,182,39,39,-0.957,1.226,,,,,,1029
2023-Q2,MWG,29465,-0.142,0.087,-24024,5441,-5440,1,-1.0,-0.992,-385,130,17,17,-0.985,-0.182,,,,,,797
2023-Q1,MWG,27106,-0.257,-0.114,-21891,5214,-5109,105,-0.943,-0.898,-296,159,21,21,-0.985,-0.966,,,,,,981
2022-Q4,MWG,30588,-0.154,-0.044,-22659,7930,-6896,1034,-0.443,-0.403,-361,933,619,619,-0.604,-0.317,,,,,,2031
2022-Q3,MWG,32012,0.316,-0.068,-24620,7392,-5659,1733,1.056,-0.145,-435,1418,907,906,0.154,-0.198,,,,,,2599
2022-Q2,MWG,34338,0.085,-0.058,-27001,7336,-5308,2028,0.354,0.097,-366,1702,1131,1130,-0.068,-0.218,,,,,,2890
2022-Q1,MWG,36467,0.183,0.009,-28342,8124,-6275,1849,0.093,-0.004,-200,2003,1445,1444,0.08,-0.076,,,,,,2707
2021-Q4,MWG,36138,0.329,0.485,-28763,7375,-5519,1856,0.507,1.201,-187,2050,1563,1562,0.659,0.989,,,,,,2653
2021-Q3,MWG,24333,-0.054,-0.231,-18245,6089,-5246,843,-0.271,-0.437,-164,968,786,785,-0.174,-0.353,,,,,,1591
2021-Q2,MWG,31658,0.204,0.027,-24515,7144,-5646,1498,0.217,-0.115,-170,1626,1214,1213,0.357,-0.093,,,,,,2217
2021-Q1,MWG,30828,0.05,0.134,-23803,7025,-5333,1691,0.059,0.373,-153,1828,1339,1338,0.182,0.421,,,,,,2347
2020-Q4,MWG,27194,0.07,0.058,-20919,6275,-5043,1232,0.07,0.066,-144,1334,942,942,0.096,-0.009,,,,,,1841
2020-Q3,MWG,25714,0.023,-0.022,-19964,5750,-4594,1156,0.045,-0.061,-132,1278,951,951,0.112,0.063,,,,,,1758
2020-Q2,MWG,26286,-0.012,-0.105,-20515,5770,-4539,1231,-0.099,-0.229,-137,1254,894,894,-0.172,-0.21,,,,,,1745
2020-Q1,MWG,29353,0.173,0.155,-23193,6160,-4563,1597,0.179,0.388,-178,1544,1132,1132,0.088,0.316,,,,,,2068
2019-Q4,MWG,25411,0.208,0.011,-20046,5365,-4214,1151,0.253,0.041,-156,1180,860,860,0.242,0.005,,,,,,1586
2019-Q3,MWG,25142,0.203,-0.055,-20202,4941,-3835,1106,0.263,-0.19,-145,1137,856,855,0.321,-0.208,,,,,,1475
2019-Q2,MWG,26604,0.22,0.063,-21855,4748,-3383,1366,0.366,0.008,-134,1396,1080,1079,0.474,0.037,,,,,,1693
