index,ticker,revenue,yearRevenueGrowth,quarterRevenueGrowth,costOfGoodSold,grossProfit,operationExpense,operationProfit,yearOperationProfitGrowth,quarterOperationProfitGrowth,interestExpense,preTaxProfit,postTaxProfit,shareHolderIncome,yearShareHolderIncomeGrowth,quarterShareHolderIncomeGrowth,investProfit,serviceProfit,otherProfit,provisionExpense,operationIncome,ebitda
2023-Q3,PIA,25,-0.012,-0.103,-13,12,-9,3,0.344,-0.476,0,3,2,2,0.333,-0.491,,,,,,3.0
2023-Q2,PIA,28,-0.286,1.205,-13,14,-9,5,0.234,,0,5,5,5,0.338,,,,,,,5.0
2023-Q1,PIA,13,-0.719,-0.837,-6,7,-9,-2,,,0,-2,-2,-2,,,,,,,,-2.0
2022-Q4,PIA,77,0.022,2.057,-55,22,-11,11,0.069,4.716,0,11,9,9,0.054,4.05,,,,,,11.0
2022-Q3,PIA,25,0.807,-0.351,-12,13,-11,2,1.646,-0.519,0,2,2,2,1.307,-0.489,,,,,,2.0
2022-Q2,PIA,39,-0.135,-0.132,-25,14,-10,4,-0.222,0.581,0,4,3,3,-0.211,0.589,,,,,,4.0
2022-Q1,PIA,45,2.567,-0.406,-33,12,-9,3,3.38,-0.754,0,3,2,2,2.194,-0.743,,,,,,3.0
2021-Q4,PIA,75,0.354,4.405,-49,27,-16,10,0.458,13.148,0,11,8,8,0.261,10.059,,,,,,11.0
2021-Q3,PIA,14,-0.354,-0.689,-9,5,-4,1,-0.642,-0.859,0,1,1,1,-0.622,-0.825,,,,,,1.0
2021-Q2,PIA,45,0.506,2.577,-31,13,-8,5,-0.09,7.895,0,5,4,4,-0.103,5.431,,,,,,5.0
2021-Q1,PIA,13,0.689,-0.775,-7,6,-5,1,,-0.918,0,1,1,1,,-0.898,,,,,,1.0
2020-Q4,PIA,56,-0.243,1.578,-35,20,-13,7,-0.34,2.474,0,7,7,7,-0.241,2.318,,,,,,7.0
2020-Q3,PIA,22,-0.148,-0.275,-12,9,-7,2,-0.451,-0.641,0,2,2,2,-0.398,-0.586,,,,,,2.0
2020-Q2,PIA,30,,3.012,-15,15,-9,6,,,0,6,5,5,,,,,,,,6.0
2020-Q1,PIA,7,-0.019,-0.899,-4,3,-3,0,,,0,0,0,0,,,,,,,,0.0
2019-Q4,PIA,73,-0.282,1.903,-50,23,-12,11,-0.219,1.888,0,11,9,9,-0.231,1.633,,,,,,11.0
2019-Q3,PIA,25,0.163,,-12,13,-10,4,-0.083,,0,4,3,3,-0.079,,,,,,,
2019-Q1,PIA,8,0.411,-0.926,-4,3,-3,1,1.324,-0.945,0,1,1,1,0.386,-0.933,,,,,,1.0
2018-Q4,PIA,102,0.359,3.698,-77,26,-12,14,0.205,2.39,0,14,11,11,0.167,2.155,,,,,,14.0
2018-Q3,PIA,22,-0.561,-0.316,-9,12,-8,4,-0.495,-0.062,0,4,4,4,-0.491,-0.036,,,,,,4.0
2018-Q2,PIA,32,0.849,4.935,-21,11,-7,4,5.515,12.306,0,5,4,4,3.507,5.832,,,,,,5.0
2018-Q1,PIA,5,0.268,-0.929,-2,3,-3,0,-0.062,-0.972,0,1,1,1,0.279,-0.944,,,,,,1.0
2017-Q4,PIA,75,,0.517,-51,24,-13,11,,0.421,0,12,10,10,,0.375,,,,,,12.0
2017-Q3,PIA,50,,1.885,-38,11,-3,8,,11.092,0,9,7,7,,7.544,,,,,,8.0
2017-Q2,PIA,17,,3.07,-10,7,-6,1,,0.915,0,1,1,1,,0.938,,,,,,1.0
2017-Q1,PIA,4,,,-1,3,-3,0,,,0,1,0,0,,,,,,,,1.0
