index,ticker,revenue,yearRevenueGrowth,quarterRevenueGrowth,costOfGoodSold,grossProfit,operationExpense,operationProfit,yearOperationProfitGrowth,quarterOperationProfitGrowth,interestExpense,preTaxProfit,postTaxProfit,shareHolderIncome,yearShareHolderIncomeGrowth,quarterShareHolderIncomeGrowth,investProfit,serviceProfit,otherProfit,provisionExpense,operationIncome,ebitda
2023-Q3,PLX,72414,-0.017,0.101,-68635,3780,-3325,454,1.273,-0.397,-226,1180,729,738,6.46,-0.092,,,,,,941
2023-Q2,PLX,65750,-0.226,-0.025,-61819,3931,-3178,753,,0.383,-230,1064,892,813,,0.312,,,,,,1323
2023-Q1,PLX,67432,0.006,-0.14,-63873,3559,-3014,545,0.829,-0.361,-233,838,667,620,1.547,-0.469,,,,,,1075
2022-Q4,PLX,78383,0.588,0.064,-74097,4286,-3433,853,1.036,3.27,-168,1646,1414,1168,0.963,10.805,,,,,,1387
2022-Q3,PLX,73695,1.128,-0.133,-70892,2803,-2603,200,,,-154,313,190,99,0.299,,,,,,,693
2022-Q2,PLX,84983,0.813,0.268,-82526,2456,-2822,-366,,,-170,-270,-134,-27,,,,,,,,201
2022-Q1,PLX,67020,0.752,0.357,-64242,2777,-2479,298,-0.623,-0.289,-155,571,442,243,-0.632,-0.591,,,,,,827
2021-Q4,PLX,49372,0.579,0.426,-46322,3049,-2630,419,-0.556,,-144,829,701,595,-0.363,6.81,,,,,,954
2021-Q3,PLX,34625,0.261,-0.261,-32590,2036,-2074,-38,,,-164,112,80,76,-0.911,-0.949,,,,,,460
2021-Q2,PLX,46869,0.755,0.225,-42642,4227,-2631,1596,2.321,1.019,-150,1828,1594,1498,0.391,1.265,,,,,,2183
2021-Q1,PLX,38247,-0.006,0.223,-34853,3394,-2603,790,,-0.163,-144,1013,736,661,,-0.292,,,,,,1317
2020-Q4,PLX,31277,-0.366,0.139,-27560,3717,-2772,944,-0.128,0.039,-146,1205,1007,933,-0.043,0.094,,,,,,1471
2020-Q3,PLX,27462,-0.435,0.028,-24326,3136,-2228,908,-0.156,0.89,-193,1114,921,853,-0.111,-0.208,,,,,,1405
2020-Q2,PLX,26708,-0.463,-0.306,-23976,2732,-2251,481,-0.683,,-169,782,1121,1077,-0.088,,,,,,,1002
2020-Q1,PLX,38478,-0.083,-0.22,-38028,450,-2165,-1715,,,-201,-1702,-1813,-1893,,,,,,,,-1173
2019-Q4,PLX,49340,0.005,0.014,-45782,3557,-2474,1083,0.275,0.006,-199,1405,1132,975,0.178,0.016,,,,,,1567
2019-Q3,PLX,48640,0.053,-0.021,-45263,3377,-2301,1076,-0.074,-0.289,-173,1311,1112,960,0.191,-0.187,,,,,,1538
2019-Q2,PLX,49701,-0.029,0.184,-46023,3678,-2163,1515,-0.089,0.09,-239,1623,1341,1181,0.002,-0.017,,,,,,2042
2019-Q1,PLX,41961,-0.076,-0.145,-38183,3778,-2388,1390,0.259,0.636,-185,1568,1294,1201,0.337,0.451,,,,,,1878
2018-Q4,PLX,49090,0.136,0.063,-45791,3299,-2449,850,-0.26,-0.269,-226,1125,926,828,-0.101,0.028,,,,,,1332
2018-Q3,PLX,46175,0.206,-0.098,-42849,3326,-2164,1162,0.187,-0.301,-229,1143,891,805,0.042,-0.316,,,,,,1652
2018-Q2,PLX,51200,0.336,0.127,-47167,4033,-2370,1663,1.013,0.506,-205,1616,1291,1178,0.503,0.312,,,,,,2195
2018-Q1,PLX,45430,0.269,0.051,-42220,3211,-2107,1104,-0.034,-0.038,-206,1206,1003,898,-0.091,-0.024,,,,,,1610
2017-Q4,PLX,43224,0.233,0.129,-40161,3063,-1915,1148,-0.395,0.173,-172,1331,1078,921,-0.461,0.191,,,,,,1668
2017-Q3,PLX,38293,0.308,-0.001,-35106,3187,-2208,979,-0.198,0.184,-125,1106,894,773,-0.18,-0.014,,,,,,1460
2017-Q2,PLX,38333,0.228,0.071,-35260,3074,-2247,826,-0.371,-0.277,-145,1090,905,784,-0.204,-0.207,,,,,,1386
2017-Q1,PLX,35801,,0.021,-32619,3182,-2039,1143,,-0.397,-142,1350,1106,989,,-0.421,,,,,,1659
2016-Q4,PLX,35069,,0.198,-30655,4414,-2517,1897,,0.554,-105,2236,1835,1708,,0.812,,,,,,2403
2016-Q3,PLX,29273,,-0.062,-25918,3355,-2134,1221,,-0.071,-140,1267,1060,943,,-0.043,,,,,,1725
2016-Q2,PLX,31215,,,-27806,3410,-2095,1314,,,-146,1425,1136,985,,,,,,,,1817
