index,ticker,revenue,yearRevenueGrowth,quarterRevenueGrowth,costOfGoodSold,grossProfit,operationExpense,operationProfit,yearOperationProfitGrowth,quarterOperationProfitGrowth,interestExpense,preTaxProfit,postTaxProfit,shareHolderIncome,yearShareHolderIncomeGrowth,quarterShareHolderIncomeGrowth,investProfit,serviceProfit,otherProfit,provisionExpense,operationIncome,ebitda
2023-Q3,SAB,7415,-0.141,-0.108,-5182,2233,-1317,916,-0.312,-0.182,-11,1345,1074,1044,-0.222,-0.099,,,,,,1056
2023-Q2,SAB,8312,-0.077,0.338,-5824,2488,-1367,1121,-0.413,0.286,-14,1524,1210,1159,-0.305,0.198,,,,,,1261
2023-Q1,SAB,6214,-0.15,-0.38,-4299,1915,-1044,871,-0.307,-0.129,-18,1252,1004,967,-0.174,-0.073,,,,,,1012
2022-Q4,SAB,10029,0.114,0.161,-7216,2814,-1813,1001,-0.272,-0.248,-14,1360,1076,1043,-0.206,-0.223,,,,,,1141
2022-Q3,SAB,8635,1.016,-0.041,-5941,2694,-1363,1331,2.56,-0.303,-11,1717,1395,1342,2.023,-0.195,,,,,,1473
2022-Q2,SAB,9008,0.247,0.233,-5923,3086,-1177,1909,0.79,0.519,-10,2205,1793,1668,0.67,0.425,,,,,,2052
2022-Q1,SAB,7306,0.247,-0.189,-5129,2177,-920,1257,0.806,-0.085,-11,1532,1236,1171,0.271,-0.109,,,,,,1392
2021-Q4,SAB,9004,0.145,1.103,-6512,2492,-1118,1374,-0.127,2.675,-11,1723,1400,1314,-0.104,1.959,,,,,,1511
2021-Q3,SAB,4282,-0.468,-0.407,-3141,1142,-768,374,-0.753,-0.649,-11,599,472,444,-0.681,-0.555,,,,,,513
2021-Q2,SAB,7226,0.013,0.233,-4963,2263,-1197,1066,-0.112,0.532,-41,1304,1071,999,-0.142,0.085,,,,,,1204
2021-Q1,SAB,5861,0.194,-0.255,-4150,1712,-1016,696,0.068,-0.558,14,1231,986,921,0.315,-0.372,,,,,,840
2020-Q4,SAB,7865,-0.192,-0.023,-5397,2468,-894,1574,0.398,0.04,-16,1872,1534,1466,0.454,0.052,,,,,,1725
2020-Q3,SAB,8052,-0.174,0.129,-5580,2472,-959,1513,0.041,0.26,-13,1822,1470,1393,0.005,0.196,,,,,,1661
2020-Q2,SAB,7135,-0.215,0.454,-4928,2207,-1006,1201,-0.243,0.843,-17,1473,1216,1164,-0.19,0.663,,,,,,1347
2020-Q1,SAB,4909,-0.474,-0.495,-3556,1353,-702,652,-0.511,-0.421,-18,945,717,700,-0.426,-0.306,,,,,,800
