index,ticker,revenue,yearRevenueGrowth,quarterRevenueGrowth,costOfGoodSold,grossProfit,operationExpense,operationProfit,yearOperationProfitGrowth,quarterOperationProfitGrowth,interestExpense,preTaxProfit,postTaxProfit,shareHolderIncome,yearShareHolderIncomeGrowth,quarterShareHolderIncomeGrowth,investProfit,serviceProfit,otherProfit,provisionExpense,operationIncome,ebitda
2023-Q3,SHB,4422,-0.083,0.076,,,-1546,4591,-0.137,-0.098,,2425,2059,2059,-0.205,0.055,119,38,12,-620,3045,
2023-Q2,SHB,4108,-0.02,-0.297,,,-1087,5088,0.093,-0.18,,2464,1951,1951,-0.05,-0.323,776,129,76,-1537,4001,
2023-Q1,SHB,5844,0.384,0.362,,,-1210,6204,0.322,0.319,,3620,2881,2881,0.116,5.021,67,222,70,-1374,4994,
2022-Q4,SHB,4292,-0.101,-0.11,,,-1263,4705,-0.213,-0.115,,624,479,479,-0.49,-0.815,57,247,110,-2819,3442,
2022-Q3,SHB,4821,0.216,0.15,,,-1179,5317,0.141,0.142,,3258,2591,2591,0.733,0.261,111,255,131,-879,4138,
2022-Q2,SHB,4193,-0.101,-0.007,,,-946,4655,-0.067,-0.008,,2550,2055,2055,0.687,-0.204,-7,223,246,-1159,3710,
2022-Q1,SHB,4223,0.897,-0.115,,,-995,4694,0.837,-0.215,,3227,2582,2582,0.941,1.75,104,157,209,-472,3699,
2021-Q4,SHB,4774,0.441,0.204,,,-1350,5980,0.292,0.283,,1169,939,939,0.461,-0.372,226,177,803,-3461,4631,
2021-Q3,SHB,3966,0.567,-0.15,,,-912,4660,0.474,-0.066,,1869,1495,1495,0.974,0.227,511,147,37,-1880,3748,
2021-Q2,SHB,4666,0.914,1.096,,,-1252,4988,0.923,0.952,,1522,1218,1218,0.708,-0.084,263,135,-77,-2214,3736,
2021-Q1,SHB,2226,0.322,-0.328,,,-891,2555,0.381,-0.448,,1664,1330,1330,1.165,1.07,107,127,95,0,1664,
2020-Q4,SHB,3313,0.335,0.309,,,-1212,4630,0.369,0.464,,805,642,642,-0.013,-0.152,958,188,171,-2612,3418,
2020-Q3,SHB,2530,0.122,0.038,,,-1158,3161,0.297,0.219,,947,757,757,0.353,0.062,439,120,72,-1057,2004,
2020-Q2,SHB,2438,0.419,0.448,,,-848,2593,0.325,0.402,,880,713,713,-0.002,0.161,56,94,5,-865,1746,
2020-Q1,SHB,1684,0.245,-0.321,,,-1071,1850,0.199,-0.453,,779,614,614,0.034,-0.056,49,112,6,0,779,
2019-Q4,SHB,2482,0.132,0.101,,,-1286,3383,0.21,0.387,,815,651,651,0.317,0.163,414,343,144,-1282,2097,
2019-Q3,SHB,2255,0.92,0.313,,,-1023,2438,0.911,0.245,,701,560,560,1.008,-0.217,140,33,10,-714,1415,
2019-Q2,SHB,1718,0.579,0.27,,,-845,1958,0.422,0.269,,894,715,715,0.733,0.202,29,193,18,-219,1113,
