index,ticker,revenue,yearRevenueGrowth,quarterRevenueGrowth,costOfGoodSold,grossProfit,operationExpense,operationProfit,yearOperationProfitGrowth,quarterOperationProfitGrowth,interestExpense,preTaxProfit,postTaxProfit,shareHolderIncome,yearShareHolderIncomeGrowth,quarterShareHolderIncomeGrowth,investProfit,serviceProfit,otherProfit,provisionExpense,operationIncome,ebitda
2023-Q3,STB,4851,-0.158,-0.157,,,-3015,5927,-0.16,-0.12,,2085,1635,1635,0.349,-0.151,326,720,30,-827,2912,
2023-Q2,STB,5751,1.21,-0.015,,,-3049,6737,0.099,-0.009,,2373,1925,1925,1.395,0.013,266,654,66,-1316,3688,
2023-Q1,STB,5837,1.131,-0.034,,,-3416,6800,0.327,-0.132,,2383,1900,1900,0.491,0.085,276,658,29,-1002,3384,
2022-Q4,STB,6043,1.422,0.049,,,-2646,7833,0.697,0.11,,1899,1751,1751,1.041,0.445,284,886,619,-3288,5187,
2022-Q3,STB,5762,0.739,1.214,,,-3097,7054,0.68,0.151,,1532,1212,1212,0.894,0.507,220,1031,41,-2425,3957,
2022-Q2,STB,2602,-0.173,-0.05,,,-2390,6129,0.291,0.196,,1319,804,804,-0.278,-0.369,247,1741,1540,-2420,3740,
2022-Q1,STB,2739,-0.089,0.098,,,-2832,5125,0.236,0.111,,1589,1274,1274,0.59,0.485,305,1536,546,-705,2293,
2021-Q4,STB,2495,-0.172,-0.247,,,-2400,4614,-0.08,0.099,,1151,858,858,0.025,0.341,256,1979,-115,-1064,2215,
2021-Q3,STB,3313,0.091,0.052,,,-2424,4198,-0.127,-0.115,,825,640,640,-0.107,-0.425,256,590,39,-950,1775,
2021-Q2,STB,3148,0.194,0.046,,,-2336,4746,0.333,0.145,,1424,1113,1113,2.241,0.389,187,936,475,-986,2410,
2021-Q1,STB,3008,0.059,-0.002,,,-2669,4145,0.068,-0.174,,1000,801,801,0.019,-0.042,242,837,58,-476,1476,
2020-Q4,STB,3014,0.697,-0.007,,,-3939,5016,0.329,0.043,,1014,837,837,0.574,0.168,342,1076,584,-64,1077,
2020-Q3,STB,3036,0.038,0.151,,,-2625,4810,0.197,0.351,,897,716,716,-0.072,1.086,167,1249,358,-1288,2185,
2020-Q2,STB,2637,0.304,-0.071,,,-1973,3561,0.079,-0.083,,441,343,343,0.118,-0.563,116,698,110,-1148,1588,
2020-Q1,STB,2840,0.155,0.599,,,-2478,3883,0.096,0.029,,988,786,786,-0.069,0.478,251,721,71,-418,1406,
2019-Q4,STB,1776,-0.159,-0.393,,,-2579,3774,0.015,-0.061,,726,532,532,-0.381,-0.311,230,1192,576,-469,1195,
2019-Q3,STB,2925,0.413,0.446,,,-2351,4019,0.364,0.217,,1030,772,772,3.73,1.513,232,747,115,-637,1667,
2019-Q2,STB,2022,0.135,-0.177,,,-2285,3301,0.237,-0.068,,400,307,307,-0.173,-0.636,110,742,426,-616,1016,
2019-Q1,STB,2458,0.47,0.165,,,-2050,3542,0.511,-0.047,,1061,844,844,1.128,-0.017,138,642,304,-430,1491,
2018-Q4,STB,2110,0.389,0.019,,,-2372,3718,0.22,0.262,,932,859,859,1.139,4.264,60,922,626,-414,1346,
2018-Q3,STB,2070,0.22,0.162,,,-1963,2946,0.317,0.104,,318,163,163,-0.469,-0.56,157,626,92,-664,983,
2018-Q2,STB,1782,0.762,0.066,,,-1744,2669,0.593,0.139,,492,371,371,0.465,-0.064,140,589,159,-433,926,
2018-Q1,STB,1672,0.59,0.1,,,-1759,2343,0.39,-0.231,,504,397,397,0.884,-0.012,72,544,55,-81,585,
2017-Q4,STB,1520,0.16,-0.104,,,-1965,3049,0.496,0.363,,463,402,402,,0.307,49,1330,150,-621,1084,
2017-Q3,STB,1696,0.774,0.678,,,-1648,2237,0.358,0.335,,450,307,307,1.046,0.212,1,456,84,-139,589,
2017-Q2,STB,1011,0.961,-0.038,,,-1323,1676,0.48,-0.006,,266,253,253,,0.204,195,457,13,-87,353,
2017-Q1,STB,1052,-0.151,-0.197,,,-1378,1686,-0.016,-0.172,,309,211,211,0.3,,183,383,69,1,308,
2016-Q4,STB,1310,0.434,0.369,,,-1383,2037,0.211,0.237,,-53,-64,-64,,,-277,409,595,-708,655,
2016-Q3,STB,957,-0.499,0.855,,,-1515,1648,-0.282,0.456,,187,150,150,-0.692,,311,347,33,54,133,
2016-Q2,STB,516,-0.722,-0.584,,,-1316,1132,-0.495,-0.339,,-178,-159,-159,,,238,360,18,7,-185,
2016-Q1,STB,1239,-0.362,0.356,,,-1465,1713,-0.237,0.019,,199,162,162,-0.746,,71,313,91,-50,249,
2015-Q4,STB,914,-0.272,-0.521,,,-1225,1682,-0.112,-0.267,,-671,-521,-521,,,-73,351,490,-1129,457,
2015-Q3,STB,1908,0.027,0.029,,,-1373,2294,-0.005,0.023,,615,488,488,-0.197,-0.102,64,299,24,-306,921,
2015-Q2,STB,1854,-0.02,-0.044,,,-1163,2242,0.036,-0.001,,713,543,543,-0.163,-0.147,91,282,15,-366,1080,
2015-Q1,STB,1940,0.242,0.547,,,-1102,2246,0.191,0.185,,812,637,637,0.025,0.904,49,247,9,-332,1144,
2014-Q4,STB,1254,-0.206,-0.325,,,-1279,1894,0.089,-0.178,,424,334,334,-0.415,-0.45,356,251,33,-191,615,
2014-Q3,STB,1858,0.156,-0.017,,,-1061,2306,0.127,0.065,,778,608,608,0.194,-0.064,204,227,17,-466,1245,
2014-Q2,STB,1891,0.159,0.21,,,-1125,2165,0.339,0.148,,830,649,649,0.372,0.046,-12,192,93,-210,1040,
2014-Q1,STB,1562,-0.137,-0.011,,,-996,1885,-0.143,0.084,,794,621,621,-0.081,0.087,55,258,10,-95,889,
2013-Q4,STB,1579,-0.118,-0.018,,,-975,1739,0.385,-0.15,,743,571,571,,0.123,2,174,-15,-22,765,
2013-Q3,STB,1607,-0.041,-0.015,,,-1183,2046,0.154,0.266,,700,509,509,0.237,0.075,36,301,102,-164,863,
2013-Q2,STB,1631,0.087,-0.099,,,-951,1617,-0.13,-0.264,,625,473,473,0.293,-0.299,-258,239,5,-42,666,
2013-Q1,STB,1811,0.183,0.012,,,-1098,2198,0.153,0.75,,893,676,676,-0.164,,148,234,5,-207,1100,
2012-Q4,STB,1789,0.074,0.068,,,-1205,1256,-0.307,-0.292,,-802,-871,-871,,,-380,-24,-130,-852,50,
2012-Q3,STB,1675,0.081,0.117,,,-1072,1773,-0.018,-0.046,,588,411,411,-0.064,0.123,-156,243,11,-114,702,
2012-Q2,STB,1500,0.147,-0.02,,,-1009,1859,0.22,-0.025,,516,366,366,-0.374,-0.547,135,219,4,-333,849,
2012-Q1,STB,1531,0.16,-0.081,,,-806,1907,0.206,0.053,,1064,808,808,0.417,0.713,153,199,24,-37,1101,
2011-Q4,STB,1665,0.352,0.075,,,-1168,1811,0.361,0.003,,639,472,472,0.296,0.074,-89,201,33,-4,643,
2011-Q3,STB,1549,0.593,0.184,,,-991,1805,0.633,0.185,,665,439,439,0.184,-0.25,-18,223,51,-149,814,
2011-Q2,STB,1308,0.57,-0.008,,,-737,1524,0.341,-0.036,,752,514,585,1.073,0.027,-1,179,37,-34,787,
2011-Q1,STB,1319,1.128,0.071,,,-665,1581,0.489,0.188,,715,571,570,0.338,0.567,-127,404,-15,-201,916,
2010-Q4,STB,1232,0.953,0.267,,,-655,1331,0.035,0.204,,585,364,364,-0.252,-0.019,-337,403,33,-90,676,
2010-Q3,STB,972,0.532,0.167,,,-555,1105,0.106,-0.027,,504,371,371,-0.093,0.314,82,-2,53,-46,550,
2010-Q2,STB,833,0.35,0.344,,,-505,1136,0.063,0.07,,515,320,282,-0.414,-0.337,21,256,26,-116,631,
2010-Q1,STB,620,0.262,-0.017,,,-483,1062,0.393,-0.175,,567,435,426,0.433,-0.124,103,313,27,-11,579,
2009-Q4,STB,631,1.378,-0.006,,,-581,1287,0.974,0.287,,615,487,487,0.903,0.189,409,317,-70,-91,706,
2009-Q3,STB,635,10.528,0.028,,,-416,1000,0.866,-0.064,,523,409,409,1.329,-0.151,50,290,25,-61,584,
2009-Q2,STB,617,0.741,0.256,,,-348,1068,0.606,0.401,,620,482,482,0.717,0.621,193,270,-13,-100,720,
2009-Q1,STB,491,0.054,0.853,,,-339,762,0.037,0.17,,392,297,297,-0.167,0.163,158,118,-5,-31,423,
2008-Q4,STB,265,-0.405,3.817,,,-351,652,0.462,0.216,,291,256,256,-0.339,0.456,266,97,23,-9,301,
2008-Q3,STB,55,-0.788,-0.845,,,-317,536,-0.108,-0.195,,214,176,176,-0.508,-0.374,290,84,107,-4,218,
2008-Q2,STB,355,0.148,-0.239,,,-310,665,1.153,-0.095,,325,281,281,0.044,-0.213,28,283,0,-31,356,
2008-Q1,STB,466,0.795,0.046,,,-293,735,1.431,0.65,,412,357,357,0.334,-0.077,167,99,4,-30,442,
2007-Q4,STB,446,1.047,0.717,,,0,446,2.439,-0.258,,446,387,387,3.145,0.084,0,0,0,0,446,
2007-Q3,STB,260,0.561,-0.16,,,-184,601,3.738,0.945,,395,357,357,2.908,0.327,308,33,1,-22,417,
2007-Q2,STB,309,1.101,0.19,,,0,309,0.703,0.021,,309,269,269,1.059,0.004,0,0,0,0,309,
2007-Q1,STB,260,1.138,0.193,,,0,303,1.87,1.334,,303,268,268,2.526,1.868,0,152,-109,0,303,
2006-Q4,STB,218,,0.309,,,0,130,,0.022,,130,93,93,,0.022,0,38,-126,0,130,
2006-Q3,STB,166,,0.131,,,0,127,,-0.301,,127,91,91,,-0.301,0,-39,0,0,127,
2006-Q2,STB,147,,0.211,,,0,181,,0.721,,181,131,131,,0.721,0,34,0,0,181,
2006-Q1,STB,121,,,,,0,105,,,,105,76,76,,,0,-16,0,0,105,
2005-Q2,STB,0,,,,,0,0,,,,0,0,0,,,0,0,0,0,0,
2005-Q1,STB,0,,,,,0,0,,,,0,0,0,,,0,0,0,0,0,
