index,ticker,revenue,yearRevenueGrowth,quarterRevenueGrowth,costOfGoodSold,grossProfit,operationExpense,operationProfit,yearOperationProfitGrowth,quarterOperationProfitGrowth,interestExpense,preTaxProfit,postTaxProfit,shareHolderIncome,yearShareHolderIncomeGrowth,quarterShareHolderIncomeGrowth,investProfit,serviceProfit,otherProfit,provisionExpense,operationIncome,ebitda
2023-Q3,TCB,7272,-0.039,0.155,,,-3631,10418,0.008,0.117,,5843,4669,4613,-0.129,0.035,761,2256,129,-945,6788,
2023-Q2,TCB,6295,-0.192,-0.036,,,-2869,9325,-0.147,0.003,,5649,4503,4455,-0.232,-0.009,72,2019,939,-807,6456,
2023-Q1,TCB,6527,-0.195,-0.043,,,-3142,9300,-0.071,-0.014,,5623,4537,4497,-0.183,0.269,-228,1944,1057,-535,6158,
2022-Q4,TCB,6819,-0.059,-0.099,,,-3990,9427,-0.072,-0.088,,4746,3572,3544,-0.228,-0.331,-422,2535,495,-691,5437,
2022-Q3,TCB,7565,0.122,-0.029,,,-3014,10338,0.178,-0.055,,6715,5368,5298,0.221,-0.087,209,2123,441,-609,7324,
2022-Q2,TCB,7794,0.183,-0.039,,,-3196,10934,0.188,0.093,,7321,5882,5804,0.232,0.054,411,1987,743,-417,7739,
2022-Q1,TCB,8111,0.325,0.12,,,-3003,10006,0.12,-0.015,,6785,5615,5505,0.252,0.199,-280,1687,488,-218,7004,
2021-Q4,TCB,7245,0.328,0.074,,,-3392,10159,0.309,0.157,,6140,4684,4592,0.162,0.059,279,2103,532,-627,6767,
2021-Q3,TCB,6742,0.31,0.023,,,-2628,8779,0.171,-0.046,,5562,4432,4338,0.4,-0.079,384,1497,156,-589,6151,
2021-Q2,TCB,6588,0.674,0.076,,,-2591,9206,0.562,0.031,,6018,4807,4711,0.672,0.072,717,1457,444,-598,6615,
2021-Q1,TCB,6124,0.454,0.122,,,-2563,8932,0.481,0.151,,5518,4476,4397,0.79,0.112,812,1325,671,-851,6369,
2020-Q4,TCB,5456,0.397,0.06,,,-2307,7762,0.171,0.035,,5089,4008,3953,0.305,0.276,546,1069,691,-366,5455,
2020-Q3,TCB,5148,0.382,0.308,,,-2489,7497,0.399,0.272,,3974,3180,3099,0.213,0.1,378,1145,827,-1034,5008,
2020-Q2,TCB,3935,0.23,-0.066,,,-1839,5895,0.257,-0.022,,3617,2889,2817,0.169,0.147,298,1254,408,-439,4056,
2020-Q1,TCB,4212,0.228,0.079,,,-2138,6030,0.373,-0.09,,3121,2506,2456,0.179,-0.189,602,862,354,-772,3893,
2019-Q4,TCB,3904,0.293,0.048,,,-2337,6627,0.311,0.237,,3978,3119,3029,0.344,0.186,746,1364,613,-312,4290,
2019-Q3,TCB,3725,0.195,0.165,,,-1794,5359,0.156,0.142,,3199,2583,2554,0.24,0.06,579,635,419,-366,3564,
2019-Q2,TCB,3199,0.277,-0.068,,,-1574,4691,0.173,0.068,,3045,2433,2409,0.147,0.157,267,756,469,-72,3117,
