index,ticker,revenue,yearRevenueGrowth,quarterRevenueGrowth,costOfGoodSold,grossProfit,operationExpense,operationProfit,yearOperationProfitGrowth,quarterOperationProfitGrowth,interestExpense,preTaxProfit,postTaxProfit,shareHolderIncome,yearShareHolderIncomeGrowth,quarterShareHolderIncomeGrowth,investProfit,serviceProfit,otherProfit,provisionExpense,operationIncome,ebitda
2023-Q3,TTN,82,-0.279,0.11,-64,18,-11,8,-0.347,1.03,0,10,7,7,-0.3,0.435,,,,,,16.0
2023-Q2,TTN,74,-0.17,0.155,-59,15,-11,4,-0.742,-0.463,0,7,5,5,-0.58,-0.15,,,,,,14.0
2023-Q1,TTN,64,-0.031,-0.46,-47,17,-9,7,0.163,-0.022,0,7,6,6,0.544,-0.231,,,,,,17.0
2022-Q4,TTN,119,0.249,0.042,-99,19,-12,7,0.896,-0.388,0,9,8,8,0.291,-0.253,,,,,,18.0
2022-Q3,TTN,114,0.398,0.278,-92,22,-10,12,0.587,-0.199,0,13,10,10,0.831,-0.139,,,,,,22.0
2022-Q2,TTN,89,0.362,0.348,-64,25,-10,15,0.572,1.425,0,15,12,12,0.558,2.126,,,,,,24.0
2022-Q1,TTN,66,0.186,-0.304,-50,16,-9,6,-0.356,0.595,-1,6,4,4,-0.462,-0.357,,,,,,15.0
2021-Q4,TTN,95,-0.166,0.166,-79,16,-12,4,-0.655,-0.488,-1,7,6,6,-0.693,0.059,,,,,,12.0
2021-Q3,TTN,81,-0.071,0.245,-66,16,-8,8,-0.511,-0.206,-1,7,6,6,-0.603,-0.268,,,,,,16.0
2021-Q2,TTN,65,-0.031,0.174,-47,18,-9,10,-0.246,-0.007,-1,10,8,8,-0.381,0.08,,,,,,18.0
2021-Q1,TTN,56,0.215,-0.511,-37,19,-9,10,0.093,-0.144,-1,9,7,7,1.931,-0.634,,,,,,18.0
2020-Q4,TTN,114,-0.127,0.299,-91,23,-11,11,1.248,-0.275,-1,23,19,19,2.889,0.371,,,,,,20.0
2020-Q3,TTN,88,0.519,0.3,-65,23,-8,16,1.514,0.224,-1,18,14,14,0.164,0.143,,,,,,24.0
2020-Q2,TTN,68,1.042,0.472,-49,19,-6,13,,0.438,-1,16,12,12,-0.757,4.11,,,,,,19.0
2020-Q1,TTN,46,0.435,-0.648,-29,16,-8,9,2.037,0.76,-1,3,2,2,-0.544,-0.514,,,,,,15.0
2019-Q4,TTN,130,-0.008,1.258,-117,14,-9,5,-0.69,-0.189,-1,6,5,5,-0.724,-0.59,,,,,,11.0
2019-Q3,TTN,58,0.022,0.748,-45,13,-7,6,-0.26,,-1,15,12,12,1.219,-0.762,,,,,,11.0
2019-Q2,TTN,33,-0.099,0.034,-29,4,-6,-2,,,-1,64,51,51,2.679,8.595,,,,,,3.0
2019-Q1,TTN,32,-0.062,-0.757,-21,11,-8,3,-0.586,-0.82,-1,7,5,5,-0.608,-0.706,,,,,,8.0
2018-Q4,TTN,132,0.159,1.326,-108,24,-7,16,0.135,0.935,-1,21,18,18,0.184,2.301,,,,,,16.0
2018-Q3,TTN,57,0.524,0.541,-43,14,-5,8,0.207,0.481,-1,7,5,5,0.313,-0.605,,,,,,8.0
2018-Q2,TTN,37,0.12,0.077,-26,11,-5,6,0.673,-0.195,-2,22,14,14,1.683,0.021,,,,,,6.0
2018-Q1,TTN,34,0.351,-0.7,-21,13,-6,7,1.661,-0.508,-2,13,13,13,1.083,-0.111,,,,,,7.0
2017-Q4,TTN,114,,2.059,-93,20,-6,14,,1.057,-1,18,15,15,,2.661,,,,,,14.0
2017-Q3,TTN,37,0.439,0.133,-27,10,-3,7,3.287,1.053,-1,5,4,4,-0.093,-0.192,,,,,,7.0
2017-Q2,TTN,33,-0.005,0.298,-22,11,-8,3,-0.41,0.279,-1,8,5,5,5.325,-0.207,,,,,,3.0
2017-Q1,TTN,25,0.496,,-16,9,-6,3,,,-1,6,6,6,,,,,,,,3.0
2016-Q3,TTN,26,0.826,-0.217,-18,7,-6,2,,-0.718,-1,5,5,5,,4.63,,,,,,
2016-Q2,TTN,33,1.35,0.952,-23,10,-5,6,,,-1,1,1,1,,,,,,,,6.0
2016-Q1,TTN,17,0.257,,-14,3,-5,-2,,,-1,-4,-4,-4,,,,,,,,-2.0
2015-Q3,TTN,14,,0.008,-16,-2,-5,-7,,,-1,-4,-4,-4,,,,,,,,
2015-Q2,TTN,14,,0.044,-12,2,-5,-3,,,-1,-5,-5,-5,,,,,,,,
2015-Q1,TTN,13,,,-13,1,-5,-4,,,-2,-6,-6,-6,,,,,,,,
