index,ticker,revenue,yearRevenueGrowth,quarterRevenueGrowth,costOfGoodSold,grossProfit,operationExpense,operationProfit,yearOperationProfitGrowth,quarterOperationProfitGrowth,interestExpense,preTaxProfit,postTaxProfit,shareHolderIncome,yearShareHolderIncomeGrowth,quarterShareHolderIncomeGrowth,investProfit,serviceProfit,otherProfit,provisionExpense,operationIncome,ebitda
2023-Q3,VCB,12596,-0.078,-0.102,,,-5233,15777,-0.056,-0.097,,9051,7275,7269,0.199,-0.021,1769,891,521,-1494,10545,
2023-Q2,VCB,14021,0.096,-0.013,,,-5656,17470,0.094,-0.057,,9278,7428,7423,0.25,-0.174,1569,1622,258,-2536,11814,
2023-Q1,VCB,14203,0.186,-0.041,,,-5274,18517,0.107,-0.008,,11221,8992,8986,0.129,-0.095,1775,1456,1083,-2022,13243,
2022-Q4,VCB,14809,0.374,0.084,,,-4565,18663,0.255,0.117,,12419,9934,9928,0.539,0.637,1222,2331,300,-1679,14098,
2022-Q3,VCB,13664,0.31,0.068,,,-6370,16714,0.261,0.046,,7566,6069,6065,0.32,0.022,1559,1102,389,-2778,10344,
2022-Q2,VCB,12797,0.153,0.069,,,-5816,15972,0.238,-0.045,,7423,5942,5937,0.499,-0.254,1600,695,881,-2733,10157,
2022-Q1,VCB,11976,0.188,0.111,,,-4509,16733,0.067,0.125,,9950,7967,7962,0.154,0.234,1563,2711,484,-2274,12224,
2021-Q4,VCB,10781,0.038,0.034,,,-3057,14869,0.033,0.122,,8064,6457,6451,0.138,0.404,1105,2414,570,-3748,11813,
2021-Q3,VCB,10428,0.195,-0.06,,,-5002,13253,0.144,0.027,,5738,4599,4594,0.151,0.16,1246,1127,452,-2513,8250,
2021-Q2,VCB,11096,0.374,0.101,,,-4736,12903,0.202,-0.177,,4942,3965,3960,-0.141,-0.426,1019,428,360,-3225,8167,
2021-Q1,VCB,10082,0.116,-0.03,,,-4779,15686,0.277,0.09,,8631,6908,6903,0.652,0.218,1154,3438,1012,-2275,10906,
2020-Q4,VCB,10390,0.203,0.191,,,-3430,14393,0.349,0.242,,7079,5674,5668,0.289,0.42,999,3069,-65,-3884,10963,
2020-Q3,VCB,8723,-0.015,0.08,,,-4579,11586,-0.034,0.079,,4983,3996,3991,-0.209,-0.134,1067,1257,540,-2025,7008,
2020-Q2,VCB,8077,-0.059,-0.106,,,-3118,10734,-0.05,-0.126,,5759,4616,4610,0.057,0.104,1215,1156,286,-1856,7616,
2020-Q1,VCB,9034,0.063,0.046,,,-4910,12285,0.044,0.152,,5223,4183,4178,-0.112,-0.05,1085,1127,1039,-2152,7375,
2019-Q4,VCB,8640,0.083,-0.025,,,-3186,10667,-0.002,-0.111,,5510,4400,4397,-0.167,-0.129,889,886,252,-1971,7481,
2019-Q3,VCB,8859,0.192,0.033,,,-4182,11995,0.274,0.061,,6309,5052,5048,0.72,0.158,973,1278,883,-1503,7812,
2019-Q2,VCB,8580,0.262,0.01,,,-4067,11303,0.221,-0.039,,5425,4365,4361,0.49,-0.074,881,1075,768,-1811,7236,
2019-Q1,VCB,8499,0.371,0.065,,,-4384,11768,0.186,0.101,,5878,4711,4707,0.343,-0.108,1033,1069,1166,-1506,7384,
2018-Q4,VCB,7981,0.382,0.074,,,-1693,10690,0.42,0.136,,6617,5280,5276,0.939,0.798,1735,774,201,-2381,8997,
2018-Q3,VCB,7432,0.416,0.093,,,-3986,9414,0.292,0.017,,3666,2938,2935,0.369,0.003,437,895,651,-1762,5429,
2018-Q2,VCB,6800,0.206,0.097,,,-3864,9259,0.269,-0.067,,3657,2932,2927,0.452,-0.165,828,851,780,-1738,5395,
2018-Q1,VCB,6197,0.175,0.073,,,-4067,9924,0.362,0.318,,4359,3508,3504,0.588,0.288,1243,881,1603,-1498,5857,
2017-Q4,VCB,5777,0.183,0.101,,,-2434,7529,0.147,0.033,,3403,2728,2721,0.539,0.269,571,576,606,-1692,5095,
2017-Q3,VCB,5248,0.169,-0.069,,,-3104,7288,0.203,-0.001,,2680,2149,2144,0.31,0.063,803,651,586,-1504,4184,
2017-Q2,VCB,5637,0.219,0.068,,,-3179,7299,0.157,0.002,,2518,2021,2016,0.273,-0.086,652,665,345,-1602,4119,
2017-Q1,VCB,5276,0.164,0.08,,,-3150,7287,0.22,0.11,,2737,2210,2206,0.201,0.248,799,650,563,-1401,4138,
2016-Q4,VCB,4883,0.101,0.088,,,-2478,6566,0.116,0.083,,2191,1774,1768,0.047,0.08,370,530,783,-1897,4088,
2016-Q3,VCB,4488,0.136,-0.029,,,-2504,6060,0.087,-0.039,,2047,1642,1637,0.397,0.033,713,521,338,-1510,3557,
2016-Q2,VCB,4625,0.296,0.02,,,-2631,6309,0.236,0.056,,1980,1588,1584,0.199,-0.137,631,521,532,-1698,3678,
2016-Q1,VCB,4533,0.296,0.022,,,-2367,5972,0.287,0.015,,2299,1841,1837,0.623,0.087,615,539,286,-1305,3605,
2015-Q4,VCB,4437,0.362,0.123,,,-2354,5884,0.195,0.056,,2179,1697,1689,0.279,0.441,76,479,892,-1351,3530,
2015-Q3,VCB,3951,0.341,0.107,,,-2705,5574,0.382,0.092,,1498,1176,1172,0.128,-0.113,779,441,402,-1371,2869,
