index,ticker,revenue,yearRevenueGrowth,quarterRevenueGrowth,costOfGoodSold,grossProfit,operationExpense,operationProfit,yearOperationProfitGrowth,quarterOperationProfitGrowth,interestExpense,preTaxProfit,postTaxProfit,shareHolderIncome,yearShareHolderIncomeGrowth,quarterShareHolderIncomeGrowth,investProfit,serviceProfit,otherProfit,provisionExpense,operationIncome,ebitda
2023-Q3,VIB,4321,0.127,-0.018,,,-1717,6024,0.302,0.123,,2683,2147,2147,-0.039,-0.09,439,1062,202,-1625,4308,
2023-Q2,VIB,4402,0.19,0.023,,,-1556,5364,0.164,0.088,,2948,2358,2358,0.074,0.094,6,786,170,-860,3808,
2023-Q1,VIB,4304,0.224,0.101,,,-1568,4930,0.192,0.052,,2694,2155,2155,0.182,-0.028,-38,618,45,-668,3362,
2022-Q4,VIB,3911,0.15,0.02,,,-1566,4687,0.041,0.013,,2767,2217,2217,0.037,-0.007,-149,840,85,-353,3120,
2022-Q3,VIB,3836,0.432,0.037,,,-1670,4627,0.502,0.004,,2791,2233,2233,1.016,0.017,-118,795,113,-166,2957,
2022-Q2,VIB,3700,0.25,0.052,,,-1501,4609,0.211,0.114,,2744,2195,2195,0.278,0.204,-102,905,105,-363,3107,
2022-Q1,VIB,3516,0.265,0.034,,,-1460,4136,0.181,-0.081,,2279,1823,1823,0.261,-0.147,-79,648,51,-397,2676,
2021-Q4,VIB,3400,0.327,0.269,,,-1147,4502,0.336,0.462,,2672,2138,2138,0.505,0.929,63,954,85,-683,3355,
2021-Q3,VIB,2678,0.199,-0.095,,,-1429,3080,0.016,-0.191,,1385,1108,1108,-0.17,-0.355,-36,414,24,-267,1652,
2021-Q2,VIB,2960,0.556,0.065,,,-1346,3807,0.49,0.087,,2147,1718,1718,0.676,0.188,20,765,63,-314,2461,
2021-Q1,VIB,2778,0.544,0.085,,,-1361,3502,0.549,0.039,,1807,1446,1446,0.681,0.018,65,609,50,-334,2141,
2020-Q4,VIB,2561,0.53,0.147,,,-1303,3370,0.501,0.112,,1776,1421,1421,0.522,0.064,-20,751,77,-290,2066,
2020-Q3,VIB,2233,0.38,0.174,,,-1125,3031,0.373,0.187,,1668,1335,1335,0.524,0.302,14,616,168,-238,1906,
2020-Q2,VIB,1902,0.241,0.057,,,-1008,2554,0.311,0.13,,1281,1025,1025,0.268,0.191,13,611,29,-265,1547,
2020-Q1,VIB,1799,0.299,0.075,,,-1029,2260,0.319,0.007,,1075,860,860,0.328,-0.078,41,411,9,-156,1231,
2019-Q4,VIB,1675,0.289,0.035,,,-993,2245,0.203,0.017,,1166,933,933,0.143,0.066,-3,522,51,-86,1252,
2019-Q3,VIB,1619,0.271,0.056,,,-913,2207,0.485,0.133,,1095,876,876,0.921,0.084,-2,512,79,-199,1294,
2019-Q2,VIB,1532,0.273,0.106,,,-775,1948,0.345,0.137,,1010,808,808,0.597,0.248,-53,417,53,-163,1174,
2019-Q1,VIB,1385,0.316,0.066,,,-748,1714,0.37,-0.082,,810,648,648,0.563,-0.207,-59,348,41,-156,966,
