,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,01/06/23,2022,0.1,cash
1,01/06/23,2023,0.15,share
2,02/06/22,2022,0.25,share
3,10/06/21,2021,0.25,share
4,20/08/20,2020,0.3,share
5,25/07/19,2019,0.3,share
6,06/09/18,2018,0.15,share
7,20/03/18,2018,0.1,share
8,01/12/16,2017,0.1,share
9,15/05/15,2014,0.07,cash
10,13/05/14,2013,0.07,cash
11,17/05/13,2012,0.069,cash
12,30/03/12,2012,0.1,share
13,03/01/12,2011,0.2,cash
14,21/04/11,2010,0.07,cash
15,08/11/10,2010,0.17,cash
16,04/03/10,2009,0.15,cash
17,11/06/09,2009,0.09,cash
18,17/03/09,2008,0.088,cash
19,13/11/08,2008,0.25,cash
