,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,08/06/23,2022,0.2,cash
1,05/01/23,2022,0.1,cash
2,23/05/22,2021,0.1,cash
3,29/09/21,2021,0.1,cash
4,30/06/21,2021,0.2,share
5,23/12/20,2020,0.2,cash
6,28/08/20,2020,0.1,cash
7,29/06/20,2019,0.1,cash
8,29/06/20,2020,0.1,share
9,03/01/20,2019,0.1,cash
10,13/06/19,2018,0.1,cash
11,30/05/19,2019,0.1,share
12,02/10/18,2018,0.1,cash
13,19/04/18,2018,0.5,share
14,28/12/17,2017,0.2,cash
15,22/09/17,2017,0.1,cash
16,02/06/17,2017,0.1,share
17,12/05/17,2016,0.1,cash
18,28/12/16,2016,0.1,cash
19,17/11/16,2016,0.1,share
