,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,24/08/23,2023,0.1,cash
1,05/07/23,2022,0.1,cash
2,05/07/23,2023,0.15,share
3,24/08/22,2022,0.1,cash
4,13/06/22,2021,0.1,cash
5,13/06/22,2022,0.2,share
6,16/08/21,2021,0.1,cash
7,01/06/21,2020,0.1,cash
8,01/06/21,2021,0.15,share
9,17/08/20,2020,0.1,cash
10,13/05/20,2019,0.1,cash
11,13/05/20,2020,0.15,share
12,15/08/19,2019,0.1,cash
13,17/05/19,2018,0.1,cash
14,17/05/19,2019,0.1,share
15,16/08/18,2018,0.1,cash
16,25/05/18,2017,0.15,cash
17,25/05/18,2018,0.15,share
18,17/08/17,2017,0.1,cash
19,25/05/17,2016,0.1,cash
