,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,29/08/23,2022,0.36,cash
1,04/07/22,2021,0.3,cash
2,28/06/21,2020,0.3,cash
3,14/07/20,2019,0.35,cash
4,29/08/19,2018,0.13,cash
5,29/08/19,2019,0.1,cash
6,15/03/19,2018,0.2,cash
7,27/08/18,2018,0.2,cash
8,28/06/18,2017,0.2,cash
9,20/11/17,2017,0.1,cash
10,15/09/17,2017,0.1,cash
11,28/06/17,2016,0.1,cash
12,10/04/17,2016,0.07,cash
13,22/12/16,2016,0.23,cash
14,30/09/16,2015,0.05,cash
15,17/03/16,2015,0.2,cash
16,01/10/15,2015,0.1,cash
17,27/05/15,2014,0.07,cash
18,15/12/14,2014,0.18,cash
19,22/09/14,2014,0.15,cash
