,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,14/07/23,2023,0.15,share
1,14/06/23,2022,0.05,cash
2,22/08/22,2022,0.2,share
3,12/07/21,2021,0.35,share
4,05/10/20,2020,0.15,share
5,18/09/19,2019,0.08,share
6,05/04/19,2018,0.06,cash
7,06/07/18,2018,0.05,share
8,17/01/18,2017,0.06,cash
9,29/09/17,2017,0.05,share
10,23/02/17,2016,0.06,cash
11,24/10/16,2016,0.05,share
12,15/09/15,2015,0.05,cash
13,17/08/15,2015,0.03,share
14,29/10/14,2014,0.07,cash
15,10/09/14,2014,0.03,share
16,16/10/13,2013,0.08,cash
17,14/05/13,2012,0.02,cash
18,13/11/12,2012,0.1,cash
19,17/05/12,2011,0.02,cash
