,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,04/01/24,2023,0.15,cash
1,09/06/23,2022,0.15,cash
2,02/03/23,2022,0.1,cash
3,20/12/22,2022,0.25,cash
4,02/03/22,2021,0.15,cash
5,07/01/22,2021,0.2,cash
6,02/03/21,2020,0.15,cash
7,30/11/20,2020,0.2,cash
8,13/02/20,2019,0.35,cash
9,05/09/19,2018,0.15,cash
10,26/11/18,2018,0.2,cash
11,16/10/18,2018,0.15,cash
12,15/01/18,2017,0.35,cash
13,26/12/16,2016,0.3,cash
14,09/06/16,2015,0.3,cash
15,06/07/15,2014,0.25,cash
16,19/07/14,2013,0.08,cash
17,18/01/14,2013,0.15,cash
18,31/12/12,2012,0.22,cash
19,31/12/11,2011,0.2,cash
