,ticker,fromDate,toDate,PE,PB,industryPE,vnindexPE,industryPB,vnindexPB
0,AAM,2023-01-27,2023-01-27,7.0,0.5,15.7,11.9,2.7,1.7
1,AAM,2023-01-30,2023-01-30,6.9,0.5,19.0,12.2,2.7,1.7
2,AAM,2023-01-31,2023-01-31,7.0,0.5,20.1,12.3,2.6,1.7
3,AAM,2023-02-01,2023-02-01,7.0,0.5,19.9,12.1,2.6,1.6
4,AAM,2023-02-02,2023-02-02,7.0,0.5,19.8,12.2,2.6,1.6
5,AAM,2023-02-03,2023-02-03,7.0,0.5,19.9,12.2,2.6,1.6
6,AAM,2023-02-06,2023-02-06,6.9,0.5,20.0,12.3,2.6,1.6
7,AAM,2023-02-07,2023-02-07,6.9,0.5,19.7,12.1,2.5,1.6
8,AAM,2023-02-08,2023-02-08,6.9,0.5,19.8,12.1,2.6,1.6
9,AAM,2023-02-09,2023-02-09,7.1,0.5,19.7,12.1,2.5,1.6
10,AAM,2023-02-10,2023-02-10,7.1,0.5,19.7,12.0,2.5,1.6
11,AAM,2023-02-13,2023-02-13,6.9,0.5,19.7,11.9,2.5,1.6
12,AAM,2023-02-14,2023-02-14,6.9,0.5,19.6,11.9,2.5,1.6
13,AAM,2023-02-15,2023-02-15,7.2,0.5,19.7,12.0,2.5,1.6
14,AAM,2023-02-16,2023-02-16,6.9,0.5,19.8,12.1,2.5,1.6
15,AAM,2023-02-17,2023-02-17,7.1,0.5,19.7,12.1,2.5,1.6
16,AAM,2023-02-20,2023-02-20,7.1,0.5,20.1,12.3,2.6,1.6
17,AAM,2023-02-21,2023-02-21,7.3,0.6,20.0,12.3,2.6,1.6
18,AAM,2023-02-22,2023-02-22,7.1,0.5,19.6,12.0,2.5,1.6
19,AAM,2023-02-23,2023-02-23,7.1,0.5,19.4,12.0,2.5,1.6
20,AAM,2023-02-24,2023-02-24,7.1,0.5,19.3,11.8,2.5,1.6
21,AAM,2023-02-27,2023-02-27,7.1,0.5,18.9,11.6,2.4,1.5
22,AAM,2023-02-28,2023-02-28,6.8,0.5,19.0,11.6,2.5,1.5
23,AAM,2023-03-01,2023-03-01,6.8,0.5,19.2,11.8,2.5,1.6
24,AAM,2023-03-02,2023-03-02,6.9,0.5,19.0,11.8,2.5,1.6
25,AAM,2023-03-03,2023-03-03,6.9,0.5,18.8,11.7,2.4,1.5
26,AAM,2023-03-06,2023-03-06,6.9,0.5,18.6,11.8,2.4,1.5
27,AAM,2023-03-07,2023-03-07,6.9,0.5,18.8,11.8,2.4,1.6
28,AAM,2023-03-08,2023-03-08,6.8,0.5,19.0,11.9,2.4,1.6
29,AAM,2023-03-09,2023-03-09,6.8,0.5,19.0,12.0,2.4,1.6
30,AAM,2023-03-10,2023-03-10,6.9,0.5,19.2,12.0,2.5,1.6
31,AAM,2023-03-13,2023-03-13,6.9,0.5,19.2,12.0,2.5,1.6
32,AAM,2023-03-14,2023-03-14,6.9,0.5,19.1,11.8,2.5,1.6
33,AAM,2023-03-15,2023-03-15,6.8,0.5,19.3,12.1,2.5,1.6
34,AAM,2023-03-16,2023-03-16,6.6,0.5,19.2,11.9,2.5,1.6
35,AAM,2023-03-17,2023-03-17,6.6,0.5,19.0,11.9,2.5,1.6
36,AAM,2023-03-20,2023-03-20,6.6,0.5,18.8,11.7,2.4,1.5
37,AAM,2023-03-21,2023-03-21,6.7,0.5,18.7,11.7,2.4,1.5
38,AAM,2023-03-22,2023-03-22,6.7,0.5,18.8,11.8,2.4,1.6
39,AAM,2023-03-23,2023-03-23,6.8,0.5,18.8,11.9,2.4,1.6
40,AAM,2023-03-24,2023-03-24,7.1,0.5,18.8,11.9,2.4,1.6
41,AAM,2023-03-27,2023-03-27,7.1,0.5,18.7,11.9,2.4,1.6
42,AAM,2023-03-28,2023-03-28,7.3,0.6,18.7,12.0,2.4,1.6
43,AAM,2023-03-29,2023-03-29,7.3,0.6,18.8,12.0,2.4,1.6
44,AAM,2023-03-30,2023-03-30,7.2,0.5,18.8,12.0,2.4,1.6
45,AAM,2023-03-31,2023-03-31,7.5,0.6,18.7,12.1,2.4,1.6
46,AAM,2023-04-03,2023-04-03,15.0,0.6,18.7,12.2,2.4,1.6
47,AAM,2023-04-04,2023-04-04,15.2,0.6,18.8,12.2,2.4,1.6
48,AAM,2023-04-05,2023-04-05,15.2,0.6,18.8,12.3,2.4,1.6
49,AAM,2023-04-06,2023-04-06,14.9,0.6,18.7,12.2,2.4,1.6
50,AAM,2023-04-07,2023-04-07,14.8,0.6,18.7,12.1,2.4,1.6
51,AAM,2023-04-10,2023-04-10,15.1,0.6,18.7,12.1,2.4,1.6
52,AAM,2023-04-11,2023-04-11,15.0,0.6,18.7,12.1,2.4,1.6
53,AAM,2023-04-12,2023-04-12,14.7,0.6,18.8,12.2,2.4,1.6
54,AAM,2023-04-13,2023-04-13,14.9,0.6,18.7,12.1,2.4,1.6
55,AAM,2023-04-14,2023-04-14,14.7,0.6,18.6,12.0,2.4,1.6
