,ticker,fromDate,toDate,PE,PB,industryPE,vnindexPE,industryPB,vnindexPB
0,AAT,2023-01-27,2023-01-27,3.8,0.5,9.7,11.9,1.4,1.7
1,AAT,2023-01-30,2023-01-30,3.9,0.5,9.7,12.2,1.4,1.7
2,AAT,2023-01-31,2023-01-31,4.0,0.5,10.1,12.3,1.4,1.7
3,AAT,2023-02-01,2023-02-01,3.9,0.5,9.9,12.1,1.4,1.6
4,AAT,2023-02-02,2023-02-02,3.8,0.5,9.8,12.2,1.3,1.6
5,AAT,2023-02-03,2023-02-03,3.8,0.5,9.6,12.2,1.3,1.6
6,AAT,2023-02-06,2023-02-06,3.8,0.5,9.7,12.3,1.3,1.6
7,AAT,2023-02-07,2023-02-07,3.7,0.5,9.6,12.1,1.3,1.6
8,AAT,2023-02-08,2023-02-08,3.7,0.5,9.6,12.1,1.3,1.6
9,AAT,2023-02-09,2023-02-09,3.7,0.5,9.7,12.1,1.3,1.6
10,AAT,2023-02-10,2023-02-10,3.7,0.5,9.7,12.0,1.3,1.6
11,AAT,2023-02-13,2023-02-13,3.5,0.4,9.5,11.9,1.3,1.6
12,AAT,2023-02-14,2023-02-14,3.5,0.4,9.5,11.9,1.3,1.6
13,AAT,2023-02-15,2023-02-15,3.6,0.4,9.5,12.0,1.3,1.6
14,AAT,2023-02-16,2023-02-16,3.6,0.4,9.7,12.1,1.3,1.6
15,AAT,2023-02-17,2023-02-17,3.5,0.4,9.7,12.1,1.3,1.6
16,AAT,2023-02-20,2023-02-20,3.7,0.5,9.9,12.3,1.3,1.6
17,AAT,2023-02-21,2023-02-21,3.7,0.5,9.9,12.3,1.4,1.6
18,AAT,2023-02-22,2023-02-22,3.6,0.5,9.7,12.0,1.3,1.6
19,AAT,2023-02-23,2023-02-23,3.5,0.4,9.7,12.0,1.3,1.6
20,AAT,2023-02-24,2023-02-24,3.5,0.4,9.6,11.8,1.3,1.6
21,AAT,2023-02-27,2023-02-27,3.5,0.4,9.2,11.6,1.3,1.5
22,AAT,2023-02-28,2023-02-28,3.5,0.4,9.3,11.6,1.3,1.5
23,AAT,2023-03-01,2023-03-01,3.6,0.5,9.3,11.8,1.3,1.6
24,AAT,2023-03-02,2023-03-02,3.6,0.4,9.4,11.8,1.3,1.6
25,AAT,2023-03-03,2023-03-03,3.5,0.4,9.4,11.7,1.3,1.5
26,AAT,2023-03-06,2023-03-06,3.6,0.5,9.3,11.8,1.3,1.5
27,AAT,2023-03-07,2023-03-07,3.6,0.5,9.4,11.8,1.3,1.6
28,AAT,2023-03-08,2023-03-08,3.6,0.5,9.4,11.9,1.3,1.6
29,AAT,2023-03-09,2023-03-09,3.6,0.5,9.5,12.0,1.3,1.6
30,AAT,2023-03-10,2023-03-10,3.6,0.4,9.4,12.0,1.3,1.6
31,AAT,2023-03-13,2023-03-13,3.5,0.4,9.4,12.0,1.3,1.6
32,AAT,2023-03-14,2023-03-14,3.5,0.4,9.3,11.8,1.3,1.6
33,AAT,2023-03-15,2023-03-15,3.6,0.5,9.4,12.1,1.3,1.6
34,AAT,2023-03-16,2023-03-16,3.6,0.4,9.4,11.9,1.3,1.6
35,AAT,2023-03-17,2023-03-17,3.6,0.4,9.3,11.9,1.3,1.6
36,AAT,2023-03-20,2023-03-20,3.5,0.4,9.3,11.7,1.3,1.5
37,AAT,2023-03-21,2023-03-21,3.5,0.4,9.3,11.7,1.3,1.5
38,AAT,2023-03-22,2023-03-22,3.5,0.4,9.3,11.8,1.3,1.6
39,AAT,2023-03-23,2023-03-23,3.5,0.4,9.3,11.9,1.3,1.6
40,AAT,2023-03-24,2023-03-24,3.5,0.4,9.3,11.9,1.3,1.6
41,AAT,2023-03-27,2023-03-27,3.5,0.4,9.3,11.9,1.3,1.6
42,AAT,2023-03-28,2023-03-28,3.5,0.4,9.3,12.0,1.3,1.6
43,AAT,2023-03-29,2023-03-29,3.5,0.4,9.2,12.0,1.3,1.6
44,AAT,2023-03-30,2023-03-30,3.5,0.4,9.3,12.0,1.3,1.6
45,AAT,2023-03-31,2023-03-31,3.5,0.4,9.3,12.1,1.3,1.6
46,AAT,2023-04-03,2023-04-03,96.9,0.4,9.3,12.2,1.3,1.6
47,AAT,2023-04-04,2023-04-04,96.9,0.4,9.3,12.2,1.3,1.6
48,AAT,2023-04-05,2023-04-05,99.2,0.4,9.3,12.3,1.3,1.6
49,AAT,2023-04-06,2023-04-06,99.6,0.4,9.3,12.2,1.3,1.6
50,AAT,2023-04-07,2023-04-07,98.2,0.4,9.3,12.1,1.3,1.6
51,AAT,2023-04-10,2023-04-10,98.2,0.4,9.4,12.1,1.3,1.6
52,AAT,2023-04-11,2023-04-11,99.0,0.4,9.4,12.1,1.3,1.6
53,AAT,2023-04-12,2023-04-12,100.2,0.5,9.5,12.2,1.3,1.6
54,AAT,2023-04-13,2023-04-13,98.8,0.4,9.4,12.1,1.3,1.6
55,AAT,2023-04-14,2023-04-14,98.0,0.4,9.4,12.0,1.3,1.6
56,AAT,2023-04-17,2023-04-17,97.1,0.4,9.4,12.0,1.3,1.6
57,AAT,2023-04-18,2023-04-18,98.0,0.4,9.4,12.0,1.3,1.6
58,AAT,2023-04-19,2023-04-19,97.1,0.4,9.4,11.9,1.3,1.6
59,AAT,2023-04-20,2023-04-20,97.6,0.4,10.4,12.0,1.3,1.5
60,AAT,2023-04-21,2023-04-21,97.6,0.4,9.4,12.0,1.3,1.6
61,AAT,2023-04-24,2023-04-24,97.3,0.4,9.5,11.8,1.3,1.5
62,AAT,2023-04-25,2023-04-25,97.3,0.4,9.4,11.8,1.3,1.5
63,AAT,2023-04-26,2023-04-26,97.3,0.4,9.5,11.9,1.3,1.6
64,AAT,2023-04-27,2023-04-27,97.3,0.4,9.6,11.9,1.3,1.6
65,AAT,2023-04-28,2023-04-28,97.1,0.4,10.0,12.3,1.3,1.5
66,AAT,2023-05-04,2023-05-04,97.1,0.4,10.2,12.5,1.3,1.5
67,AAT,2023-05-05,2023-05-05,96.9,0.4,10.4,12.5,1.3,1.5
68,AAT,2023-05-08,2023-05-08,99.8,0.4,10.5,12.7,1.3,1.5
69,AAT,2023-05-09,2023-05-09,99.0,0.4,10.4,12.7,1.3,1.5
70,AAT,2023-05-10,2023-05-10,104.4,0.5,10.4,12.7,1.3,1.5
71,AAT,2023-05-11,2023-05-11,102.7,0.5,10.5,12.8,1.3,1.5
72,AAT,2023-05-12,2023-05-12,104.2,0.5,10.4,12.9,1.3,1.6
73,AAT,2023-05-15,2023-05-15,104.2,0.5,10.4,12.8,1.3,1.6
74,AAT,2023-05-16,2023-05-16,103.8,0.5,10.4,12.9,1.3,1.6
75,AAT,2023-05-17,2023-05-17,103.1,0.5,10.4,12.8,1.3,1.5
76,AAT,2023-05-18,2023-05-18,103.1,0.5,10.3,12.9,1.3,1.6
77,AAT,2023-05-19,2023-05-19,100.0,0.4,10.3,12.9,1.3,1.6
78,AAT,2023-05-22,2023-05-22,100.0,0.4,10.3,12.9,1.3,1.6
79,AAT,2023-05-23,2023-05-23,99.8,0.4,10.3,12.9,1.3,1.6
80,AAT,2023-05-24,2023-05-24,101.1,0.5,10.2,12.8,1.2,1.6
81,AAT,2023-05-25,2023-05-25,100.2,0.5,10.2,12.9,1.2,1.6
82,AAT,2023-05-26,2023-05-26,103.1,0.5,10.2,12.8,1.2,1.6
83,AAT,2023-05-29,2023-05-29,110.2,0.5,10.3,13.0,1.2,1.6
84,AAT,2023-05-30,2023-05-30,112.7,0.5,10.3,13.0,1.3,1.6
85,AAT,2023-05-31,2023-05-31,120.5,0.5,10.3,13.0,1.3,1.6
86,AAT,2023-06-01,2023-06-01,124.4,0.6,10.3,13.1,1.2,1.6
87,AAT,2023-06-02,2023-06-02,118.3,0.5,10.4,13.2,1.3,1.6
88,AAT,2023-06-05,2023-06-05,120.3,0.5,10.5,13.3,1.3,1.6
89,AAT,2023-06-06,2023-06-06,123.8,0.6,10.4,13.4,1.3,1.6
90,AAT,2023-06-07,2023-06-07,124.6,0.6,10.4,13.4,1.3,1.6
91,AAT,2023-06-08,2023-06-08,121.3,0.5,10.4,13.3,1.3,1.6
92,AAT,2023-06-09,2023-06-09,124.0,0.6,10.4,13.2,1.3,1.6
93,AAT,2023-06-12,2023-06-12,132.5,0.6,10.6,13.5,1.3,1.6
94,AAT,2023-06-13,2023-06-13,141.6,0.6,10.6,13.5,1.3,1.6
