,ticker,fromDate,toDate,PE,PB,industryPE,vnindexPE,industryPB,vnindexPB
0,AAV,2023-01-27,2023-01-27,-173.8,0.4,16.7,11.9,1.5,1.7
1,AAV,2023-01-30,2023-01-30,-181.2,0.4,17.7,12.2,1.4,1.7
2,AAV,2023-01-31,2023-01-31,-181.2,0.4,16.1,12.3,1.4,1.7
3,AAV,2023-02-01,2023-02-01,-196.0,0.5,15.7,12.1,1.4,1.6
4,AAV,2023-02-02,2023-02-02,-181.2,0.4,15.7,12.2,1.4,1.6
5,AAV,2023-02-03,2023-02-03,-181.2,0.4,15.7,12.2,1.4,1.6
6,AAV,2023-02-06,2023-02-06,-184.9,0.5,15.8,12.3,1.4,1.6
7,AAV,2023-02-07,2023-02-07,-173.8,0.4,15.5,12.1,1.4,1.6
8,AAV,2023-02-08,2023-02-08,-173.8,0.4,15.4,12.1,1.3,1.6
9,AAV,2023-02-09,2023-02-09,-166.4,0.4,15.2,12.1,1.3,1.6
10,AAV,2023-02-10,2023-02-10,-162.7,0.4,15.1,12.0,1.3,1.6
11,AAV,2023-02-13,2023-02-13,-155.3,0.4,14.8,11.9,1.3,1.6
12,AAV,2023-02-14,2023-02-14,-159.0,0.4,14.6,11.9,1.3,1.6
13,AAV,2023-02-15,2023-02-15,-159.0,0.4,14.7,12.0,1.3,1.6
14,AAV,2023-02-16,2023-02-16,-155.3,0.4,14.8,12.1,1.3,1.6
15,AAV,2023-02-17,2023-02-17,-159.0,0.4,14.9,12.1,1.3,1.6
16,AAV,2023-02-20,2023-02-20,-166.4,0.4,15.2,12.3,1.3,1.6
17,AAV,2023-02-21,2023-02-21,-166.4,0.4,15.3,12.3,1.3,1.6
18,AAV,2023-02-22,2023-02-22,-159.0,0.4,14.7,12.0,1.3,1.6
19,AAV,2023-02-23,2023-02-23,-155.3,0.4,14.6,12.0,1.3,1.6
20,AAV,2023-02-24,2023-02-24,-151.6,0.4,14.4,11.8,1.3,1.6
21,AAV,2023-02-27,2023-02-27,-148.0,0.4,14.2,11.6,1.2,1.5
22,AAV,2023-02-28,2023-02-28,-144.3,0.4,14.3,11.6,1.3,1.5
23,AAV,2023-03-01,2023-03-01,-144.3,0.4,14.3,11.8,1.3,1.6
