,ticker,fromDate,toDate,PE,PB,industryPE,vnindexPE,industryPB,vnindexPB
0,ABC,2023-01-27,2023-01-27,0.2,0.3,19.8,11.9,2.2,1.7
1,ABC,2023-01-30,2023-01-30,0.2,0.3,19.6,12.2,2.2,1.7
2,ABC,2023-01-31,2023-01-31,0.2,0.3,35.0,12.3,2.3,1.7
3,ABC,2023-02-01,2023-02-01,0.2,0.3,35.0,12.1,2.3,1.6
4,ABC,2023-02-02,2023-02-02,0.2,0.3,33.7,12.2,2.3,1.6
5,ABC,2023-02-03,2023-02-03,0.2,0.3,21.9,12.2,2.2,1.6
6,ABC,2023-02-06,2023-02-06,0.2,0.3,21.5,12.3,2.2,1.6
7,ABC,2023-02-07,2023-02-07,0.2,0.3,21.5,12.1,2.2,1.6
8,ABC,2023-02-08,2023-02-08,0.2,0.3,21.3,12.1,2.1,1.6
9,ABC,2023-02-09,2023-02-09,0.2,0.3,21.6,12.1,2.2,1.6
10,ABC,2023-02-10,2023-02-10,0.2,0.3,21.5,12.0,2.2,1.6
11,ABC,2023-02-13,2023-02-13,0.2,0.3,20.9,11.9,2.1,1.6
12,ABC,2023-02-14,2023-02-14,0.2,0.3,21.1,11.9,2.1,1.6
13,ABC,2023-02-15,2023-02-15,0.2,0.3,21.6,12.0,2.2,1.6
14,ABC,2023-02-16,2023-02-16,0.2,0.3,21.7,12.1,2.2,1.6
15,ABC,2023-02-17,2023-02-17,0.3,0.4,21.9,12.1,2.2,1.6
16,ABC,2023-02-20,2023-02-20,0.3,0.4,22.2,12.3,2.2,1.6
17,ABC,2023-02-21,2023-02-21,0.3,0.4,22.3,12.3,2.2,1.6
18,ABC,2023-02-22,2023-02-22,0.3,0.4,21.7,12.0,2.2,1.6
19,ABC,2023-02-23,2023-02-23,0.3,0.4,21.3,12.0,2.1,1.6
20,ABC,2023-02-24,2023-02-24,0.3,0.5,21.4,11.8,2.1,1.6
21,ABC,2023-02-27,2023-02-27,0.3,0.5,21.0,11.6,2.1,1.5
22,ABC,2023-02-28,2023-02-28,0.3,0.5,21.0,11.6,2.1,1.5
23,ABC,2023-03-01,2023-03-01,0.3,0.5,21.1,11.8,2.1,1.6
24,ABC,2023-03-02,2023-03-02,0.3,0.5,21.2,11.8,2.1,1.6
25,ABC,2023-03-03,2023-03-03,0.3,0.5,21.1,11.7,2.1,1.5
26,ABC,2023-03-06,2023-03-06,0.3,0.5,21.2,11.8,2.1,1.5
27,ABC,2023-03-07,2023-03-07,0.3,0.5,21.2,11.8,2.1,1.6
28,ABC,2023-03-08,2023-03-08,0.3,0.5,21.1,11.9,2.1,1.6
29,ABC,2023-03-09,2023-03-09,0.3,0.5,21.3,12.0,2.1,1.6
30,ABC,2023-03-10,2023-03-10,0.3,0.5,21.5,12.0,2.2,1.6
31,ABC,2023-03-13,2023-03-13,0.3,0.5,21.1,12.0,2.1,1.6
32,ABC,2023-03-14,2023-03-14,0.3,0.5,20.9,11.8,2.1,1.6
33,ABC,2023-03-15,2023-03-15,0.3,0.5,21.2,12.1,2.1,1.6
34,ABC,2023-03-16,2023-03-16,0.3,0.5,21.0,11.9,2.1,1.6
35,ABC,2023-03-17,2023-03-17,0.3,0.4,21.0,11.9,2.1,1.6
36,ABC,2023-03-20,2023-03-20,0.3,0.4,20.8,11.7,2.1,1.5
37,ABC,2023-03-21,2023-03-21,0.3,0.4,20.8,11.7,2.1,1.5
38,ABC,2023-03-22,2023-03-22,0.3,0.4,20.8,11.8,2.1,1.6
39,ABC,2023-03-23,2023-03-23,0.3,0.4,20.8,11.9,2.1,1.6
40,ABC,2023-03-24,2023-03-24,0.3,0.4,21.0,11.9,2.1,1.6
