,ticker,fromDate,toDate,PE,PB,industryPE,vnindexPE,industryPB,vnindexPB
0,ABR,2023-01-27,2023-01-27,5.5,0.6,13.9,11.9,2.0,1.7
1,ABR,2023-01-30,2023-01-30,5.5,0.6,13.5,12.2,1.9,1.7
2,ABR,2023-01-31,2023-01-31,5.8,0.6,13.7,12.3,1.9,1.7
3,ABR,2023-02-01,2023-02-01,6.2,0.7,14.0,12.1,1.9,1.6
4,ABR,2023-02-02,2023-02-02,6.6,0.7,13.9,12.2,1.9,1.6
5,ABR,2023-02-03,2023-02-03,6.6,0.7,14.0,12.2,1.9,1.6
6,ABR,2023-02-06,2023-02-06,7.1,0.8,14.2,12.3,1.9,1.6
7,ABR,2023-02-07,2023-02-07,7.5,0.8,14.1,12.1,1.9,1.6
8,ABR,2023-02-08,2023-02-08,8.0,0.9,14.0,12.1,1.9,1.6
9,ABR,2023-02-09,2023-02-09,8.3,0.9,13.9,12.1,1.9,1.6
10,ABR,2023-02-10,2023-02-10,8.7,1.0,14.0,12.0,1.9,1.6
11,ABR,2023-02-13,2023-02-13,8.1,0.9,13.9,11.9,1.9,1.6
12,ABR,2023-02-14,2023-02-14,8.1,0.9,13.8,11.9,1.8,1.6
13,ABR,2023-02-15,2023-02-15,7.7,0.8,13.8,12.0,1.9,1.6
14,ABR,2023-02-16,2023-02-16,7.2,0.8,13.9,12.1,1.9,1.6
15,ABR,2023-02-17,2023-02-17,6.9,0.8,13.9,12.1,1.9,1.6
16,ABR,2023-02-20,2023-02-20,6.9,0.8,13.9,12.3,1.9,1.6
17,ABR,2023-02-21,2023-02-21,7.0,0.8,13.9,12.3,1.9,1.6
18,ABR,2023-02-22,2023-02-22,6.9,0.8,13.8,12.0,1.8,1.6
19,ABR,2023-02-23,2023-02-23,6.5,0.7,13.7,12.0,1.8,1.6
20,ABR,2023-02-24,2023-02-24,6.5,0.7,13.7,11.8,1.8,1.6
21,ABR,2023-02-27,2023-02-27,6.4,0.7,13.6,11.6,1.8,1.5
22,ABR,2023-02-28,2023-02-28,6.4,0.7,13.5,11.6,1.8,1.5
23,ABR,2023-03-01,2023-03-01,6.0,0.7,13.6,11.8,1.8,1.6
24,ABR,2023-03-02,2023-03-02,5.8,0.6,13.6,11.8,1.8,1.6
25,ABR,2023-03-03,2023-03-03,5.4,0.6,13.5,11.7,1.8,1.5
26,ABR,2023-03-06,2023-03-06,5.8,0.6,13.6,11.8,1.8,1.5
27,ABR,2023-03-07,2023-03-07,5.7,0.6,13.7,11.8,1.8,1.6
28,ABR,2023-03-08,2023-03-08,5.7,0.6,13.6,11.9,1.8,1.6
29,ABR,2023-03-09,2023-03-09,5.8,0.6,13.7,12.0,1.8,1.6
30,ABR,2023-03-10,2023-03-10,6.2,0.7,13.8,12.0,1.9,1.6
31,ABR,2023-03-13,2023-03-13,5.8,0.6,13.7,12.0,1.8,1.6
32,ABR,2023-03-14,2023-03-14,5.6,0.6,13.6,11.8,1.8,1.6
33,ABR,2023-03-15,2023-03-15,5.9,0.7,13.7,12.1,1.8,1.6
34,ABR,2023-03-16,2023-03-16,5.6,0.6,13.6,11.9,1.8,1.6
35,ABR,2023-03-17,2023-03-17,5.4,0.6,13.5,11.9,1.8,1.6
36,ABR,2023-03-20,2023-03-20,5.4,0.6,13.5,11.7,1.8,1.5
37,ABR,2023-03-21,2023-03-21,5.6,0.6,13.6,11.7,1.8,1.5
38,ABR,2023-03-22,2023-03-22,5.5,0.6,13.6,11.8,1.8,1.6
39,ABR,2023-03-23,2023-03-23,5.5,0.6,13.6,11.9,1.8,1.6
40,ABR,2023-03-24,2023-03-24,5.5,0.6,13.6,11.9,1.8,1.6
41,ABR,2023-03-27,2023-03-27,5.5,0.6,13.4,11.9,1.8,1.6
42,ABR,2023-03-28,2023-03-28,5.5,0.6,13.3,12.0,1.8,1.6
43,ABR,2023-03-29,2023-03-29,5.4,0.6,13.3,12.0,1.8,1.6
