,ticker,fromDate,toDate,PE,PB,industryPE,vnindexPE,industryPB,vnindexPB
0,ABW,2023-05-30,2023-05-30,33.6,1.1,42.0,13.0,1.2,1.6
1,ABW,2023-05-31,2023-05-31,30.5,1.0,42.5,13.0,1.2,1.6
2,ABW,2023-06-01,2023-06-01,26.9,0.9,43.3,13.1,1.2,1.6
3,ABW,2023-06-02,2023-06-02,28.6,0.9,43.7,13.2,1.2,1.6
4,ABW,2023-06-05,2023-06-05,29.3,1.0,43.3,13.3,1.2,1.6
5,ABW,2023-06-06,2023-06-06,28.8,0.9,44.8,13.4,1.2,1.6
6,ABW,2023-06-07,2023-06-07,28.8,0.9,45.0,13.4,1.2,1.6
7,ABW,2023-06-08,2023-06-08,28.3,0.9,43.7,13.3,1.2,1.6
8,ABW,2023-06-09,2023-06-09,27.9,0.9,44.7,13.2,1.2,1.6
9,ABW,2023-06-12,2023-06-12,27.9,0.9,44.7,13.5,1.2,1.6
10,ABW,2023-06-13,2023-06-13,28.3,0.9,44.9,13.5,1.2,1.6
11,ABW,2023-06-14,2023-06-14,28.6,0.9,44.4,13.5,1.2,1.6
12,ABW,2023-06-15,2023-06-15,28.3,0.9,44.8,13.4,1.2,1.6
13,ABW,2023-06-16,2023-06-16,28.6,0.9,45.5,13.4,1.3,1.6
14,ABW,2023-06-19,2023-06-19,28.1,0.9,45.2,13.3,1.3,1.6
15,ABW,2023-06-20,2023-06-20,27.9,0.9,45.8,13.4,1.3,1.6
16,ABW,2023-06-21,2023-06-21,28.1,0.9,46.8,13.4,1.3,1.6
17,ABW,2023-06-22,2023-06-22,29.5,1.0,46.9,13.5,1.3,1.6
18,ABW,2023-06-23,2023-06-23,29.8,1.0,47.0,13.6,1.3,1.6
19,ABW,2023-06-26,2023-06-26,28.8,0.9,46.3,13.6,1.3,1.6
20,ABW,2023-06-27,2023-06-27,29.5,1.0,47.1,13.6,1.3,1.6
21,ABW,2023-06-28,2023-06-28,29.3,1.0,47.1,13.7,1.3,1.7
22,ABW,2023-06-29,2023-06-29,28.3,0.9,45.4,13.6,1.3,1.6
23,ABW,2023-06-30,2023-06-30,28.1,0.9,45.6,13.5,1.3,1.6
24,ABW,2023-07-03,2023-07-03,28.1,0.9,45.7,13.5,1.3,1.6
25,ABW,2023-07-04,2023-07-04,28.1,0.9,47.2,13.6,1.3,1.6
26,ABW,2023-07-05,2023-07-05,28.1,0.9,47.0,13.6,1.3,1.6
27,ABW,2023-07-06,2023-07-06,27.9,0.9,46.5,13.5,1.3,1.6
28,ABW,2023-07-07,2023-07-07,27.6,0.9,46.6,13.7,1.3,1.7
29,ABW,2023-07-10,2023-07-10,27.9,0.9,47.6,13.8,1.3,1.7
30,ABW,2023-07-11,2023-07-11,27.4,0.9,47.9,13.8,1.3,1.7
31,ABW,2023-07-12,2023-07-12,27.9,0.9,47.7,13.9,1.3,1.7
32,ABW,2023-07-13,2023-07-13,27.9,0.9,47.9,14.0,1.3,1.7
33,ABW,2023-07-14,2023-07-14,27.6,0.9,48.5,14.0,1.3,1.7
34,ABW,2023-07-17,2023-07-17,27.6,0.9,48.8,14.0,1.4,1.7
35,ABW,2023-07-18,2023-07-18,28.3,0.9,45.8,14.1,1.3,1.7
36,ABW,2023-07-19,2023-07-19,28.1,0.9,45.0,14.1,1.3,1.7
37,ABW,2023-07-20,2023-07-20,27.9,0.9,46.2,14.1,1.3,1.7
38,ABW,2023-07-21,2023-07-21,27.9,0.9,33.1,14.3,1.4,1.7
39,ABW,2023-07-24,2023-07-24,28.6,0.9,31.2,14.4,1.4,1.7
40,ABW,2023-07-25,2023-07-25,28.8,0.9,31.2,14.5,1.4,1.7
41,ABW,2023-07-26,2023-07-26,28.1,0.9,31.3,14.5,1.4,1.7
42,ABW,2023-07-27,2023-07-27,27.9,0.9,31.5,14.5,1.4,1.7
43,ABW,2023-07-28,2023-07-28,27.9,0.9,31.4,14.6,1.4,1.7
44,ABW,2023-07-31,2023-07-31,27.9,0.9,31.9,15.1,1.4,1.7
45,ABW,2023-08-01,2023-08-01,27.9,0.9,30.3,15.2,1.4,1.7
46,ABW,2023-08-02,2023-08-02,27.9,0.9,29.5,15.2,1.4,1.7
47,ABW,2023-08-03,2023-08-03,28.6,0.9,29.3,15.1,1.4,1.7
48,ABW,2023-08-04,2023-08-04,28.3,0.9,30.0,15.3,1.4,1.7
49,ABW,2023-08-07,2023-08-07,30.7,1.0,30.5,15.5,1.4,1.8
50,ABW,2023-08-08,2023-08-08,34.5,1.1,30.2,15.5,1.4,1.8
51,ABW,2023-08-09,2023-08-09,34.5,1.1,29.8,15.4,1.4,1.8
52,ABW,2023-08-10,2023-08-10,32.9,1.1,29.5,15.3,1.4,1.7
53,ABW,2023-08-11,2023-08-11,33.3,1.1,29.6,15.4,1.4,1.8
54,ABW,2023-08-14,2023-08-14,34.3,1.1,30.6,15.4,1.5,1.8
55,ABW,2023-08-15,2023-08-15,33.3,1.1,30.3,15.4,1.4,1.8
56,ABW,2023-08-16,2023-08-16,33.3,1.1,30.9,15.5,1.4,1.8
57,ABW,2023-08-17,2023-08-17,34.8,1.1,31.3,15.4,1.5,1.8
58,ABW,2023-08-18,2023-08-18,32.6,1.1,29.2,14.8,1.4,1.7
59,ABW,2023-08-21,2023-08-21,31.7,1.0,29.2,14.7,1.4,1.7
60,ABW,2023-08-22,2023-08-22,31.2,1.0,30.3,14.8,1.4,1.7
61,ABW,2023-08-23,2023-08-23,31.9,1.0,29.9,14.7,1.4,1.7
62,ABW,2023-08-24,2023-08-24,31.9,1.0,31.2,14.9,1.5,1.7
63,ABW,2023-08-25,2023-08-25,33.1,1.1,32.5,14.8,1.5,1.7
64,ABW,2023-08-28,2023-08-28,32.4,1.1,33.0,15.0,1.5,1.7
65,ABW,2023-08-29,2023-08-29,33.1,1.1,33.3,15.1,1.5,1.7
66,ABW,2023-08-30,2023-08-30,33.6,1.1,34.6,15.2,1.6,1.7
