,ticker,fromDate,toDate,PE,PB,industryPE,vnindexPE,industryPB,vnindexPB
0,ACB,2023-01-27,2023-01-27,5.9,1.4,8.9,11.9,1.6,1.7
1,ACB,2023-01-30,2023-01-30,5.7,1.3,8.6,12.2,1.5,1.7
2,ACB,2023-01-31,2023-01-31,5.8,1.4,8.6,12.3,1.6,1.7
3,ACB,2023-02-01,2023-02-01,5.6,1.3,8.3,12.1,1.5,1.6
4,ACB,2023-02-02,2023-02-02,5.6,1.3,8.3,12.2,1.5,1.6
5,ACB,2023-02-03,2023-02-03,5.5,1.3,8.3,12.2,1.5,1.6
6,ACB,2023-02-06,2023-02-06,5.6,1.3,8.5,12.3,1.5,1.6
7,ACB,2023-02-07,2023-02-07,5.5,1.3,8.3,12.1,1.5,1.6
8,ACB,2023-02-08,2023-02-08,5.5,1.3,8.4,12.1,1.5,1.6
9,ACB,2023-02-09,2023-02-09,5.5,1.3,8.4,12.1,1.5,1.6
10,ACB,2023-02-10,2023-02-10,5.4,1.3,8.2,12.0,1.5,1.6
11,ACB,2023-02-13,2023-02-13,5.3,1.2,8.2,11.9,1.5,1.6
12,ACB,2023-02-14,2023-02-14,5.3,1.2,8.1,11.9,1.5,1.6
13,ACB,2023-02-15,2023-02-15,5.5,1.3,8.2,12.0,1.5,1.6
14,ACB,2023-02-16,2023-02-16,5.5,1.3,8.3,12.1,1.5,1.6
15,ACB,2023-02-17,2023-02-17,5.5,1.3,8.3,12.1,1.5,1.6
16,ACB,2023-02-20,2023-02-20,5.8,1.3,8.5,12.3,1.5,1.6
17,ACB,2023-02-21,2023-02-21,5.7,1.3,8.5,12.3,1.5,1.6
18,ACB,2023-02-22,2023-02-22,5.5,1.3,8.3,12.0,1.5,1.6
19,ACB,2023-02-23,2023-02-23,5.7,1.3,8.3,12.0,1.5,1.6
20,ACB,2023-02-24,2023-02-24,5.5,1.3,8.2,11.8,1.5,1.6
21,ACB,2023-02-27,2023-02-27,5.4,1.3,8.1,11.6,1.5,1.5
22,ACB,2023-02-28,2023-02-28,5.4,1.3,8.1,11.6,1.5,1.5
23,ACB,2023-03-01,2023-03-01,5.6,1.3,8.3,11.8,1.5,1.6
24,ACB,2023-03-02,2023-03-02,5.6,1.3,8.3,11.8,1.5,1.6
25,ACB,2023-03-03,2023-03-03,5.5,1.3,8.1,11.7,1.5,1.5
26,ACB,2023-03-06,2023-03-06,5.4,1.3,8.2,11.8,1.5,1.5
27,ACB,2023-03-07,2023-03-07,5.5,1.3,8.3,11.8,1.5,1.6
28,ACB,2023-03-08,2023-03-08,5.6,1.3,8.4,11.9,1.5,1.6
29,ACB,2023-03-09,2023-03-09,5.7,1.3,8.4,12.0,1.5,1.6
30,ACB,2023-03-10,2023-03-10,5.6,1.3,8.4,12.0,1.5,1.6
31,ACB,2023-03-13,2023-03-13,5.5,1.3,8.3,12.0,1.5,1.6
32,ACB,2023-03-14,2023-03-14,5.4,1.2,8.2,11.8,1.5,1.6
33,ACB,2023-03-15,2023-03-15,5.5,1.3,8.4,12.1,1.5,1.6
34,ACB,2023-03-16,2023-03-16,5.4,1.3,8.3,11.9,1.5,1.6
35,ACB,2023-03-17,2023-03-17,5.4,1.3,8.2,11.9,1.5,1.6
36,ACB,2023-03-20,2023-03-20,5.4,1.2,8.0,11.7,1.5,1.5
37,ACB,2023-03-21,2023-03-21,5.4,1.3,8.1,11.7,1.5,1.5
38,ACB,2023-03-22,2023-03-22,5.4,1.3,8.2,11.8,1.5,1.6
39,ACB,2023-03-23,2023-03-23,5.5,1.3,8.3,11.9,1.5,1.6
40,ACB,2023-03-24,2023-03-24,5.5,1.3,8.3,11.9,1.5,1.6
41,ACB,2023-03-27,2023-03-27,5.5,1.3,8.3,11.9,1.5,1.6
42,ACB,2023-03-28,2023-03-28,5.5,1.3,8.4,12.0,1.5,1.6
43,ACB,2023-03-29,2023-03-29,5.4,1.3,8.4,12.0,1.5,1.6
44,ACB,2023-03-30,2023-03-30,5.5,1.3,8.4,12.0,1.5,1.6
45,ACB,2023-03-31,2023-03-31,5.6,1.3,8.5,12.1,1.5,1.6
46,ACB,2023-04-03,2023-04-03,5.7,1.3,8.6,12.2,1.5,1.6
47,ACB,2023-04-04,2023-04-04,5.6,1.3,8.6,12.2,1.5,1.6
48,ACB,2023-04-05,2023-04-05,5.7,1.3,8.6,12.3,1.5,1.6
49,ACB,2023-04-06,2023-04-06,5.6,1.3,8.5,12.2,1.5,1.6
50,ACB,2023-04-07,2023-04-07,5.6,1.3,8.5,12.1,1.5,1.6
51,ACB,2023-04-10,2023-04-10,5.6,1.3,8.4,12.1,1.5,1.6
52,ACB,2023-04-11,2023-04-11,5.6,1.3,8.4,12.1,1.5,1.6
53,ACB,2023-04-12,2023-04-12,5.6,1.3,8.4,12.2,1.5,1.6
54,ACB,2023-04-13,2023-04-13,5.6,1.3,8.4,12.1,1.5,1.6
55,ACB,2023-04-14,2023-04-14,5.6,1.3,8.4,12.0,1.5,1.6
56,ACB,2023-04-17,2023-04-17,5.6,1.3,8.4,12.0,1.5,1.6
57,ACB,2023-04-18,2023-04-18,5.6,1.3,8.3,12.0,1.5,1.6
58,ACB,2023-04-19,2023-04-19,5.5,1.3,8.3,11.9,1.5,1.6
59,ACB,2023-04-20,2023-04-20,5.4,1.3,8.3,12.0,1.4,1.5
60,ACB,2023-04-21,2023-04-21,5.4,1.3,8.2,12.0,1.5,1.6
61,ACB,2023-04-24,2023-04-24,5.4,1.2,8.2,11.8,1.5,1.5
62,ACB,2023-04-25,2023-04-25,5.4,1.2,8.2,11.8,1.5,1.5
63,ACB,2023-04-26,2023-04-26,5.4,1.2,8.3,11.9,1.5,1.6
64,ACB,2023-04-27,2023-04-27,5.4,1.2,8.3,11.9,1.5,1.6
65,ACB,2023-04-28,2023-04-28,5.4,1.2,8.2,12.3,1.5,1.5
66,ACB,2023-05-04,2023-05-04,5.5,1.3,8.3,12.5,1.4,1.5
67,ACB,2023-05-05,2023-05-05,5.5,1.3,8.3,12.5,1.4,1.5
68,ACB,2023-05-08,2023-05-08,5.6,1.3,8.4,12.7,1.4,1.5
69,ACB,2023-05-09,2023-05-09,5.6,1.3,8.4,12.7,1.4,1.5
70,ACB,2023-05-10,2023-05-10,5.6,1.3,8.4,12.7,1.5,1.5
71,ACB,2023-05-11,2023-05-11,5.6,1.3,8.4,12.8,1.4,1.5
72,ACB,2023-05-12,2023-05-12,5.6,1.3,8.5,12.9,1.5,1.6
73,ACB,2023-05-15,2023-05-15,5.6,1.3,8.5,12.8,1.5,1.6
74,ACB,2023-05-16,2023-05-16,5.6,1.3,8.5,12.9,1.5,1.6
75,ACB,2023-05-17,2023-05-17,5.6,1.3,8.4,12.8,1.4,1.5
76,ACB,2023-05-18,2023-05-18,5.6,1.3,8.5,12.9,1.5,1.6
77,ACB,2023-05-19,2023-05-19,5.6,1.3,8.5,12.9,1.5,1.6
