,ticker,fromDate,toDate,PE,PB,industryPE,vnindexPE,industryPB,vnindexPB
0,AGR,2023-01-27,2023-01-27,12.5,0.7,13.3,11.9,1.0,1.7
1,AGR,2023-01-30,2023-01-30,12.5,0.7,13.3,12.2,1.0,1.7
2,AGR,2023-01-31,2023-01-31,12.6,0.7,16.2,12.3,1.0,1.7
3,AGR,2023-02-01,2023-02-01,12.2,0.7,15.2,12.1,1.0,1.6
4,AGR,2023-02-02,2023-02-02,12.0,0.7,17.5,12.2,1.0,1.6
5,AGR,2023-02-03,2023-02-03,11.9,0.7,17.3,12.2,1.0,1.6
6,AGR,2023-02-06,2023-02-06,12.0,0.7,17.4,12.3,1.0,1.6
7,AGR,2023-02-07,2023-02-07,11.8,0.7,16.9,12.1,0.9,1.6
8,AGR,2023-02-08,2023-02-08,11.9,0.7,17.2,12.1,1.0,1.6
9,AGR,2023-02-09,2023-02-09,11.9,0.7,17.2,12.1,0.9,1.6
10,AGR,2023-02-10,2023-02-10,11.7,0.6,18.7,12.0,0.9,1.6
11,AGR,2023-02-13,2023-02-13,10.9,0.6,17.9,11.9,0.9,1.6
12,AGR,2023-02-14,2023-02-14,11.2,0.6,18.2,11.9,0.9,1.6
13,AGR,2023-02-15,2023-02-15,11.4,0.6,18.4,12.0,0.9,1.6
14,AGR,2023-02-16,2023-02-16,11.6,0.6,19.4,12.1,0.9,1.6
15,AGR,2023-02-17,2023-02-17,11.6,0.6,19.3,12.1,0.9,1.6
16,AGR,2023-02-20,2023-02-20,12.3,0.7,20.5,12.3,1.0,1.6
17,AGR,2023-02-21,2023-02-21,12.1,0.7,20.3,12.3,1.0,1.6
18,AGR,2023-02-22,2023-02-22,11.7,0.6,19.3,12.0,0.9,1.6
19,AGR,2023-02-23,2023-02-23,11.7,0.6,19.5,12.0,0.9,1.6
20,AGR,2023-02-24,2023-02-24,11.5,0.6,19.0,11.8,0.9,1.6
21,AGR,2023-02-27,2023-02-27,11.4,0.6,18.2,11.6,0.9,1.5
22,AGR,2023-02-28,2023-02-28,11.4,0.6,18.3,11.6,0.9,1.5
23,AGR,2023-03-01,2023-03-01,11.7,0.6,19.0,11.8,0.9,1.6
24,AGR,2023-03-02,2023-03-02,11.6,0.6,18.8,11.8,0.9,1.6
25,AGR,2023-03-03,2023-03-03,11.4,0.6,18.4,11.7,0.9,1.5
26,AGR,2023-03-06,2023-03-06,11.6,0.6,18.7,11.8,0.9,1.5
27,AGR,2023-03-07,2023-03-07,11.6,0.6,19.1,11.8,0.9,1.6
28,AGR,2023-03-08,2023-03-08,11.6,0.6,19.4,11.9,0.9,1.6
29,AGR,2023-03-09,2023-03-09,11.8,0.6,19.4,12.0,0.9,1.6
30,AGR,2023-03-10,2023-03-10,11.7,0.6,19.3,12.0,0.9,1.6
31,AGR,2023-03-13,2023-03-13,11.5,0.6,19.3,12.0,0.9,1.6
32,AGR,2023-03-14,2023-03-14,11.3,0.6,18.8,11.8,0.9,1.6
33,AGR,2023-03-15,2023-03-15,12.0,0.7,20.0,12.1,1.0,1.6
34,AGR,2023-03-16,2023-03-16,12.0,0.7,19.7,11.9,0.9,1.6
35,AGR,2023-03-17,2023-03-17,12.0,0.7,19.8,11.9,1.0,1.6
36,AGR,2023-03-20,2023-03-20,11.7,0.6,19.2,11.7,0.9,1.5
37,AGR,2023-03-21,2023-03-21,11.9,0.7,19.6,11.7,0.9,1.5
38,AGR,2023-03-22,2023-03-22,11.9,0.7,19.6,11.8,0.9,1.6
39,AGR,2023-03-23,2023-03-23,12.0,0.7,20.1,11.9,1.0,1.6
40,AGR,2023-03-24,2023-03-24,12.1,0.7,20.2,11.9,1.0,1.6
41,AGR,2023-03-27,2023-03-27,12.7,0.7,20.6,11.9,1.0,1.6
42,AGR,2023-03-28,2023-03-28,12.6,0.7,20.4,12.0,1.0,1.6
43,AGR,2023-03-29,2023-03-29,12.9,0.7,20.7,12.0,1.0,1.6
44,AGR,2023-03-30,2023-03-30,13.2,0.7,20.7,12.0,1.0,1.6
45,AGR,2023-03-31,2023-03-31,13.9,0.8,21.1,12.1,1.0,1.6
46,AGR,2023-04-03,2023-04-03,12.6,0.8,21.6,12.2,1.0,1.6
47,AGR,2023-04-04,2023-04-04,12.8,0.8,22.1,12.2,1.1,1.6
48,AGR,2023-04-05,2023-04-05,13.1,0.9,22.4,12.3,1.1,1.6
49,AGR,2023-04-06,2023-04-06,12.4,0.8,21.8,12.2,1.0,1.6
50,AGR,2023-04-07,2023-04-07,13.0,0.9,22.2,12.1,1.1,1.6
51,AGR,2023-04-10,2023-04-10,13.1,0.9,22.3,12.1,1.1,1.6
52,AGR,2023-04-11,2023-04-11,13.1,0.9,22.6,12.1,1.1,1.6
53,AGR,2023-04-12,2023-04-12,12.7,0.8,22.2,12.2,1.1,1.6
54,AGR,2023-04-13,2023-04-13,12.4,0.8,21.8,12.1,1.0,1.6
55,AGR,2023-04-14,2023-04-14,12.3,0.8,21.6,12.0,1.0,1.6
56,AGR,2023-04-17,2023-04-17,12.7,0.8,21.7,12.0,1.0,1.6
57,AGR,2023-04-18,2023-04-18,13.1,0.9,22.2,12.0,1.1,1.6
58,AGR,2023-04-19,2023-04-19,14.0,0.9,22.2,11.9,1.0,1.6
59,AGR,2023-04-20,2023-04-20,14.2,0.9,36.4,12.0,1.0,1.5
60,AGR,2023-04-21,2023-04-21,15.2,1.0,27.4,12.0,1.1,1.6
61,AGR,2023-04-24,2023-04-24,15.7,1.0,29.2,11.8,1.0,1.5
62,AGR,2023-04-25,2023-04-25,14.6,1.0,28.3,11.8,1.0,1.5
63,AGR,2023-04-26,2023-04-26,15.3,1.0,29.3,11.9,1.0,1.6
64,AGR,2023-04-27,2023-04-27,15.0,1.0,29.1,11.9,1.0,1.6
65,AGR,2023-04-28,2023-04-28,14.9,1.0,28.3,12.3,1.0,1.5
66,AGR,2023-05-04,2023-05-04,15.9,1.1,36.0,12.5,1.0,1.5
67,AGR,2023-05-05,2023-05-05,15.7,1.0,35.7,12.5,1.0,1.5
68,AGR,2023-05-08,2023-05-08,15.8,1.0,38.1,12.7,1.1,1.5
69,AGR,2023-05-09,2023-05-09,15.8,1.0,38.1,12.7,1.1,1.5
70,AGR,2023-05-10,2023-05-10,15.7,1.0,38.4,12.7,1.1,1.5
71,AGR,2023-05-11,2023-05-11,15.7,1.0,38.5,12.8,1.1,1.5
72,AGR,2023-05-12,2023-05-12,16.1,1.1,39.4,12.9,1.1,1.6
73,AGR,2023-05-15,2023-05-15,15.9,1.1,38.9,12.8,1.1,1.6
74,AGR,2023-05-16,2023-05-16,15.9,1.0,39.1,12.9,1.1,1.6
75,AGR,2023-05-17,2023-05-17,15.7,1.0,38.4,12.8,1.1,1.5
76,AGR,2023-05-18,2023-05-18,16.1,1.1,39.3,12.9,1.1,1.6
