,ticker,fromDate,toDate,PE,PB,industryPE,vnindexPE,industryPB,vnindexPB
0,APG,2023-01-27,2023-01-27,-3.8,0.6,13.3,11.9,1.0,1.7
1,APG,2023-01-30,2023-01-30,-3.8,0.6,13.3,12.2,1.0,1.7
2,APG,2023-01-31,2023-01-31,-3.8,0.6,16.2,12.3,1.0,1.7
3,APG,2023-02-01,2023-02-01,-3.8,0.6,15.2,12.1,1.0,1.6
4,APG,2023-02-02,2023-02-02,-3.7,0.6,17.5,12.2,1.0,1.6
5,APG,2023-02-03,2023-02-03,-3.7,0.6,17.3,12.2,1.0,1.6
6,APG,2023-02-06,2023-02-06,-3.6,0.5,17.4,12.3,1.0,1.6
7,APG,2023-02-07,2023-02-07,-3.5,0.5,16.9,12.1,0.9,1.6
8,APG,2023-02-08,2023-02-08,-3.6,0.6,17.2,12.1,1.0,1.6
9,APG,2023-02-09,2023-02-09,-3.8,0.6,17.2,12.1,0.9,1.6
10,APG,2023-02-10,2023-02-10,-3.8,0.6,18.7,12.0,0.9,1.6
11,APG,2023-02-13,2023-02-13,-3.7,0.6,17.9,11.9,0.9,1.6
12,APG,2023-02-14,2023-02-14,-4.0,0.6,18.2,11.9,0.9,1.6
13,APG,2023-02-15,2023-02-15,-4.1,0.6,18.4,12.0,0.9,1.6
14,APG,2023-02-16,2023-02-16,-4.0,0.6,19.4,12.1,0.9,1.6
15,APG,2023-02-17,2023-02-17,-4.0,0.6,19.3,12.1,0.9,1.6
16,APG,2023-02-20,2023-02-20,-4.3,0.7,20.5,12.3,1.0,1.6
17,APG,2023-02-21,2023-02-21,-4.2,0.6,20.3,12.3,1.0,1.6
18,APG,2023-02-22,2023-02-22,-4.0,0.6,19.3,12.0,0.9,1.6
19,APG,2023-02-23,2023-02-23,-4.0,0.6,19.5,12.0,0.9,1.6
20,APG,2023-02-24,2023-02-24,-4.1,0.6,19.0,11.8,0.9,1.6
21,APG,2023-02-27,2023-02-27,-4.0,0.6,18.2,11.6,0.9,1.5
22,APG,2023-02-28,2023-02-28,-4.1,0.6,18.3,11.6,0.9,1.5
23,APG,2023-03-01,2023-03-01,-4.2,0.6,19.0,11.8,0.9,1.6
24,APG,2023-03-02,2023-03-02,-4.1,0.6,18.8,11.8,0.9,1.6
25,APG,2023-03-03,2023-03-03,-4.1,0.6,18.4,11.7,0.9,1.5
26,APG,2023-03-06,2023-03-06,-4.1,0.6,18.7,11.8,0.9,1.5
27,APG,2023-03-07,2023-03-07,-4.3,0.7,19.1,11.8,0.9,1.6
28,APG,2023-03-08,2023-03-08,-4.3,0.7,19.4,11.9,0.9,1.6
29,APG,2023-03-09,2023-03-09,-4.2,0.6,19.4,12.0,0.9,1.6
30,APG,2023-03-10,2023-03-10,-4.2,0.6,19.3,12.0,0.9,1.6
31,APG,2023-03-13,2023-03-13,-4.2,0.6,19.3,12.0,0.9,1.6
32,APG,2023-03-14,2023-03-14,-3.9,0.6,18.8,11.8,0.9,1.6
33,APG,2023-03-15,2023-03-15,-4.1,0.6,20.0,12.1,1.0,1.6
34,APG,2023-03-16,2023-03-16,-4.2,0.6,19.7,11.9,0.9,1.6
35,APG,2023-03-17,2023-03-17,-4.2,0.6,19.8,11.9,1.0,1.6
36,APG,2023-03-20,2023-03-20,-4.2,0.6,19.2,11.7,0.9,1.5
37,APG,2023-03-21,2023-03-21,-4.2,0.6,19.6,11.7,0.9,1.5
38,APG,2023-03-22,2023-03-22,-4.3,0.7,19.6,11.8,0.9,1.6
39,APG,2023-03-23,2023-03-23,-4.3,0.7,20.1,11.9,1.0,1.6
40,APG,2023-03-24,2023-03-24,-4.5,0.7,20.2,11.9,1.0,1.6
41,APG,2023-03-27,2023-03-27,-4.5,0.7,20.6,11.9,1.0,1.6
42,APG,2023-03-28,2023-03-28,-4.4,0.7,20.4,12.0,1.0,1.6
43,APG,2023-03-29,2023-03-29,-4.4,0.7,20.7,12.0,1.0,1.6
44,APG,2023-03-30,2023-03-30,-4.4,0.7,20.7,12.0,1.0,1.6
45,APG,2023-03-31,2023-03-31,-4.4,0.7,21.1,12.1,1.0,1.6
46,APG,2023-04-03,2023-04-03,-10.9,0.7,21.6,12.2,1.0,1.6
47,APG,2023-04-04,2023-04-04,-11.2,0.7,22.1,12.2,1.1,1.6
48,APG,2023-04-05,2023-04-05,-11.3,0.7,22.4,12.3,1.1,1.6
49,APG,2023-04-06,2023-04-06,-10.9,0.7,21.8,12.2,1.0,1.6
