,ticker,fromDate,toDate,PE,PB,industryPE,vnindexPE,industryPB,vnindexPB
0,BCM,2023-01-27,2023-01-27,68.5,5.1,16.7,11.9,1.5,1.7
1,BCM,2023-01-30,2023-01-30,68.2,5.1,17.7,12.2,1.4,1.7
2,BCM,2023-01-31,2023-01-31,68.2,5.1,16.1,12.3,1.4,1.7
3,BCM,2023-02-01,2023-02-01,67.5,5.1,15.7,12.1,1.4,1.6
4,BCM,2023-02-02,2023-02-02,67.5,5.1,15.7,12.2,1.4,1.6
5,BCM,2023-02-03,2023-02-03,67.5,5.1,15.7,12.2,1.4,1.6
6,BCM,2023-02-06,2023-02-06,67.5,5.1,15.8,12.3,1.4,1.6
7,BCM,2023-02-07,2023-02-07,67.5,5.1,15.5,12.1,1.4,1.6
8,BCM,2023-02-08,2023-02-08,67.9,5.1,15.4,12.1,1.3,1.6
9,BCM,2023-02-09,2023-02-09,68.1,5.1,15.2,12.1,1.3,1.6
10,BCM,2023-02-10,2023-02-10,67.9,5.1,15.1,12.0,1.3,1.6
11,BCM,2023-02-13,2023-02-13,67.4,5.0,14.8,11.9,1.3,1.6
12,BCM,2023-02-14,2023-02-14,67.9,5.1,14.6,11.9,1.3,1.6
13,BCM,2023-02-15,2023-02-15,68.3,5.1,14.7,12.0,1.3,1.6
14,BCM,2023-02-16,2023-02-16,68.3,5.1,14.8,12.1,1.3,1.6
15,BCM,2023-02-17,2023-02-17,68.3,5.1,14.9,12.1,1.3,1.6
16,BCM,2023-02-20,2023-02-20,69.1,5.2,15.2,12.3,1.3,1.6
17,BCM,2023-02-21,2023-02-21,68.7,5.1,15.3,12.3,1.3,1.6
18,BCM,2023-02-22,2023-02-22,67.9,5.1,14.7,12.0,1.3,1.6
19,BCM,2023-02-23,2023-02-23,68.0,5.1,14.6,12.0,1.3,1.6
20,BCM,2023-02-24,2023-02-24,67.6,5.1,14.4,11.8,1.3,1.6
21,BCM,2023-02-27,2023-02-27,67.0,5.0,14.2,11.6,1.2,1.5
22,BCM,2023-02-28,2023-02-28,67.3,5.0,14.3,11.6,1.3,1.5
23,BCM,2023-03-01,2023-03-01,67.8,5.1,14.3,11.8,1.3,1.6
24,BCM,2023-03-02,2023-03-02,67.5,5.1,14.2,11.8,1.2,1.6
25,BCM,2023-03-03,2023-03-03,67.1,5.0,14.2,11.7,1.2,1.5
26,BCM,2023-03-06,2023-03-06,67.3,5.0,14.4,11.8,1.3,1.5
27,BCM,2023-03-07,2023-03-07,67.5,5.1,14.4,11.8,1.3,1.6
28,BCM,2023-03-08,2023-03-08,67.9,5.1,14.5,11.9,1.3,1.6
29,BCM,2023-03-09,2023-03-09,67.5,5.1,14.6,12.0,1.3,1.6
30,BCM,2023-03-10,2023-03-10,67.4,5.0,14.6,12.0,1.3,1.6
31,BCM,2023-03-13,2023-03-13,67.3,5.0,14.8,12.0,1.3,1.6
32,BCM,2023-03-14,2023-03-14,66.8,5.0,14.6,11.8,1.3,1.6
33,BCM,2023-03-15,2023-03-15,66.9,5.0,14.9,12.1,1.3,1.6
34,BCM,2023-03-16,2023-03-16,66.1,4.9,14.7,11.9,1.3,1.6
35,BCM,2023-03-17,2023-03-17,66.2,5.0,14.7,11.9,1.3,1.6
36,BCM,2023-03-20,2023-03-20,65.6,4.9,14.5,11.7,1.3,1.5
37,BCM,2023-03-21,2023-03-21,65.9,4.9,14.8,11.7,1.3,1.5
38,BCM,2023-03-22,2023-03-22,65.5,4.9,15.0,11.8,1.3,1.6
39,BCM,2023-03-23,2023-03-23,65.8,4.9,15.0,11.9,1.3,1.6
40,BCM,2023-03-24,2023-03-24,65.9,4.9,15.2,11.9,1.3,1.6
41,BCM,2023-03-27,2023-03-27,66.1,4.9,15.2,11.9,1.3,1.6
42,BCM,2023-03-28,2023-03-28,66.2,5.0,15.1,12.0,1.3,1.6
43,BCM,2023-03-29,2023-03-29,66.1,4.9,15.2,12.0,1.3,1.6
44,BCM,2023-03-30,2023-03-30,66.2,5.0,15.3,12.0,1.3,1.6
45,BCM,2023-03-31,2023-03-31,66.6,5.0,15.6,12.1,1.4,1.6
46,BCM,2023-04-03,2023-04-03,197.1,5.0,16.1,12.2,1.4,1.6
47,BCM,2023-04-04,2023-04-04,193.6,4.9,15.9,12.2,1.4,1.6
48,BCM,2023-04-05,2023-04-05,191.7,4.9,15.9,12.3,1.4,1.6
49,BCM,2023-04-06,2023-04-06,190.0,4.9,15.8,12.2,1.4,1.6
50,BCM,2023-04-07,2023-04-07,189.3,4.8,15.7,12.1,1.4,1.6
51,BCM,2023-04-10,2023-04-10,188.8,4.8,15.6,12.1,1.4,1.6
52,BCM,2023-04-11,2023-04-11,189.3,4.8,15.8,12.1,1.4,1.6
53,BCM,2023-04-12,2023-04-12,188.8,4.8,15.8,12.2,1.4,1.6
54,BCM,2023-04-13,2023-04-13,188.4,4.8,15.6,12.1,1.4,1.6
55,BCM,2023-04-14,2023-04-14,187.2,4.8,15.4,12.0,1.4,1.6
56,BCM,2023-04-17,2023-04-17,187.4,4.8,15.5,12.0,1.4,1.6
57,BCM,2023-04-18,2023-04-18,187.7,4.8,15.6,12.0,1.4,1.6
58,BCM,2023-04-19,2023-04-19,187.0,4.8,15.4,11.9,1.4,1.6
59,BCM,2023-04-20,2023-04-20,187.4,4.8,14.4,12.0,1.3,1.5
60,BCM,2023-04-21,2023-04-21,186.7,4.8,15.5,12.0,1.3,1.6
61,BCM,2023-04-24,2023-04-24,186.7,4.8,13.9,11.8,1.3,1.5
62,BCM,2023-04-25,2023-04-25,185.8,4.7,13.9,11.8,1.4,1.5
63,BCM,2023-04-26,2023-04-26,185.8,4.7,13.8,11.9,1.3,1.6
64,BCM,2023-04-27,2023-04-27,185.3,4.7,13.7,11.9,1.3,1.6
65,BCM,2023-04-28,2023-04-28,185.8,4.7,13.9,12.3,1.3,1.5
66,BCM,2023-05-04,2023-05-04,184.4,4.7,14.2,12.5,1.3,1.5
67,BCM,2023-05-05,2023-05-05,183.9,4.7,14.2,12.5,1.3,1.5
68,BCM,2023-05-08,2023-05-08,184.4,4.7,14.3,12.7,1.3,1.5
69,BCM,2023-05-09,2023-05-09,183.4,4.7,14.3,12.7,1.3,1.5
70,BCM,2023-05-10,2023-05-10,183.2,4.7,14.4,12.7,1.3,1.5
71,BCM,2023-05-11,2023-05-11,182.9,4.7,14.5,12.8,1.3,1.5
72,BCM,2023-05-12,2023-05-12,182.9,4.7,14.7,12.9,1.4,1.6
73,BCM,2023-05-15,2023-05-15,182.7,4.7,14.8,12.8,1.4,1.6
74,BCM,2023-05-16,2023-05-16,182.7,4.7,14.8,12.9,1.4,1.6
75,BCM,2023-05-17,2023-05-17,182.9,4.7,14.8,12.8,1.4,1.5
76,BCM,2023-05-18,2023-05-18,185.3,4.7,14.9,12.9,1.4,1.6
77,BCM,2023-05-19,2023-05-19,183.9,4.7,14.8,12.9,1.4,1.6
78,BCM,2023-05-22,2023-05-22,183.7,4.7,14.9,12.9,1.4,1.6
79,BCM,2023-05-23,2023-05-23,181.1,4.6,14.8,12.9,1.4,1.6
80,BCM,2023-05-24,2023-05-24,181.8,4.6,14.9,12.8,1.4,1.6
81,BCM,2023-05-25,2023-05-25,182.7,4.7,15.0,12.9,1.4,1.6
82,BCM,2023-05-26,2023-05-26,182.7,4.7,15.0,12.8,1.4,1.6
83,BCM,2023-05-29,2023-05-29,183.7,4.7,15.1,13.0,1.4,1.6
84,BCM,2023-05-30,2023-05-30,184.1,4.7,15.1,13.0,1.4,1.6
85,BCM,2023-05-31,2023-05-31,184.1,4.7,15.0,13.0,1.4,1.6
86,BCM,2023-06-01,2023-06-01,183.4,4.7,15.0,13.1,1.4,1.6
87,BCM,2023-06-02,2023-06-02,184.1,4.7,15.1,13.2,1.4,1.6
88,BCM,2023-06-05,2023-06-05,183.7,4.7,15.0,13.3,1.4,1.6
89,BCM,2023-06-06,2023-06-06,183.9,4.7,15.2,13.4,1.4,1.6
90,BCM,2023-06-07,2023-06-07,187.9,4.8,15.4,13.4,1.4,1.6
91,BCM,2023-06-08,2023-06-08,187.2,4.8,15.3,13.3,1.4,1.6
92,BCM,2023-06-09,2023-06-09,188.8,4.8,15.3,13.2,1.4,1.6
93,BCM,2023-06-12,2023-06-12,193.6,4.9,15.4,13.5,1.4,1.6
94,BCM,2023-06-13,2023-06-13,192.1,4.9,15.6,13.5,1.4,1.6
95,BCM,2023-06-14,2023-06-14,190.7,4.9,15.6,13.5,1.4,1.6
96,BCM,2023-06-15,2023-06-15,188.8,4.8,15.5,13.4,1.4,1.6
97,BCM,2023-06-16,2023-06-16,191.7,4.9,15.4,13.4,1.4,1.6
98,BCM,2023-06-19,2023-06-19,191.2,4.9,15.2,13.3,1.4,1.6
99,BCM,2023-06-20,2023-06-20,193.6,4.9,15.3,13.4,1.4,1.6
100,BCM,2023-06-21,2023-06-21,193.8,5.0,15.3,13.4,1.4,1.6
101,BCM,2023-06-22,2023-06-22,191.9,4.9,15.4,13.5,1.4,1.6
102,BCM,2023-06-23,2023-06-23,190.3,4.9,15.4,13.6,1.4,1.6
103,BCM,2023-06-26,2023-06-26,191.9,4.9,15.4,13.6,1.4,1.6
104,BCM,2023-06-27,2023-06-27,191.2,4.9,15.4,13.6,1.4,1.6
105,BCM,2023-06-28,2023-06-28,188.8,4.8,15.4,13.7,1.4,1.7
106,BCM,2023-06-29,2023-06-29,187.0,4.8,15.2,13.6,1.4,1.6
107,BCM,2023-06-30,2023-06-30,187.0,4.8,15.1,13.5,1.4,1.6
108,BCM,2023-07-03,2023-07-03,184.9,4.8,15.2,13.5,1.4,1.6
109,BCM,2023-07-04,2023-07-04,184.7,4.8,15.3,13.6,1.4,1.6
110,BCM,2023-07-05,2023-07-05,183.1,4.8,15.3,13.6,1.4,1.6
111,BCM,2023-07-06,2023-07-06,182.4,4.8,15.0,13.5,1.4,1.6
112,BCM,2023-07-07,2023-07-07,183.1,4.8,15.0,13.7,1.4,1.7
113,BCM,2023-07-10,2023-07-10,184.0,4.8,15.1,13.8,1.4,1.7
114,BCM,2023-07-11,2023-07-11,185.2,4.8,15.1,13.8,1.4,1.7
115,BCM,2023-07-12,2023-07-12,184.5,4.8,15.3,13.9,1.4,1.7
