,ticker,fromDate,toDate,PE,PB,industryPE,vnindexPE,industryPB,vnindexPB
0,BID,2023-01-27,2023-01-27,11.2,2.1,8.9,11.9,1.6,1.7
1,BID,2023-01-30,2023-01-30,11.2,2.0,8.6,12.2,1.5,1.7
2,BID,2023-01-31,2023-01-31,11.4,2.1,8.6,12.3,1.6,1.7
3,BID,2023-02-01,2023-02-01,10.8,2.0,8.3,12.1,1.5,1.6
4,BID,2023-02-02,2023-02-02,10.9,2.0,8.3,12.2,1.5,1.6
5,BID,2023-02-03,2023-02-03,10.9,2.0,8.3,12.2,1.5,1.6
6,BID,2023-02-06,2023-02-06,11.3,2.1,8.5,12.3,1.5,1.6
7,BID,2023-02-07,2023-02-07,11.0,2.0,8.3,12.1,1.5,1.6
8,BID,2023-02-08,2023-02-08,11.2,2.0,8.4,12.1,1.5,1.6
9,BID,2023-02-09,2023-02-09,11.1,2.0,8.4,12.1,1.5,1.6
10,BID,2023-02-10,2023-02-10,10.8,2.0,8.2,12.0,1.5,1.6
11,BID,2023-02-13,2023-02-13,11.2,2.0,8.2,11.9,1.5,1.6
12,BID,2023-02-14,2023-02-14,10.9,2.0,8.1,11.9,1.5,1.6
13,BID,2023-02-15,2023-02-15,11.1,2.0,8.2,12.0,1.5,1.6
14,BID,2023-02-16,2023-02-16,11.3,2.1,8.3,12.1,1.5,1.6
15,BID,2023-02-17,2023-02-17,11.5,2.1,8.3,12.1,1.5,1.6
16,BID,2023-02-20,2023-02-20,11.9,2.2,8.5,12.3,1.5,1.6
17,BID,2023-02-21,2023-02-21,11.6,2.1,8.5,12.3,1.5,1.6
18,BID,2023-02-22,2023-02-22,11.3,2.1,8.3,12.0,1.5,1.6
19,BID,2023-02-23,2023-02-23,11.5,2.1,8.3,12.0,1.5,1.6
20,BID,2023-02-24,2023-02-24,11.2,2.1,8.2,11.8,1.5,1.6
21,BID,2023-02-27,2023-02-27,11.1,2.0,8.1,11.6,1.5,1.5
22,BID,2023-02-28,2023-02-28,11.1,2.0,8.1,11.6,1.5,1.5
23,BID,2023-03-01,2023-03-01,11.5,2.1,8.3,11.8,1.5,1.6
24,BID,2023-03-02,2023-03-02,11.7,2.1,8.3,11.8,1.5,1.6
25,BID,2023-03-03,2023-03-03,11.6,2.1,8.1,11.7,1.5,1.5
26,BID,2023-03-06,2023-03-06,11.5,2.1,8.2,11.8,1.5,1.5
27,BID,2023-03-07,2023-03-07,11.8,2.2,8.3,11.8,1.5,1.6
28,BID,2023-03-08,2023-03-08,12.1,2.2,8.4,11.9,1.5,1.6
29,BID,2023-03-09,2023-03-09,12.0,2.2,8.4,12.0,1.5,1.6
30,BID,2023-03-10,2023-03-10,11.9,2.2,8.4,12.0,1.5,1.6
31,BID,2023-03-13,2023-03-13,11.6,2.1,8.3,12.0,1.5,1.6
32,BID,2023-03-14,2023-03-14,11.3,2.1,8.2,11.8,1.5,1.6
33,BID,2023-03-15,2023-03-15,11.8,2.2,8.4,12.1,1.5,1.6
34,BID,2023-03-16,2023-03-16,11.6,2.1,8.3,11.9,1.5,1.6
35,BID,2023-03-17,2023-03-17,11.7,2.1,8.2,11.9,1.5,1.6
36,BID,2023-03-20,2023-03-20,11.4,2.1,8.0,11.7,1.5,1.5
37,BID,2023-03-21,2023-03-21,11.4,2.1,8.1,11.7,1.5,1.5
38,BID,2023-03-22,2023-03-22,11.6,2.1,8.2,11.8,1.5,1.6
39,BID,2023-03-23,2023-03-23,11.6,2.1,8.3,11.9,1.5,1.6
40,BID,2023-03-24,2023-03-24,11.5,2.1,8.3,11.9,1.5,1.6
41,BID,2023-03-27,2023-03-27,11.6,2.1,8.3,11.9,1.5,1.6
42,BID,2023-03-28,2023-03-28,11.6,2.1,8.4,12.0,1.5,1.6
43,BID,2023-03-29,2023-03-29,11.6,2.1,8.4,12.0,1.5,1.6
44,BID,2023-03-30,2023-03-30,11.6,2.1,8.4,12.0,1.5,1.6
45,BID,2023-03-31,2023-03-31,11.6,2.1,8.5,12.1,1.5,1.6
46,BID,2023-04-03,2023-04-03,11.4,2.0,8.6,12.2,1.5,1.6
47,BID,2023-04-04,2023-04-04,11.4,2.0,8.6,12.2,1.5,1.6
48,BID,2023-04-05,2023-04-05,11.3,2.0,8.6,12.3,1.5,1.6
49,BID,2023-04-06,2023-04-06,11.4,2.0,8.5,12.2,1.5,1.6
50,BID,2023-04-07,2023-04-07,11.3,2.0,8.5,12.1,1.5,1.6
51,BID,2023-04-10,2023-04-10,11.1,2.0,8.4,12.1,1.5,1.6
52,BID,2023-04-11,2023-04-11,11.0,2.0,8.4,12.1,1.5,1.6
53,BID,2023-04-12,2023-04-12,11.0,2.0,8.4,12.2,1.5,1.6
54,BID,2023-04-13,2023-04-13,11.2,2.0,8.4,12.1,1.5,1.6
55,BID,2023-04-14,2023-04-14,11.0,2.0,8.4,12.0,1.5,1.6
56,BID,2023-04-17,2023-04-17,11.2,2.0,8.4,12.0,1.5,1.6
57,BID,2023-04-18,2023-04-18,11.1,2.0,8.3,12.0,1.5,1.6
58,BID,2023-04-19,2023-04-19,11.0,2.0,8.3,11.9,1.5,1.6
59,BID,2023-04-20,2023-04-20,11.1,2.0,8.3,12.0,1.4,1.5
60,BID,2023-04-21,2023-04-21,11.0,2.0,8.2,12.0,1.5,1.6
61,BID,2023-04-24,2023-04-24,10.9,1.9,8.2,11.8,1.5,1.5
62,BID,2023-04-25,2023-04-25,10.8,1.9,8.2,11.8,1.5,1.5
63,BID,2023-04-26,2023-04-26,11.0,2.0,8.3,11.9,1.5,1.6
64,BID,2023-04-27,2023-04-27,10.9,1.9,8.3,11.9,1.5,1.6
65,BID,2023-04-28,2023-04-28,10.8,1.9,8.2,12.3,1.5,1.5
66,BID,2023-05-04,2023-05-04,10.9,1.9,8.3,12.5,1.4,1.5
67,BID,2023-05-05,2023-05-05,10.8,1.9,8.3,12.5,1.4,1.5
68,BID,2023-05-08,2023-05-08,11.1,2.0,8.4,12.7,1.4,1.5
69,BID,2023-05-09,2023-05-09,11.2,2.0,8.4,12.7,1.4,1.5
70,BID,2023-05-10,2023-05-10,11.2,2.0,8.4,12.7,1.5,1.5
71,BID,2023-05-11,2023-05-11,11.2,2.0,8.4,12.8,1.4,1.5
72,BID,2023-05-12,2023-05-12,11.2,2.0,8.5,12.9,1.5,1.6
73,BID,2023-05-15,2023-05-15,11.2,2.0,8.5,12.8,1.5,1.6
74,BID,2023-05-16,2023-05-16,11.2,2.0,8.5,12.9,1.5,1.6
75,BID,2023-05-17,2023-05-17,11.1,2.0,8.4,12.8,1.4,1.5
76,BID,2023-05-18,2023-05-18,11.1,2.0,8.5,12.9,1.5,1.6
77,BID,2023-05-19,2023-05-19,11.0,2.0,8.5,12.9,1.5,1.6
78,BID,2023-05-22,2023-05-22,11.0,2.0,8.5,12.9,1.5,1.6
79,BID,2023-05-23,2023-05-23,10.9,1.9,8.5,12.9,1.5,1.6
80,BID,2023-05-24,2023-05-24,10.8,1.9,8.4,12.8,1.4,1.6
81,BID,2023-05-25,2023-05-25,10.9,1.9,8.4,12.9,1.4,1.6
82,BID,2023-05-26,2023-05-26,10.8,1.9,8.4,12.8,1.4,1.6
83,BID,2023-05-29,2023-05-29,10.9,1.9,8.5,13.0,1.5,1.6
84,BID,2023-05-30,2023-05-30,10.9,1.9,8.5,13.0,1.5,1.6
85,BID,2023-05-31,2023-05-31,10.9,1.9,8.4,13.0,1.5,1.6
86,BID,2023-06-01,2023-06-01,10.9,1.9,8.5,13.1,1.5,1.6
87,BID,2023-06-02,2023-06-02,11.1,2.0,8.8,13.2,1.5,1.6
88,BID,2023-06-05,2023-06-05,11.1,2.0,8.8,13.3,1.5,1.6
89,BID,2023-06-06,2023-06-06,11.1,2.0,8.9,13.4,1.5,1.6
