,ticker,fromDate,toDate,PE,PB,industryPE,vnindexPE,industryPB,vnindexPB
0,BVH,2023-01-27,2023-01-27,23.3,1.8,17.9,11.9,1.5,1.7
1,BVH,2023-01-30,2023-01-30,23.1,1.8,17.4,12.2,1.5,1.7
2,BVH,2023-01-31,2023-01-31,23.0,1.7,18.2,12.3,1.5,1.7
3,BVH,2023-02-01,2023-02-01,22.8,1.7,18.9,12.1,1.5,1.6
4,BVH,2023-02-02,2023-02-02,22.8,1.7,18.8,12.2,1.5,1.6
5,BVH,2023-02-03,2023-02-03,22.7,1.7,18.8,12.2,1.5,1.6
6,BVH,2023-02-06,2023-02-06,23.1,1.8,19.1,12.3,1.5,1.6
7,BVH,2023-02-07,2023-02-07,22.5,1.7,18.9,12.1,1.5,1.6
8,BVH,2023-02-08,2023-02-08,22.5,1.7,18.9,12.1,1.5,1.6
9,BVH,2023-02-09,2023-02-09,22.6,1.7,19.0,12.1,1.5,1.6
10,BVH,2023-02-10,2023-02-10,22.8,1.7,19.0,12.0,1.5,1.6
11,BVH,2023-02-13,2023-02-13,22.2,1.7,18.6,11.9,1.5,1.6
12,BVH,2023-02-14,2023-02-14,22.4,1.7,18.8,11.9,1.5,1.6
13,BVH,2023-02-15,2023-02-15,22.6,1.7,18.9,12.0,1.5,1.6
14,BVH,2023-02-16,2023-02-16,22.9,1.7,19.0,12.1,1.5,1.6
15,BVH,2023-02-17,2023-02-17,23.0,1.7,19.0,12.1,1.5,1.6
16,BVH,2023-02-20,2023-02-20,23.4,1.8,19.2,12.3,1.5,1.6
17,BVH,2023-02-21,2023-02-21,23.1,1.8,19.0,12.3,1.5,1.6
18,BVH,2023-02-22,2023-02-22,22.8,1.7,18.8,12.0,1.5,1.6
19,BVH,2023-02-23,2023-02-23,22.7,1.7,18.7,12.0,1.5,1.6
20,BVH,2023-02-24,2023-02-24,22.3,1.7,18.6,11.8,1.5,1.6
21,BVH,2023-02-27,2023-02-27,22.0,1.7,18.4,11.6,1.5,1.5
22,BVH,2023-02-28,2023-02-28,22.2,1.7,18.6,11.6,1.5,1.5
23,BVH,2023-03-01,2023-03-01,22.6,1.7,18.7,11.8,1.5,1.6
24,BVH,2023-03-02,2023-03-02,22.4,1.7,18.7,11.8,1.5,1.6
25,BVH,2023-03-03,2023-03-03,22.1,1.7,18.5,11.7,1.5,1.5
26,BVH,2023-03-06,2023-03-06,21.9,1.7,18.4,11.8,1.5,1.5
27,BVH,2023-03-07,2023-03-07,22.1,1.7,18.5,11.8,1.5,1.6
28,BVH,2023-03-08,2023-03-08,22.4,1.7,18.6,11.9,1.5,1.6
29,BVH,2023-03-09,2023-03-09,22.6,1.7,18.8,12.0,1.5,1.6
30,BVH,2023-03-10,2023-03-10,22.5,1.7,18.6,12.0,1.5,1.6
31,BVH,2023-03-13,2023-03-13,22.6,1.7,18.6,12.0,1.5,1.6
32,BVH,2023-03-14,2023-03-14,22.3,1.7,18.4,11.8,1.5,1.6
33,BVH,2023-03-15,2023-03-15,22.5,1.7,18.5,12.1,1.5,1.6
34,BVH,2023-03-16,2023-03-16,22.2,1.7,18.3,11.9,1.5,1.6
35,BVH,2023-03-17,2023-03-17,22.8,1.7,18.7,11.9,1.5,1.6
36,BVH,2023-03-20,2023-03-20,22.4,1.7,18.4,11.7,1.5,1.5
37,BVH,2023-03-21,2023-03-21,22.4,1.7,18.4,11.7,1.5,1.5
38,BVH,2023-03-22,2023-03-22,22.4,1.7,18.5,11.8,1.5,1.6
39,BVH,2023-03-23,2023-03-23,22.3,1.7,18.5,11.9,1.5,1.6
40,BVH,2023-03-24,2023-03-24,22.2,1.7,18.4,11.9,1.5,1.6
41,BVH,2023-03-27,2023-03-27,22.2,1.7,18.4,11.9,1.5,1.6
42,BVH,2023-03-28,2023-03-28,22.2,1.7,18.5,12.0,1.5,1.6
43,BVH,2023-03-29,2023-03-29,22.1,1.7,18.5,12.0,1.5,1.6
44,BVH,2023-03-30,2023-03-30,22.1,1.7,18.6,12.0,1.5,1.6
45,BVH,2023-03-31,2023-03-31,22.1,1.7,18.8,12.1,1.5,1.6
46,BVH,2023-04-03,2023-04-03,21.4,1.7,18.8,12.2,1.5,1.6
47,BVH,2023-04-04,2023-04-04,21.5,1.7,18.7,12.2,1.5,1.6
48,BVH,2023-04-05,2023-04-05,21.5,1.7,18.6,12.3,1.5,1.6
49,BVH,2023-04-06,2023-04-06,21.2,1.7,18.5,12.2,1.5,1.6
50,BVH,2023-04-07,2023-04-07,21.2,1.7,18.5,12.1,1.5,1.6
51,BVH,2023-04-10,2023-04-10,21.4,1.7,18.7,12.1,1.5,1.6
52,BVH,2023-04-11,2023-04-11,21.5,1.7,18.8,12.1,1.5,1.6
53,BVH,2023-04-12,2023-04-12,21.2,1.7,18.6,12.2,1.5,1.6
54,BVH,2023-04-13,2023-04-13,21.2,1.7,18.5,12.1,1.5,1.6
55,BVH,2023-04-14,2023-04-14,21.0,1.6,18.5,12.0,1.5,1.6
56,BVH,2023-04-17,2023-04-17,20.7,1.6,18.2,12.0,1.5,1.6
57,BVH,2023-04-18,2023-04-18,20.6,1.6,18.1,12.0,1.5,1.6
58,BVH,2023-04-19,2023-04-19,20.2,1.6,18.0,11.9,1.4,1.6
59,BVH,2023-04-20,2023-04-20,20.6,1.6,17.8,12.0,1.4,1.5
60,BVH,2023-04-21,2023-04-21,20.5,1.6,18.6,12.0,1.4,1.6
61,BVH,2023-04-24,2023-04-24,20.3,1.6,18.5,11.8,1.4,1.5
62,BVH,2023-04-25,2023-04-25,20.0,1.6,18.3,11.8,1.4,1.5
63,BVH,2023-04-26,2023-04-26,20.1,1.6,18.5,11.9,1.4,1.6
64,BVH,2023-04-27,2023-04-27,19.6,1.5,18.4,11.9,1.4,1.6
65,BVH,2023-04-28,2023-04-28,19.6,1.5,18.1,12.3,1.4,1.5
66,BVH,2023-05-04,2023-05-04,19.8,1.5,18.2,12.5,1.4,1.5
67,BVH,2023-05-05,2023-05-05,20.1,1.6,17.8,12.5,1.4,1.5
68,BVH,2023-05-08,2023-05-08,20.1,1.6,17.7,12.7,1.4,1.5
69,BVH,2023-05-09,2023-05-09,20.1,1.6,17.7,12.7,1.4,1.5
70,BVH,2023-05-10,2023-05-10,20.1,1.6,17.7,12.7,1.4,1.5
71,BVH,2023-05-11,2023-05-11,20.0,1.6,17.6,12.8,1.4,1.5
72,BVH,2023-05-12,2023-05-12,20.1,1.6,17.6,12.9,1.4,1.6
73,BVH,2023-05-15,2023-05-15,19.9,1.6,17.5,12.8,1.4,1.6
74,BVH,2023-05-16,2023-05-16,19.8,1.5,17.4,12.9,1.4,1.6
75,BVH,2023-05-17,2023-05-17,19.7,1.5,17.4,12.8,1.4,1.5
76,BVH,2023-05-18,2023-05-18,19.6,1.5,17.5,12.9,1.4,1.6
77,BVH,2023-05-19,2023-05-19,19.4,1.5,17.5,12.9,1.4,1.6
78,BVH,2023-05-22,2023-05-22,19.2,1.5,17.4,12.9,1.4,1.6
79,BVH,2023-05-23,2023-05-23,19.5,1.5,17.5,12.9,1.4,1.6
80,BVH,2023-05-24,2023-05-24,19.5,1.5,17.5,12.8,1.4,1.6
81,BVH,2023-05-25,2023-05-25,19.3,1.5,17.4,12.9,1.4,1.6
82,BVH,2023-05-26,2023-05-26,19.1,1.5,17.4,12.8,1.4,1.6
83,BVH,2023-05-29,2023-05-29,19.2,1.5,17.5,13.0,1.4,1.6
84,BVH,2023-05-30,2023-05-30,19.2,1.5,17.4,13.0,1.4,1.6
85,BVH,2023-05-31,2023-05-31,19.0,1.5,17.4,13.0,1.4,1.6
86,BVH,2023-06-01,2023-06-01,19.1,1.5,17.3,13.1,1.4,1.6
87,BVH,2023-06-02,2023-06-02,19.3,1.5,17.5,13.2,1.4,1.6
88,BVH,2023-06-05,2023-06-05,19.5,1.5,17.5,13.3,1.4,1.6
89,BVH,2023-06-06,2023-06-06,19.7,1.5,17.7,13.4,1.4,1.6
90,BVH,2023-06-07,2023-06-07,19.5,1.5,17.7,13.4,1.4,1.6
91,BVH,2023-06-08,2023-06-08,19.3,1.5,17.6,13.3,1.4,1.6
92,BVH,2023-06-09,2023-06-09,19.2,1.5,17.4,13.2,1.4,1.6
93,BVH,2023-06-12,2023-06-12,19.5,1.5,17.5,13.5,1.4,1.6
94,BVH,2023-06-13,2023-06-13,19.7,1.5,17.7,13.5,1.4,1.6
95,BVH,2023-06-14,2023-06-14,19.5,1.5,17.6,13.5,1.4,1.6
96,BVH,2023-06-15,2023-06-15,19.4,1.5,17.5,13.4,1.4,1.6
97,BVH,2023-06-16,2023-06-16,19.3,1.5,17.6,13.4,1.4,1.6
98,BVH,2023-06-19,2023-06-19,19.1,1.5,17.5,13.3,1.4,1.6
99,BVH,2023-06-20,2023-06-20,19.3,1.5,17.6,13.4,1.4,1.6
100,BVH,2023-06-21,2023-06-21,19.3,1.5,17.7,13.4,1.4,1.6
101,BVH,2023-06-22,2023-06-22,19.3,1.5,17.7,13.5,1.4,1.6
102,BVH,2023-06-23,2023-06-23,19.7,1.5,17.8,13.6,1.4,1.6
103,BVH,2023-06-26,2023-06-26,19.8,1.5,17.9,13.6,1.4,1.6
104,BVH,2023-06-27,2023-06-27,19.8,1.5,17.8,13.6,1.4,1.6
105,BVH,2023-06-28,2023-06-28,19.8,1.5,17.8,13.7,1.4,1.7
106,BVH,2023-06-29,2023-06-29,19.4,1.5,17.6,13.6,1.4,1.6
107,BVH,2023-06-30,2023-06-30,19.3,1.5,17.6,13.5,1.4,1.6
108,BVH,2023-07-03,2023-07-03,18.9,1.5,17.4,13.5,1.4,1.6
109,BVH,2023-07-04,2023-07-04,19.1,1.5,17.6,13.6,1.4,1.6
110,BVH,2023-07-05,2023-07-05,19.0,1.5,17.5,13.6,1.4,1.6
111,BVH,2023-07-06,2023-07-06,19.1,1.5,17.6,13.5,1.4,1.6
112,BVH,2023-07-07,2023-07-07,19.2,1.5,17.6,13.7,1.4,1.7
113,BVH,2023-07-10,2023-07-10,19.4,1.5,17.6,13.8,1.4,1.7
114,BVH,2023-07-11,2023-07-11,19.3,1.5,17.6,13.8,1.4,1.7
115,BVH,2023-07-12,2023-07-12,19.9,1.6,17.9,13.9,1.4,1.7
116,BVH,2023-07-13,2023-07-13,20.0,1.6,18.0,14.0,1.4,1.7
