,ticker,fromDate,toDate,PE,PB,industryPE,vnindexPE,industryPB,vnindexPB
0,FOX,2023-01-27,2023-01-27,8.4,2.4,19.8,11.9,2.2,1.7
1,FOX,2023-01-30,2023-01-30,8.6,2.4,19.6,12.2,2.2,1.7
2,FOX,2023-01-31,2023-01-31,8.4,2.3,35.0,12.3,2.3,1.7
3,FOX,2023-02-01,2023-02-01,8.4,2.3,35.0,12.1,2.3,1.6
4,FOX,2023-02-02,2023-02-02,8.4,2.3,33.7,12.2,2.3,1.6
5,FOX,2023-02-03,2023-02-03,8.4,2.3,21.9,12.2,2.2,1.6
6,FOX,2023-02-06,2023-02-06,8.3,2.3,21.5,12.3,2.2,1.6
7,FOX,2023-02-07,2023-02-07,8.1,2.3,21.5,12.1,2.2,1.6
8,FOX,2023-02-08,2023-02-08,8.1,2.3,21.3,12.1,2.1,1.6
9,FOX,2023-02-09,2023-02-09,8.1,2.3,21.6,12.1,2.2,1.6
10,FOX,2023-02-10,2023-02-10,8.1,2.3,21.5,12.0,2.2,1.6
11,FOX,2023-02-13,2023-02-13,8.1,2.3,20.9,11.9,2.1,1.6
12,FOX,2023-02-14,2023-02-14,8.0,2.2,21.1,11.9,2.1,1.6
13,FOX,2023-02-15,2023-02-15,8.2,2.3,21.6,12.0,2.2,1.6
14,FOX,2023-02-16,2023-02-16,8.2,2.3,21.7,12.1,2.2,1.6
15,FOX,2023-02-17,2023-02-17,8.4,2.3,21.9,12.1,2.2,1.6
16,FOX,2023-02-20,2023-02-20,8.4,2.4,22.2,12.3,2.2,1.6
17,FOX,2023-02-21,2023-02-21,8.5,2.4,22.3,12.3,2.2,1.6
18,FOX,2023-02-22,2023-02-22,8.4,2.4,21.7,12.0,2.2,1.6
19,FOX,2023-02-23,2023-02-23,8.4,2.3,21.3,12.0,2.1,1.6
20,FOX,2023-02-24,2023-02-24,8.4,2.3,21.4,11.8,2.1,1.6
21,FOX,2023-02-27,2023-02-27,8.2,2.3,21.0,11.6,2.1,1.5
22,FOX,2023-02-28,2023-02-28,8.3,2.3,21.0,11.6,2.1,1.5
23,FOX,2023-03-01,2023-03-01,8.2,2.3,21.1,11.8,2.1,1.6
24,FOX,2023-03-02,2023-03-02,8.1,2.3,21.2,11.8,2.1,1.6
25,FOX,2023-03-03,2023-03-03,8.1,2.3,21.1,11.7,2.1,1.5
26,FOX,2023-03-06,2023-03-06,8.2,2.3,21.2,11.8,2.1,1.5
27,FOX,2023-03-07,2023-03-07,8.1,2.3,21.2,11.8,2.1,1.6
28,FOX,2023-03-08,2023-03-08,8.2,2.3,21.1,11.9,2.1,1.6
29,FOX,2023-03-09,2023-03-09,8.1,2.3,21.3,12.0,2.1,1.6
30,FOX,2023-03-10,2023-03-10,8.1,2.3,21.5,12.0,2.2,1.6
31,FOX,2023-03-13,2023-03-13,8.1,2.3,21.1,12.0,2.1,1.6
32,FOX,2023-03-14,2023-03-14,8.1,2.3,20.9,11.8,2.1,1.6
33,FOX,2023-03-15,2023-03-15,8.2,2.3,21.2,12.1,2.1,1.6
34,FOX,2023-03-16,2023-03-16,8.1,2.3,21.0,11.9,2.1,1.6
35,FOX,2023-03-17,2023-03-17,8.2,2.3,21.0,11.9,2.1,1.6
36,FOX,2023-03-20,2023-03-20,8.1,2.3,20.8,11.7,2.1,1.5
37,FOX,2023-03-21,2023-03-21,8.1,2.3,20.8,11.7,2.1,1.5
38,FOX,2023-03-22,2023-03-22,8.1,2.3,20.8,11.8,2.1,1.6
39,FOX,2023-03-23,2023-03-23,8.1,2.3,20.8,11.9,2.1,1.6
40,FOX,2023-03-24,2023-03-24,8.2,2.3,21.0,11.9,2.1,1.6
41,FOX,2023-03-27,2023-03-27,8.2,2.3,21.0,11.9,2.1,1.6
42,FOX,2023-03-28,2023-03-28,8.1,2.3,21.0,12.0,2.1,1.6
43,FOX,2023-03-29,2023-03-29,8.1,2.3,20.9,12.0,2.1,1.6
44,FOX,2023-03-30,2023-03-30,8.1,2.3,21.0,12.0,2.1,1.6
45,FOX,2023-03-31,2023-03-31,8.2,2.3,21.8,12.1,2.2,1.6
46,FOX,2023-04-03,2023-04-03,8.1,2.3,22.1,12.2,2.2,1.6
47,FOX,2023-04-04,2023-04-04,8.0,2.3,21.8,12.2,2.2,1.6
48,FOX,2023-04-05,2023-04-05,8.1,2.3,22.3,12.3,2.2,1.6
49,FOX,2023-04-06,2023-04-06,8.2,2.3,22.2,12.2,2.2,1.6
50,FOX,2023-04-07,2023-04-07,8.1,2.3,21.8,12.1,2.2,1.6
51,FOX,2023-04-10,2023-04-10,8.7,2.5,22.3,12.1,2.2,1.6
52,FOX,2023-04-11,2023-04-11,8.4,2.4,22.0,12.1,2.2,1.6
53,FOX,2023-04-12,2023-04-12,8.8,2.5,22.7,12.2,2.3,1.6
54,FOX,2023-04-13,2023-04-13,8.5,2.5,22.8,12.1,2.3,1.6
55,FOX,2023-04-14,2023-04-14,8.4,2.4,22.2,12.0,2.2,1.6
56,FOX,2023-04-17,2023-04-17,8.4,2.4,21.9,12.0,2.2,1.6
57,FOX,2023-04-18,2023-04-18,8.3,2.4,21.9,12.0,2.2,1.6
58,FOX,2023-04-19,2023-04-19,8.4,2.4,22.0,11.9,2.2,1.6
59,FOX,2023-04-20,2023-04-20,8.5,2.4,27.6,12.0,2.2,1.5
60,FOX,2023-04-21,2023-04-21,8.4,2.4,22.0,12.0,2.2,1.6
61,FOX,2023-04-24,2023-04-24,8.3,2.4,21.9,11.8,2.2,1.5
62,FOX,2023-04-25,2023-04-25,8.3,2.4,21.8,11.8,2.2,1.5
63,FOX,2023-04-26,2023-04-26,8.3,2.4,21.6,11.9,2.2,1.6
64,FOX,2023-04-27,2023-04-27,8.3,2.4,21.8,11.9,2.2,1.6
65,FOX,2023-04-28,2023-04-28,8.4,2.4,27.5,12.3,2.2,1.5
66,FOX,2023-05-04,2023-05-04,8.4,2.4,27.8,12.5,2.2,1.5
67,FOX,2023-05-05,2023-05-05,8.4,2.4,27.7,12.5,2.2,1.5
68,FOX,2023-05-08,2023-05-08,8.4,2.4,28.7,12.7,2.3,1.5
69,FOX,2023-05-09,2023-05-09,8.4,2.4,28.6,12.7,2.2,1.5
70,FOX,2023-05-10,2023-05-10,8.4,2.4,28.7,12.7,2.3,1.5
71,FOX,2023-05-11,2023-05-11,8.3,2.4,28.6,12.8,2.3,1.5
72,FOX,2023-05-12,2023-05-12,8.3,2.4,28.8,12.9,2.3,1.6
73,FOX,2023-05-15,2023-05-15,8.3,2.4,28.8,12.8,2.3,1.6
74,FOX,2023-05-16,2023-05-16,8.2,2.3,28.3,12.9,2.2,1.6
75,FOX,2023-05-17,2023-05-17,8.3,2.4,28.4,12.8,2.2,1.5
76,FOX,2023-05-18,2023-05-18,8.1,2.3,28.2,12.9,2.2,1.6
77,FOX,2023-05-19,2023-05-19,8.2,2.4,28.3,12.9,2.2,1.6
78,FOX,2023-05-22,2023-05-22,8.3,2.4,29.1,12.9,2.3,1.6
79,FOX,2023-05-23,2023-05-23,8.3,2.4,28.9,12.9,2.3,1.6
80,FOX,2023-05-24,2023-05-24,8.2,2.4,28.6,12.8,2.2,1.6
81,FOX,2023-05-25,2023-05-25,8.3,2.4,28.8,12.9,2.3,1.6
82,FOX,2023-05-26,2023-05-26,8.3,2.4,29.5,12.8,2.3,1.6
83,FOX,2023-05-29,2023-05-29,8.3,2.4,29.6,13.0,2.3,1.6
84,FOX,2023-05-30,2023-05-30,8.4,2.4,29.6,13.0,2.3,1.6
85,FOX,2023-05-31,2023-05-31,8.4,2.4,29.7,13.0,2.3,1.6
86,FOX,2023-06-01,2023-06-01,8.4,2.4,29.5,13.1,2.3,1.6
87,FOX,2023-06-02,2023-06-02,8.5,2.4,30.4,13.2,2.4,1.6
88,FOX,2023-06-05,2023-06-05,8.5,2.4,30.4,13.3,2.4,1.6
89,FOX,2023-06-06,2023-06-06,8.5,2.4,30.2,13.4,2.4,1.6
90,FOX,2023-06-07,2023-06-07,8.5,2.4,30.2,13.4,2.4,1.6
91,FOX,2023-06-08,2023-06-08,8.5,2.4,29.8,13.3,2.3,1.6
92,FOX,2023-06-09,2023-06-09,8.4,2.4,29.2,13.2,2.3,1.6
93,FOX,2023-06-12,2023-06-12,8.4,2.4,29.6,13.5,2.3,1.6
