,ticker,fromDate,toDate,PE,PB,industryPE,vnindexPE,industryPB,vnindexPB
0,FPT,2023-01-27,2023-01-27,16.3,4.0,17.0,11.9,2.7,1.7
1,FPT,2023-01-30,2023-01-30,16.3,4.0,16.9,12.2,2.7,1.7
2,FPT,2023-01-31,2023-01-31,16.2,4.0,17.2,12.3,2.7,1.7
3,FPT,2023-02-01,2023-02-01,15.9,3.9,17.2,12.1,2.6,1.6
4,FPT,2023-02-02,2023-02-02,15.9,3.9,17.2,12.2,2.6,1.6
5,FPT,2023-02-03,2023-02-03,15.6,3.8,16.8,12.2,2.5,1.6
6,FPT,2023-02-06,2023-02-06,15.7,3.8,16.9,12.3,2.5,1.6
7,FPT,2023-02-07,2023-02-07,15.7,3.9,16.9,12.1,2.5,1.6
8,FPT,2023-02-08,2023-02-08,15.8,3.9,17.0,12.1,2.6,1.6
9,FPT,2023-02-09,2023-02-09,15.7,3.9,16.9,12.1,2.5,1.6
10,FPT,2023-02-10,2023-02-10,15.7,3.9,16.9,12.0,2.5,1.6
11,FPT,2023-02-13,2023-02-13,15.7,3.9,16.9,11.9,2.5,1.6
12,FPT,2023-02-14,2023-02-14,15.7,3.9,16.9,11.9,2.5,1.6
13,FPT,2023-02-15,2023-02-15,15.9,3.9,17.0,12.0,2.6,1.6
14,FPT,2023-02-16,2023-02-16,15.9,3.9,17.0,12.1,2.6,1.6
15,FPT,2023-02-17,2023-02-17,15.9,3.9,17.1,12.1,2.6,1.6
16,FPT,2023-02-20,2023-02-20,16.1,4.0,17.3,12.3,2.6,1.6
17,FPT,2023-02-21,2023-02-21,16.1,4.0,17.3,12.3,2.6,1.6
18,FPT,2023-02-22,2023-02-22,15.9,3.9,17.1,12.0,2.6,1.6
19,FPT,2023-02-23,2023-02-23,15.8,3.9,17.0,12.0,2.6,1.6
20,FPT,2023-02-24,2023-02-24,15.7,3.9,16.9,11.8,2.5,1.6
21,FPT,2023-02-27,2023-02-27,15.6,3.8,16.8,11.6,2.5,1.5
22,FPT,2023-02-28,2023-02-28,15.7,3.8,16.8,11.6,2.5,1.5
23,FPT,2023-03-01,2023-03-01,15.7,3.8,16.8,11.8,2.5,1.6
24,FPT,2023-03-02,2023-03-02,15.6,3.8,16.7,11.8,2.5,1.6
25,FPT,2023-03-03,2023-03-03,15.3,3.7,16.4,11.7,2.5,1.5
26,FPT,2023-03-06,2023-03-06,15.2,3.7,16.4,11.8,2.5,1.5
27,FPT,2023-03-07,2023-03-07,15.3,3.8,16.5,11.8,2.5,1.6
28,FPT,2023-03-08,2023-03-08,15.5,3.8,16.6,11.9,2.5,1.6
29,FPT,2023-03-09,2023-03-09,15.7,3.9,16.8,12.0,2.5,1.6
30,FPT,2023-03-10,2023-03-10,15.5,3.8,16.7,12.0,2.5,1.6
31,FPT,2023-03-13,2023-03-13,15.3,3.8,16.5,12.0,2.5,1.6
32,FPT,2023-03-14,2023-03-14,15.3,3.8,16.5,11.8,2.5,1.6
33,FPT,2023-03-15,2023-03-15,15.7,3.8,16.8,12.1,2.5,1.6
34,FPT,2023-03-16,2023-03-16,15.4,3.8,16.6,11.9,2.5,1.6
35,FPT,2023-03-17,2023-03-17,15.4,3.8,16.6,11.9,2.5,1.6
36,FPT,2023-03-20,2023-03-20,15.1,3.7,16.3,11.7,2.5,1.5
37,FPT,2023-03-21,2023-03-21,15.2,3.7,16.4,11.7,2.5,1.5
38,FPT,2023-03-22,2023-03-22,15.3,3.7,16.5,11.8,2.5,1.6
39,FPT,2023-03-23,2023-03-23,15.2,3.7,16.4,11.9,2.5,1.6
40,FPT,2023-03-24,2023-03-24,15.3,3.8,16.5,11.9,2.5,1.6
41,FPT,2023-03-27,2023-03-27,15.4,3.8,16.6,11.9,2.5,1.6
42,FPT,2023-03-28,2023-03-28,15.4,3.8,16.6,12.0,2.5,1.6
43,FPT,2023-03-29,2023-03-29,15.4,3.8,16.5,12.0,2.5,1.6
44,FPT,2023-03-30,2023-03-30,15.4,3.8,16.5,12.0,2.5,1.6
45,FPT,2023-03-31,2023-03-31,15.4,3.8,16.6,12.1,2.5,1.6
46,FPT,2023-04-03,2023-04-03,15.0,3.6,16.9,12.2,2.5,1.6
47,FPT,2023-04-04,2023-04-04,15.0,3.6,16.8,12.2,2.5,1.6
48,FPT,2023-04-05,2023-04-05,15.0,3.6,16.9,12.3,2.5,1.6
49,FPT,2023-04-06,2023-04-06,14.9,3.6,16.8,12.2,2.5,1.6
50,FPT,2023-04-07,2023-04-07,15.0,3.6,16.9,12.1,2.5,1.6
51,FPT,2023-04-10,2023-04-10,14.9,3.6,16.8,12.1,2.5,1.6
52,FPT,2023-04-11,2023-04-11,14.9,3.6,16.8,12.1,2.5,1.6
53,FPT,2023-04-12,2023-04-12,14.9,3.6,16.8,12.2,2.5,1.6
54,FPT,2023-04-13,2023-04-13,14.8,3.6,16.7,12.1,2.5,1.6
55,FPT,2023-04-14,2023-04-14,14.8,3.6,16.7,12.0,2.5,1.6
56,FPT,2023-04-17,2023-04-17,14.8,3.6,16.7,12.0,2.5,1.6
57,FPT,2023-04-18,2023-04-18,14.8,3.5,16.6,12.0,2.5,1.6
58,FPT,2023-04-19,2023-04-19,14.7,3.5,16.6,11.9,2.5,1.6
59,FPT,2023-04-20,2023-04-20,14.8,3.5,16.7,12.0,2.4,1.5
60,FPT,2023-04-21,2023-04-21,14.7,3.5,16.0,12.0,2.4,1.6
61,FPT,2023-04-24,2023-04-24,14.7,3.5,15.9,11.8,2.4,1.5
62,FPT,2023-04-25,2023-04-25,14.6,3.5,15.8,11.8,2.4,1.5
63,FPT,2023-04-26,2023-04-26,14.5,3.5,15.8,11.9,2.4,1.6
64,FPT,2023-04-27,2023-04-27,14.5,3.5,15.8,11.9,2.4,1.6
65,FPT,2023-04-28,2023-04-28,14.4,3.5,15.7,12.3,2.4,1.5
66,FPT,2023-05-04,2023-05-04,14.6,3.5,16.4,12.5,2.4,1.5
67,FPT,2023-05-05,2023-05-05,14.6,3.5,16.5,12.5,2.4,1.5
68,FPT,2023-05-08,2023-05-08,14.6,3.5,16.5,12.7,2.4,1.5
69,FPT,2023-05-09,2023-05-09,14.7,3.5,16.6,12.7,2.4,1.5
70,FPT,2023-05-10,2023-05-10,14.7,3.5,16.6,12.7,2.4,1.5
71,FPT,2023-05-11,2023-05-11,14.7,3.5,16.8,12.8,2.4,1.5
72,FPT,2023-05-12,2023-05-12,15.0,3.6,17.0,12.9,2.4,1.6
73,FPT,2023-05-15,2023-05-15,15.0,3.6,17.0,12.8,2.5,1.6
74,FPT,2023-05-16,2023-05-16,15.1,3.6,17.1,12.9,2.5,1.6
75,FPT,2023-05-17,2023-05-17,15.1,3.6,17.1,12.8,2.5,1.5
76,FPT,2023-05-18,2023-05-18,15.4,3.7,17.4,12.9,2.5,1.6
77,FPT,2023-05-19,2023-05-19,15.4,3.7,17.3,12.9,2.5,1.6
78,FPT,2023-05-22,2023-05-22,15.3,3.7,17.3,12.9,2.5,1.6
79,FPT,2023-05-23,2023-05-23,15.2,3.7,17.2,12.9,2.5,1.6
80,FPT,2023-05-24,2023-05-24,15.1,3.6,17.1,12.8,2.5,1.6
81,FPT,2023-05-25,2023-05-25,15.5,3.7,17.4,12.9,2.5,1.6
82,FPT,2023-05-26,2023-05-26,15.4,3.7,17.4,12.8,2.5,1.6
83,FPT,2023-05-29,2023-05-29,15.4,3.7,17.5,13.0,2.5,1.6
84,FPT,2023-05-30,2023-05-30,15.6,3.8,17.7,13.0,2.5,1.6
85,FPT,2023-05-31,2023-05-31,15.6,3.8,17.7,13.0,2.5,1.6
86,FPT,2023-06-01,2023-06-01,15.5,3.7,17.6,13.1,2.5,1.6
87,FPT,2023-06-02,2023-06-02,15.6,3.7,17.6,13.2,2.5,1.6
88,FPT,2023-06-05,2023-06-05,15.8,3.8,17.9,13.3,2.6,1.6
89,FPT,2023-06-06,2023-06-06,15.8,3.8,18.0,13.4,2.6,1.6
90,FPT,2023-06-07,2023-06-07,15.8,3.8,18.0,13.4,2.6,1.6
91,FPT,2023-06-08,2023-06-08,15.5,3.7,17.7,13.3,2.5,1.6
92,FPT,2023-06-09,2023-06-09,15.7,3.8,17.9,13.2,2.6,1.6
93,FPT,2023-06-12,2023-06-12,15.8,3.8,17.9,13.5,2.6,1.6
94,FPT,2023-06-13,2023-06-13,15.7,3.8,17.9,13.5,2.6,1.6
95,FPT,2023-06-14,2023-06-14,15.6,3.8,17.8,13.5,2.6,1.6
96,FPT,2023-06-15,2023-06-15,15.6,3.8,17.8,13.4,2.6,1.6
97,FPT,2023-06-16,2023-06-16,15.7,3.8,17.9,13.4,2.6,1.6
98,FPT,2023-06-19,2023-06-19,15.7,3.8,17.9,13.3,2.6,1.6
99,FPT,2023-06-20,2023-06-20,15.9,3.8,18.0,13.4,2.6,1.6
100,FPT,2023-06-21,2023-06-21,15.9,3.8,18.1,13.4,2.6,1.6
101,FPT,2023-06-22,2023-06-22,15.9,3.8,18.1,13.5,2.6,1.6
102,FPT,2023-06-23,2023-06-23,15.8,3.8,18.0,13.6,2.6,1.6
103,FPT,2023-06-26,2023-06-26,15.9,3.8,18.2,13.6,2.6,1.6
104,FPT,2023-06-27,2023-06-27,16.2,3.9,18.4,13.6,2.7,1.6
105,FPT,2023-06-28,2023-06-28,16.2,3.9,18.4,13.7,2.6,1.7
106,FPT,2023-06-29,2023-06-29,16.1,3.9,18.3,13.6,2.6,1.6
107,FPT,2023-06-30,2023-06-30,16.0,3.8,18.2,13.5,2.6,1.6
108,FPT,2023-07-03,2023-07-03,15.3,3.9,18.2,13.5,2.6,1.6
109,FPT,2023-07-04,2023-07-04,15.4,4.0,16.1,13.6,2.3,1.6
