,ticker,fromDate,toDate,PE,PB,industryPE,vnindexPE,industryPB,vnindexPB
0,GAS,2023-01-27,2023-01-27,13.6,3.2,12.8,11.9,1.9,1.7
1,GAS,2023-01-30,2023-01-30,13.4,3.1,12.3,12.2,1.9,1.7
2,GAS,2023-01-31,2023-01-31,13.3,3.1,12.0,12.3,1.8,1.7
3,GAS,2023-02-01,2023-02-01,13.4,3.1,12.0,12.1,1.8,1.6
4,GAS,2023-02-02,2023-02-02,13.4,3.1,12.0,12.2,1.8,1.6
5,GAS,2023-02-03,2023-02-03,13.2,3.1,11.8,12.2,1.8,1.6
6,GAS,2023-02-06,2023-02-06,13.3,3.1,11.9,12.3,1.8,1.6
7,GAS,2023-02-07,2023-02-07,13.3,3.1,11.9,12.1,1.8,1.6
8,GAS,2023-02-08,2023-02-08,13.5,3.1,12.0,12.1,1.8,1.6
9,GAS,2023-02-09,2023-02-09,13.6,3.2,12.0,12.1,1.8,1.6
10,GAS,2023-02-10,2023-02-10,13.3,3.1,11.8,12.0,1.8,1.6
11,GAS,2023-02-13,2023-02-13,13.3,3.1,11.7,11.9,1.8,1.6
12,GAS,2023-02-14,2023-02-14,13.3,3.1,11.8,11.9,1.8,1.6
13,GAS,2023-02-15,2023-02-15,13.4,3.1,11.9,12.0,1.8,1.6
14,GAS,2023-02-16,2023-02-16,13.5,3.2,12.0,12.1,1.8,1.6
15,GAS,2023-02-17,2023-02-17,13.5,3.1,11.9,12.1,1.8,1.6
16,GAS,2023-02-20,2023-02-20,13.7,3.2,12.1,12.3,1.9,1.6
17,GAS,2023-02-21,2023-02-21,13.6,3.2,12.0,12.3,1.8,1.6
18,GAS,2023-02-22,2023-02-22,13.4,3.1,11.9,12.0,1.8,1.6
19,GAS,2023-02-23,2023-02-23,13.3,3.1,11.8,12.0,1.8,1.6
20,GAS,2023-02-24,2023-02-24,13.4,3.1,11.8,11.8,1.8,1.6
21,GAS,2023-02-27,2023-02-27,13.1,3.0,11.6,11.6,1.8,1.5
22,GAS,2023-02-28,2023-02-28,13.0,3.0,11.7,11.6,1.8,1.5
23,GAS,2023-03-01,2023-03-01,13.2,3.1,11.7,11.8,1.8,1.6
24,GAS,2023-03-02,2023-03-02,13.2,3.1,11.8,11.8,1.8,1.6
25,GAS,2023-03-03,2023-03-03,13.1,3.1,11.8,11.7,1.8,1.5
26,GAS,2023-03-06,2023-03-06,13.0,3.0,11.7,11.8,1.8,1.5
27,GAS,2023-03-07,2023-03-07,13.1,3.1,11.7,11.8,1.8,1.6
28,GAS,2023-03-08,2023-03-08,13.3,3.1,11.8,11.9,1.8,1.6
29,GAS,2023-03-09,2023-03-09,13.4,3.1,11.8,12.0,1.8,1.6
30,GAS,2023-03-10,2023-03-10,13.4,3.1,11.8,12.0,1.8,1.6
31,GAS,2023-03-13,2023-03-13,13.6,3.2,11.9,12.0,1.8,1.6
32,GAS,2023-03-14,2023-03-14,13.5,3.1,11.9,11.8,1.8,1.6
33,GAS,2023-03-15,2023-03-15,13.4,3.1,11.9,12.1,1.8,1.6
34,GAS,2023-03-16,2023-03-16,13.1,3.1,11.8,11.9,1.8,1.6
35,GAS,2023-03-17,2023-03-17,13.0,3.0,11.7,11.9,1.8,1.6
36,GAS,2023-03-20,2023-03-20,12.9,3.0,11.6,11.7,1.8,1.5
37,GAS,2023-03-21,2023-03-21,13.0,3.0,11.7,11.7,1.8,1.5
38,GAS,2023-03-22,2023-03-22,12.9,3.0,11.6,11.8,1.8,1.6
39,GAS,2023-03-23,2023-03-23,12.9,3.0,11.6,11.9,1.8,1.6
40,GAS,2023-03-24,2023-03-24,12.9,3.0,11.5,11.9,1.8,1.6
41,GAS,2023-03-27,2023-03-27,12.8,3.0,11.5,11.9,1.8,1.6
42,GAS,2023-03-28,2023-03-28,13.0,3.0,11.7,12.0,1.8,1.6
43,GAS,2023-03-29,2023-03-29,12.9,3.0,11.6,12.0,1.8,1.6
44,GAS,2023-03-30,2023-03-30,12.9,3.0,11.5,12.0,1.8,1.6
45,GAS,2023-03-31,2023-03-31,12.8,3.0,11.6,12.1,1.8,1.6
46,GAS,2023-04-03,2023-04-03,14.8,2.9,11.5,12.2,1.8,1.6
47,GAS,2023-04-04,2023-04-04,14.7,2.8,11.6,12.2,1.8,1.6
48,GAS,2023-04-05,2023-04-05,14.7,2.8,11.6,12.3,1.8,1.6
49,GAS,2023-04-06,2023-04-06,14.7,2.8,11.5,12.2,1.8,1.6
50,GAS,2023-04-07,2023-04-07,14.6,2.8,11.6,12.1,1.8,1.6
51,GAS,2023-04-10,2023-04-10,14.4,2.8,11.4,12.1,1.8,1.6
52,GAS,2023-04-11,2023-04-11,14.4,2.8,11.5,12.1,1.8,1.6
53,GAS,2023-04-12,2023-04-12,14.4,2.8,11.6,12.2,1.8,1.6
54,GAS,2023-04-13,2023-04-13,14.4,2.8,11.6,12.1,1.8,1.6
55,GAS,2023-04-14,2023-04-14,14.2,2.7,11.4,12.0,1.8,1.6
56,GAS,2023-04-17,2023-04-17,14.0,2.7,11.4,12.0,1.7,1.6
57,GAS,2023-04-18,2023-04-18,14.0,2.7,11.3,12.0,1.7,1.6
58,GAS,2023-04-19,2023-04-19,13.8,2.7,11.3,11.9,1.7,1.6
59,GAS,2023-04-20,2023-04-20,13.9,2.7,11.4,12.0,1.7,1.5
60,GAS,2023-04-21,2023-04-21,13.8,2.7,11.3,12.0,1.7,1.6
61,GAS,2023-04-24,2023-04-24,13.5,2.6,11.2,11.8,1.7,1.5
62,GAS,2023-04-25,2023-04-25,13.3,2.6,11.0,11.8,1.7,1.5
63,GAS,2023-04-26,2023-04-26,13.5,2.6,11.2,11.9,1.7,1.6
64,GAS,2023-04-27,2023-04-27,13.3,2.6,11.1,11.9,1.7,1.6
65,GAS,2023-04-28,2023-04-28,13.4,2.6,11.4,12.3,1.7,1.5
66,GAS,2023-05-04,2023-05-04,13.3,2.6,11.4,12.5,1.7,1.5
67,GAS,2023-05-05,2023-05-05,13.3,2.6,11.4,12.5,1.7,1.5
68,GAS,2023-05-08,2023-05-08,13.5,2.6,11.5,12.7,1.7,1.5
69,GAS,2023-05-09,2023-05-09,13.6,2.6,11.6,12.7,1.7,1.5
70,GAS,2023-05-10,2023-05-10,13.5,2.6,11.5,12.7,1.7,1.5
71,GAS,2023-05-11,2023-05-11,13.3,2.6,11.5,12.8,1.7,1.5
72,GAS,2023-05-12,2023-05-12,13.4,2.6,11.5,12.9,1.7,1.6
73,GAS,2023-05-15,2023-05-15,13.3,2.6,11.5,12.8,1.7,1.6
74,GAS,2023-05-16,2023-05-16,13.3,2.6,11.5,12.9,1.7,1.6
75,GAS,2023-05-17,2023-05-17,13.3,2.6,11.5,12.8,1.7,1.5
76,GAS,2023-05-18,2023-05-18,13.4,2.6,11.6,12.9,1.7,1.6
77,GAS,2023-05-19,2023-05-19,13.7,2.7,11.7,12.9,1.7,1.6
78,GAS,2023-05-22,2023-05-22,13.7,2.6,11.8,12.9,1.7,1.6
79,GAS,2023-05-23,2023-05-23,13.5,2.6,11.7,12.9,1.7,1.6
80,GAS,2023-05-24,2023-05-24,13.4,2.6,11.6,12.8,1.7,1.6
81,GAS,2023-05-25,2023-05-25,13.7,2.6,11.8,12.9,1.7,1.6
82,GAS,2023-05-26,2023-05-26,13.5,2.6,11.7,12.8,1.7,1.6
83,GAS,2023-05-29,2023-05-29,13.6,2.6,11.7,13.0,1.7,1.6
84,GAS,2023-05-30,2023-05-30,13.4,2.6,11.7,13.0,1.7,1.6
85,GAS,2023-05-31,2023-05-31,13.4,2.6,11.7,13.0,1.7,1.6
