,ticker,fromDate,toDate,PE,PB,industryPE,vnindexPE,industryPB,vnindexPB
0,GVR,2023-01-27,2023-01-27,20.0,1.3,6.2,11.9,1.2,1.7
1,GVR,2023-01-30,2023-01-30,19.6,1.3,6.2,12.2,1.2,1.7
2,GVR,2023-01-31,2023-01-31,19.8,1.3,6.5,12.3,1.2,1.7
3,GVR,2023-02-01,2023-02-01,18.4,1.2,6.3,12.1,1.2,1.6
4,GVR,2023-02-02,2023-02-02,18.1,1.2,6.2,12.2,1.2,1.6
5,GVR,2023-02-03,2023-02-03,18.3,1.2,6.3,12.2,1.2,1.6
6,GVR,2023-02-06,2023-02-06,18.5,1.2,6.3,12.3,1.2,1.6
7,GVR,2023-02-07,2023-02-07,17.6,1.2,6.1,12.1,1.1,1.6
8,GVR,2023-02-08,2023-02-08,17.5,1.2,6.1,12.1,1.1,1.6
9,GVR,2023-02-09,2023-02-09,17.7,1.2,6.1,12.1,1.1,1.6
10,GVR,2023-02-10,2023-02-10,17.4,1.2,6.0,12.0,1.1,1.6
11,GVR,2023-02-13,2023-02-13,16.6,1.1,5.8,11.9,1.1,1.6
12,GVR,2023-02-14,2023-02-14,16.8,1.1,5.9,11.9,1.1,1.6
13,GVR,2023-02-15,2023-02-15,17.2,1.1,5.9,12.0,1.1,1.6
14,GVR,2023-02-16,2023-02-16,17.5,1.2,5.9,12.1,1.1,1.6
15,GVR,2023-02-17,2023-02-17,17.4,1.2,5.9,12.1,1.1,1.6
16,GVR,2023-02-20,2023-02-20,18.3,1.2,6.1,12.3,1.1,1.6
17,GVR,2023-02-21,2023-02-21,18.2,1.2,6.1,12.3,1.1,1.6
18,GVR,2023-02-22,2023-02-22,17.3,1.2,5.9,12.0,1.1,1.6
19,GVR,2023-02-23,2023-02-23,17.6,1.2,5.9,12.0,1.1,1.6
20,GVR,2023-02-24,2023-02-24,17.0,1.1,5.8,11.8,1.1,1.6
21,GVR,2023-02-27,2023-02-27,16.5,1.1,5.7,11.6,1.1,1.5
22,GVR,2023-02-28,2023-02-28,16.5,1.1,5.7,11.6,1.1,1.5
23,GVR,2023-03-01,2023-03-01,17.1,1.1,5.8,11.8,1.1,1.6
24,GVR,2023-03-02,2023-03-02,16.9,1.1,5.8,11.8,1.1,1.6
25,GVR,2023-03-03,2023-03-03,16.7,1.1,5.7,11.7,1.1,1.5
26,GVR,2023-03-06,2023-03-06,16.8,1.1,5.7,11.8,1.1,1.5
27,GVR,2023-03-07,2023-03-07,17.1,1.1,5.8,11.8,1.1,1.6
28,GVR,2023-03-08,2023-03-08,17.2,1.1,5.8,11.9,1.1,1.6
29,GVR,2023-03-09,2023-03-09,18.0,1.2,5.9,12.0,1.1,1.6
30,GVR,2023-03-10,2023-03-10,17.8,1.2,5.9,12.0,1.1,1.6
31,GVR,2023-03-13,2023-03-13,17.7,1.2,5.9,12.0,1.1,1.6
32,GVR,2023-03-14,2023-03-14,17.0,1.1,5.7,11.8,1.1,1.6
33,GVR,2023-03-15,2023-03-15,18.0,1.2,5.9,12.1,1.1,1.6
34,GVR,2023-03-16,2023-03-16,17.6,1.2,5.8,11.9,1.1,1.6
35,GVR,2023-03-17,2023-03-17,17.7,1.2,5.8,11.9,1.1,1.6
36,GVR,2023-03-20,2023-03-20,17.0,1.1,5.7,11.7,1.1,1.5
37,GVR,2023-03-21,2023-03-21,17.1,1.1,5.7,11.7,1.1,1.5
38,GVR,2023-03-22,2023-03-22,17.2,1.1,5.8,11.8,1.1,1.6
39,GVR,2023-03-23,2023-03-23,17.2,1.1,5.8,11.9,1.1,1.6
40,GVR,2023-03-24,2023-03-24,17.6,1.2,5.8,11.9,1.1,1.6
41,GVR,2023-03-27,2023-03-27,17.7,1.2,5.8,11.9,1.1,1.6
42,GVR,2023-03-28,2023-03-28,17.6,1.2,5.8,12.0,1.1,1.6
43,GVR,2023-03-29,2023-03-29,17.5,1.2,5.8,12.0,1.1,1.6
44,GVR,2023-03-30,2023-03-30,17.4,1.2,5.8,12.0,1.1,1.6
45,GVR,2023-03-31,2023-03-31,18.4,1.2,5.9,12.1,1.1,1.6
46,GVR,2023-04-03,2023-04-03,22.0,1.3,6.0,12.2,1.1,1.6
47,GVR,2023-04-04,2023-04-04,22.0,1.3,6.1,12.2,1.1,1.6
48,GVR,2023-04-05,2023-04-05,22.3,1.3,6.1,12.3,1.1,1.6
49,GVR,2023-04-06,2023-04-06,21.5,1.2,6.1,12.2,1.1,1.6
50,GVR,2023-04-07,2023-04-07,21.9,1.3,6.1,12.1,1.1,1.6
51,GVR,2023-04-10,2023-04-10,21.9,1.3,6.0,12.1,1.1,1.6
52,GVR,2023-04-11,2023-04-11,22.4,1.3,6.1,12.1,1.1,1.6
53,GVR,2023-04-12,2023-04-12,22.5,1.3,6.1,12.2,1.1,1.6
54,GVR,2023-04-13,2023-04-13,22.0,1.3,6.1,12.1,1.1,1.6
55,GVR,2023-04-14,2023-04-14,21.1,1.2,6.0,12.0,1.1,1.6
56,GVR,2023-04-17,2023-04-17,21.2,1.2,6.0,12.0,1.1,1.6
57,GVR,2023-04-18,2023-04-18,21.3,1.2,6.0,12.0,1.1,1.6
58,GVR,2023-04-19,2023-04-19,20.7,1.2,5.9,11.9,1.1,1.6
59,GVR,2023-04-20,2023-04-20,20.9,1.2,7.8,12.0,1.1,1.5
60,GVR,2023-04-21,2023-04-21,20.8,1.2,6.0,12.0,1.1,1.6
61,GVR,2023-04-24,2023-04-24,21.1,1.2,6.1,11.8,1.1,1.5
62,GVR,2023-04-25,2023-04-25,20.8,1.2,6.7,11.8,1.1,1.5
63,GVR,2023-04-26,2023-04-26,21.1,1.2,6.8,11.9,1.1,1.6
64,GVR,2023-04-27,2023-04-27,21.3,1.2,7.5,11.9,1.1,1.6
65,GVR,2023-04-28,2023-04-28,21.4,1.2,7.7,12.3,1.1,1.5
66,GVR,2023-05-04,2023-05-04,21.6,1.2,7.8,12.5,1.1,1.5
67,GVR,2023-05-05,2023-05-05,21.3,1.2,7.8,12.5,1.1,1.5
68,GVR,2023-05-08,2023-05-08,22.3,1.3,8.0,12.7,1.1,1.5
69,GVR,2023-05-09,2023-05-09,22.2,1.3,8.0,12.7,1.1,1.5
70,GVR,2023-05-10,2023-05-10,23.2,1.3,8.1,12.7,1.2,1.5
71,GVR,2023-05-11,2023-05-11,23.0,1.3,8.2,12.8,1.2,1.5
72,GVR,2023-05-12,2023-05-12,23.1,1.3,8.2,12.9,1.2,1.6
73,GVR,2023-05-15,2023-05-15,22.2,1.3,8.0,12.8,1.1,1.6
74,GVR,2023-05-16,2023-05-16,22.0,1.3,8.0,12.9,1.1,1.6
75,GVR,2023-05-17,2023-05-17,21.8,1.3,7.9,12.8,1.1,1.5
76,GVR,2023-05-18,2023-05-18,21.8,1.3,7.9,12.9,1.1,1.6
77,GVR,2023-05-19,2023-05-19,22.4,1.3,8.0,12.9,1.1,1.6
78,GVR,2023-05-22,2023-05-22,22.7,1.3,8.0,12.9,1.1,1.6
79,GVR,2023-05-23,2023-05-23,22.6,1.3,8.1,12.9,1.1,1.6
80,GVR,2023-05-24,2023-05-24,22.2,1.3,8.0,12.8,1.1,1.6
81,GVR,2023-05-25,2023-05-25,23.1,1.3,8.1,12.9,1.2,1.6
82,GVR,2023-05-26,2023-05-26,23.7,1.4,8.2,12.8,1.2,1.6
83,GVR,2023-05-29,2023-05-29,25.1,1.4,8.4,13.0,1.2,1.6
84,GVR,2023-05-30,2023-05-30,25.3,1.5,8.5,13.0,1.2,1.6
85,GVR,2023-05-31,2023-05-31,25.1,1.4,8.6,13.0,1.2,1.6
86,GVR,2023-06-01,2023-06-01,25.9,1.5,8.7,13.1,1.2,1.6
87,GVR,2023-06-02,2023-06-02,26.0,1.5,8.8,13.2,1.2,1.6
88,GVR,2023-06-05,2023-06-05,25.3,1.5,8.8,13.3,1.2,1.6
89,GVR,2023-06-06,2023-06-06,25.8,1.5,8.9,13.4,1.3,1.6
90,GVR,2023-06-07,2023-06-07,25.5,1.5,8.9,13.4,1.3,1.6
91,GVR,2023-06-08,2023-06-08,24.8,1.4,8.7,13.3,1.2,1.6
92,GVR,2023-06-09,2023-06-09,24.8,1.4,8.7,13.2,1.2,1.6
93,GVR,2023-06-12,2023-06-12,25.0,1.4,8.8,13.5,1.3,1.6
94,GVR,2023-06-13,2023-06-13,25.3,1.5,8.8,13.5,1.3,1.6
95,GVR,2023-06-14,2023-06-14,24.6,1.4,8.7,13.5,1.2,1.6
96,GVR,2023-06-15,2023-06-15,24.8,1.4,8.7,13.4,1.2,1.6
97,GVR,2023-06-16,2023-06-16,24.5,1.4,8.6,13.4,1.2,1.6
98,GVR,2023-06-19,2023-06-19,24.6,1.4,8.6,13.3,1.2,1.6
99,GVR,2023-06-20,2023-06-20,25.9,1.5,8.8,13.4,1.3,1.6
100,GVR,2023-06-21,2023-06-21,26.8,1.5,9.0,13.4,1.3,1.6
101,GVR,2023-06-22,2023-06-22,26.6,1.5,9.1,13.5,1.3,1.6
102,GVR,2023-06-23,2023-06-23,26.2,1.5,9.0,13.6,1.3,1.6
103,GVR,2023-06-26,2023-06-26,27.0,1.6,9.1,13.6,1.3,1.6
104,GVR,2023-06-27,2023-06-27,27.0,1.6,9.2,13.6,1.3,1.6
105,GVR,2023-06-28,2023-06-28,26.6,1.5,9.1,13.7,1.3,1.7
106,GVR,2023-06-29,2023-06-29,26.2,1.5,9.0,13.6,1.3,1.6
107,GVR,2023-06-30,2023-06-30,26.7,1.5,9.0,13.5,1.3,1.6
108,GVR,2023-07-03,2023-07-03,33.9,1.6,9.3,13.5,1.3,1.6
109,GVR,2023-07-04,2023-07-04,34.2,1.6,9.3,13.6,1.3,1.6
110,GVR,2023-07-05,2023-07-05,33.9,1.6,9.4,13.6,1.3,1.6
111,GVR,2023-07-06,2023-07-06,34.9,1.6,9.5,13.5,1.3,1.6
112,GVR,2023-07-07,2023-07-07,35.8,1.7,9.6,13.7,1.4,1.7
113,GVR,2023-07-10,2023-07-10,35.8,1.7,9.7,13.8,1.4,1.7
114,GVR,2023-07-11,2023-07-11,36.2,1.7,9.7,13.8,1.4,1.7
115,GVR,2023-07-12,2023-07-12,36.4,1.7,9.8,13.9,1.4,1.7
116,GVR,2023-07-13,2023-07-13,36.5,1.7,9.9,14.0,1.4,1.7
117,GVR,2023-07-14,2023-07-14,36.4,1.7,9.9,14.0,1.4,1.7
118,GVR,2023-07-17,2023-07-17,37.1,1.7,10.0,14.0,1.4,1.7
119,GVR,2023-07-18,2023-07-18,36.8,1.7,10.0,14.1,1.4,1.7
120,GVR,2023-07-19,2023-07-19,36.6,1.7,10.0,14.1,1.4,1.7
121,GVR,2023-07-20,2023-07-20,36.2,1.7,10.0,14.1,1.4,1.7
122,GVR,2023-07-21,2023-07-21,37.1,1.7,10.8,14.3,1.4,1.7
123,GVR,2023-07-24,2023-07-24,37.4,1.7,11.4,14.4,1.4,1.7
124,GVR,2023-07-25,2023-07-25,36.7,1.7,11.8,14.5,1.4,1.7
125,GVR,2023-07-26,2023-07-26,36.4,1.7,11.7,14.5,1.4,1.7
126,GVR,2023-07-27,2023-07-27,36.6,1.7,12.1,14.5,1.4,1.7
127,GVR,2023-07-28,2023-07-28,37.1,1.7,12.3,14.6,1.4,1.7
128,GVR,2023-07-31,2023-07-31,37.7,1.7,12.2,15.1,1.5,1.7
129,GVR,2023-08-01,2023-08-01,37.1,1.7,13.1,15.2,1.5,1.7
130,GVR,2023-08-02,2023-08-02,36.9,1.7,13.1,15.2,1.5,1.7
131,GVR,2023-08-03,2023-08-03,36.7,1.7,13.1,15.1,1.4,1.7
132,GVR,2023-08-04,2023-08-04,36.9,1.7,13.1,15.3,1.5,1.7
133,GVR,2023-08-07,2023-08-07,38.2,1.8,13.3,15.5,1.5,1.8
134,GVR,2023-08-08,2023-08-08,38.1,1.8,13.4,15.5,1.5,1.8
135,GVR,2023-08-09,2023-08-09,37.3,1.7,13.2,15.4,1.5,1.8
136,GVR,2023-08-10,2023-08-10,36.1,1.7,13.0,15.3,1.4,1.7
137,GVR,2023-08-11,2023-08-11,35.5,1.6,13.0,15.4,1.4,1.8
138,GVR,2023-08-14,2023-08-14,36.3,1.7,13.1,15.4,1.4,1.8
139,GVR,2023-08-15,2023-08-15,36.1,1.7,13.2,15.4,1.5,1.8
140,GVR,2023-08-16,2023-08-16,36.0,1.7,13.2,15.5,1.5,1.8
141,GVR,2023-08-17,2023-08-17,35.9,1.7,13.1,15.4,1.4,1.8
142,GVR,2023-08-18,2023-08-18,33.4,1.5,12.3,14.8,1.4,1.7
143,GVR,2023-08-21,2023-08-21,32.5,1.5,12.1,14.7,1.3,1.7
144,GVR,2023-08-22,2023-08-22,32.1,1.5,12.1,14.8,1.3,1.7
145,GVR,2023-08-23,2023-08-23,32.3,1.5,12.1,14.7,1.3,1.7
146,GVR,2023-08-24,2023-08-24,33.4,1.5,12.4,14.9,1.4,1.7
147,GVR,2023-08-25,2023-08-25,33.1,1.5,12.5,14.8,1.4,1.7
148,GVR,2023-08-28,2023-08-28,34.0,1.6,12.8,15.0,1.4,1.7
149,GVR,2023-08-29,2023-08-29,34.8,1.6,12.9,15.1,1.4,1.7
150,GVR,2023-08-30,2023-08-30,34.9,1.6,12.9,15.2,1.4,1.7
151,GVR,2023-08-31,2023-08-31,36.8,1.7,13.3,15.4,1.5,1.7
152,GVR,2023-09-05,2023-09-05,37.1,1.7,13.5,15.5,1.5,1.8
153,GVR,2023-09-06,2023-09-06,37.1,1.7,13.6,15.7,1.5,1.8
154,GVR,2023-09-07,2023-09-07,37.7,1.7,13.6,15.7,1.5,1.8
155,GVR,2023-09-08,2023-09-08,38.2,1.8,14.0,15.7,1.5,1.8
156,GVR,2023-09-11,2023-09-11,36.6,1.7,13.7,15.5,1.5,1.8
157,GVR,2023-09-12,2023-09-12,38.2,1.8,14.0,15.7,1.5,1.8
158,GVR,2023-09-13,2023-09-13,37.6,1.7,13.8,15.5,1.5,1.8
159,GVR,2023-09-14,2023-09-14,37.1,1.7,13.6,15.5,1.5,1.8
160,GVR,2023-09-15,2023-09-15,38.1,1.8,13.8,15.5,1.5,1.8
161,GVR,2023-09-18,2023-09-18,37.3,1.7,13.6,15.4,1.5,1.7
162,GVR,2023-09-19,2023-09-19,37.6,1.7,13.8,15.3,1.5,1.7
163,GVR,2023-09-20,2023-09-20,38.9,1.8,14.1,15.5,1.6,1.8
164,GVR,2023-09-21,2023-09-21,39.1,1.8,14.1,15.3,1.5,1.7
165,GVR,2023-09-22,2023-09-22,36.8,1.7,13.7,15.1,1.5,1.7
166,GVR,2023-09-25,2023-09-25,34.3,1.6,12.9,14.7,1.4,1.7
