,ticker,fromDate,toDate,PE,PB,industryPE,vnindexPE,industryPB,vnindexPB
0,HDB,2023-01-27,2023-01-27,5.3,1.0,8.9,11.9,1.6,1.7
1,HDB,2023-01-30,2023-01-30,5.5,1.1,8.6,12.2,1.5,1.7
2,HDB,2023-01-31,2023-01-31,5.6,1.1,8.6,12.3,1.6,1.7
3,HDB,2023-02-01,2023-02-01,5.7,1.1,8.3,12.1,1.5,1.6
4,HDB,2023-02-02,2023-02-02,5.5,1.1,8.3,12.2,1.5,1.6
5,HDB,2023-02-03,2023-02-03,5.6,1.1,8.3,12.2,1.5,1.6
6,HDB,2023-02-06,2023-02-06,5.6,1.1,8.5,12.3,1.5,1.6
7,HDB,2023-02-07,2023-02-07,5.4,1.1,8.3,12.1,1.5,1.6
8,HDB,2023-02-08,2023-02-08,5.5,1.1,8.4,12.1,1.5,1.6
9,HDB,2023-02-09,2023-02-09,5.5,1.1,8.4,12.1,1.5,1.6
10,HDB,2023-02-10,2023-02-10,5.5,1.1,8.2,12.0,1.5,1.6
11,HDB,2023-02-13,2023-02-13,5.4,1.1,8.2,11.9,1.5,1.6
12,HDB,2023-02-14,2023-02-14,5.3,1.0,8.1,11.9,1.5,1.6
13,HDB,2023-02-15,2023-02-15,5.4,1.0,8.2,12.0,1.5,1.6
14,HDB,2023-02-16,2023-02-16,5.6,1.1,8.3,12.1,1.5,1.6
15,HDB,2023-02-17,2023-02-17,5.6,1.1,8.3,12.1,1.5,1.6
16,HDB,2023-02-20,2023-02-20,5.7,1.1,8.5,12.3,1.5,1.6
17,HDB,2023-02-21,2023-02-21,5.7,1.1,8.5,12.3,1.5,1.6
18,HDB,2023-02-22,2023-02-22,5.6,1.1,8.3,12.0,1.5,1.6
19,HDB,2023-02-23,2023-02-23,5.4,1.1,8.3,12.0,1.5,1.6
20,HDB,2023-02-24,2023-02-24,5.3,1.0,8.2,11.8,1.5,1.6
21,HDB,2023-02-27,2023-02-27,5.1,1.0,8.1,11.6,1.5,1.5
22,HDB,2023-02-28,2023-02-28,5.1,1.0,8.1,11.6,1.5,1.5
23,HDB,2023-03-01,2023-03-01,5.3,1.0,8.3,11.8,1.5,1.6
24,HDB,2023-03-02,2023-03-02,5.4,1.1,8.3,11.8,1.5,1.6
25,HDB,2023-03-03,2023-03-03,5.4,1.0,8.1,11.7,1.5,1.5
26,HDB,2023-03-06,2023-03-06,5.4,1.1,8.2,11.8,1.5,1.5
27,HDB,2023-03-07,2023-03-07,5.6,1.1,8.3,11.8,1.5,1.6
28,HDB,2023-03-08,2023-03-08,5.6,1.1,8.4,11.9,1.5,1.6
29,HDB,2023-03-09,2023-03-09,5.6,1.1,8.4,12.0,1.5,1.6
30,HDB,2023-03-10,2023-03-10,5.6,1.1,8.4,12.0,1.5,1.6
31,HDB,2023-03-13,2023-03-13,5.6,1.1,8.3,12.0,1.5,1.6
32,HDB,2023-03-14,2023-03-14,5.4,1.1,8.2,11.8,1.5,1.6
33,HDB,2023-03-15,2023-03-15,5.6,1.1,8.4,12.1,1.5,1.6
34,HDB,2023-03-16,2023-03-16,5.4,1.0,8.3,11.9,1.5,1.6
35,HDB,2023-03-17,2023-03-17,5.6,1.1,8.2,11.9,1.5,1.6
