,ticker,fromDate,toDate,PE,PB,industryPE,vnindexPE,industryPB,vnindexPB
0,HPG,2023-01-27,2023-01-27,188.3,1.3,9.8,11.9,1.0,1.7
1,HPG,2023-01-30,2023-01-30,190.5,1.3,19.9,12.2,1.1,1.7
2,HPG,2023-01-31,2023-01-31,193.5,1.3,24.0,12.3,1.1,1.7
3,HPG,2023-02-01,2023-02-01,184.8,1.3,25.8,12.1,1.0,1.6
4,HPG,2023-02-02,2023-02-02,186.5,1.3,26.5,12.2,1.1,1.6
5,HPG,2023-02-03,2023-02-03,184.8,1.3,27.6,12.2,1.1,1.6
6,HPG,2023-02-06,2023-02-06,185.2,1.3,27.6,12.3,1.1,1.6
7,HPG,2023-02-07,2023-02-07,172.9,1.2,26.4,12.1,1.0,1.6
8,HPG,2023-02-08,2023-02-08,182.6,1.3,26.7,12.1,1.0,1.6
9,HPG,2023-02-09,2023-02-09,180.4,1.2,26.5,12.1,1.0,1.6
10,HPG,2023-02-10,2023-02-10,179.5,1.2,26.3,12.0,1.0,1.6
11,HPG,2023-02-13,2023-02-13,176.9,1.2,26.0,11.9,1.0,1.6
12,HPG,2023-02-14,2023-02-14,180.4,1.2,26.4,11.9,1.0,1.6
13,HPG,2023-02-15,2023-02-15,182.1,1.3,26.6,12.0,1.0,1.6
14,HPG,2023-02-16,2023-02-16,186.5,1.3,27.2,12.1,1.1,1.6
15,HPG,2023-02-17,2023-02-17,183.9,1.3,26.8,12.1,1.1,1.6
16,HPG,2023-02-20,2023-02-20,191.8,1.3,27.7,12.3,1.1,1.6
17,HPG,2023-02-21,2023-02-21,189.1,1.3,27.5,12.3,1.1,1.6
18,HPG,2023-02-22,2023-02-22,185.6,1.3,27.1,12.0,1.1,1.6
19,HPG,2023-02-23,2023-02-23,188.3,1.3,27.3,12.0,1.1,1.6
20,HPG,2023-02-24,2023-02-24,182.1,1.3,26.5,11.8,1.0,1.6
21,HPG,2023-02-27,2023-02-27,176.0,1.2,25.8,11.6,1.0,1.5
22,HPG,2023-02-28,2023-02-28,175.1,1.2,25.8,11.6,1.0,1.5
23,HPG,2023-03-01,2023-03-01,183.0,1.3,26.6,11.8,1.0,1.6
24,HPG,2023-03-02,2023-03-02,180.4,1.2,26.4,11.8,1.0,1.6
25,HPG,2023-03-03,2023-03-03,178.2,1.2,26.2,11.7,1.0,1.5
26,HPG,2023-03-06,2023-03-06,178.6,1.2,26.3,11.8,1.0,1.5
27,HPG,2023-03-07,2023-03-07,184.8,1.3,26.8,11.8,1.1,1.6
28,HPG,2023-03-08,2023-03-08,185.6,1.3,26.9,11.9,1.1,1.6
29,HPG,2023-03-09,2023-03-09,185.6,1.3,26.9,12.0,1.1,1.6
30,HPG,2023-03-10,2023-03-10,186.5,1.3,27.0,12.0,1.1,1.6
31,HPG,2023-03-13,2023-03-13,184.8,1.3,26.8,12.0,1.1,1.6
32,HPG,2023-03-14,2023-03-14,177.8,1.2,26.0,11.8,1.0,1.6
33,HPG,2023-03-15,2023-03-15,186.5,1.3,27.0,12.1,1.1,1.6
34,HPG,2023-03-16,2023-03-16,182.6,1.3,26.5,11.9,1.0,1.6
35,HPG,2023-03-17,2023-03-17,178.6,1.2,26.2,11.9,1.0,1.6
36,HPG,2023-03-20,2023-03-20,175.1,1.2,25.7,11.7,1.0,1.5
37,HPG,2023-03-21,2023-03-21,179.1,1.2,26.1,11.7,1.0,1.5
38,HPG,2023-03-22,2023-03-22,177.8,1.2,25.9,11.8,1.0,1.6
39,HPG,2023-03-23,2023-03-23,178.6,1.2,26.0,11.9,1.0,1.6
40,HPG,2023-03-24,2023-03-24,178.6,1.2,26.1,11.9,1.0,1.6
41,HPG,2023-03-27,2023-03-27,182.1,1.3,26.5,11.9,1.0,1.6
42,HPG,2023-03-28,2023-03-28,181.3,1.2,26.4,12.0,1.0,1.6
43,HPG,2023-03-29,2023-03-29,182.1,1.3,26.6,12.0,1.0,1.6
44,HPG,2023-03-30,2023-03-30,182.1,1.3,26.5,12.0,1.0,1.6
45,HPG,2023-03-31,2023-03-31,182.1,1.3,26.4,12.1,1.0,1.6
46,HPG,2023-04-03,2023-04-03,-64.0,1.2,26.6,12.2,1.0,1.6
47,HPG,2023-04-04,2023-04-04,-64.3,1.3,26.7,12.2,1.1,1.6
48,HPG,2023-04-05,2023-04-05,-65.5,1.3,27.0,12.3,1.1,1.6
