,ticker,fromDate,toDate,PE,PB,industryPE,vnindexPE,industryPB,vnindexPB
0,MBB,2023-01-27,2023-01-27,4.9,1.0,8.9,11.9,1.6,1.7
1,MBB,2023-01-30,2023-01-30,4.7,1.0,8.6,12.2,1.5,1.7
2,MBB,2023-01-31,2023-01-31,4.8,1.0,8.6,12.3,1.6,1.7
3,MBB,2023-02-01,2023-02-01,4.7,1.0,8.3,12.1,1.5,1.6
4,MBB,2023-02-02,2023-02-02,4.7,1.0,8.3,12.2,1.5,1.6
5,MBB,2023-02-03,2023-02-03,4.6,1.0,8.3,12.2,1.5,1.6
6,MBB,2023-02-06,2023-02-06,4.6,1.0,8.5,12.3,1.5,1.6
7,MBB,2023-02-07,2023-02-07,4.5,1.0,8.3,12.1,1.5,1.6
8,MBB,2023-02-08,2023-02-08,4.5,1.0,8.4,12.1,1.5,1.6
9,MBB,2023-02-09,2023-02-09,4.5,1.0,8.4,12.1,1.5,1.6
10,MBB,2023-02-10,2023-02-10,4.5,1.0,8.2,12.0,1.5,1.6
11,MBB,2023-02-13,2023-02-13,4.4,0.9,8.2,11.9,1.5,1.6
12,MBB,2023-02-14,2023-02-14,4.4,0.9,8.1,11.9,1.5,1.6
13,MBB,2023-02-15,2023-02-15,4.4,0.9,8.2,12.0,1.5,1.6
14,MBB,2023-02-16,2023-02-16,4.5,1.0,8.3,12.1,1.5,1.6
15,MBB,2023-02-17,2023-02-17,4.5,0.9,8.3,12.1,1.5,1.6
16,MBB,2023-02-20,2023-02-20,4.7,1.0,8.5,12.3,1.5,1.6
17,MBB,2023-02-21,2023-02-21,4.6,1.0,8.5,12.3,1.5,1.6
18,MBB,2023-02-22,2023-02-22,4.5,1.0,8.3,12.0,1.5,1.6
19,MBB,2023-02-23,2023-02-23,4.5,0.9,8.3,12.0,1.5,1.6
20,MBB,2023-02-24,2023-02-24,4.4,0.9,8.2,11.8,1.5,1.6
21,MBB,2023-02-27,2023-02-27,4.2,0.9,8.1,11.6,1.5,1.5
22,MBB,2023-02-28,2023-02-28,4.2,0.9,8.1,11.6,1.5,1.5
23,MBB,2023-03-01,2023-03-01,4.3,0.9,8.3,11.8,1.5,1.6
24,MBB,2023-03-02,2023-03-02,4.3,0.9,8.3,11.8,1.5,1.6
25,MBB,2023-03-03,2023-03-03,4.2,0.9,8.1,11.7,1.5,1.5
26,MBB,2023-03-06,2023-03-06,4.3,0.9,8.2,11.8,1.5,1.5
27,MBB,2023-03-07,2023-03-07,4.3,0.9,8.3,11.8,1.5,1.6
28,MBB,2023-03-08,2023-03-08,4.3,0.9,8.4,11.9,1.5,1.6
29,MBB,2023-03-09,2023-03-09,4.4,0.9,8.4,12.0,1.5,1.6
30,MBB,2023-03-10,2023-03-10,4.4,0.9,8.4,12.0,1.5,1.6
31,MBB,2023-03-13,2023-03-13,4.3,0.9,8.3,12.0,1.5,1.6
32,MBB,2023-03-14,2023-03-14,4.2,0.9,8.2,11.8,1.5,1.6
33,MBB,2023-03-15,2023-03-15,4.4,0.9,8.4,12.1,1.5,1.6
34,MBB,2023-03-16,2023-03-16,4.3,0.9,8.3,11.9,1.5,1.6
35,MBB,2023-03-17,2023-03-17,4.3,0.9,8.2,11.9,1.5,1.6
36,MBB,2023-03-20,2023-03-20,4.3,0.9,8.0,11.7,1.5,1.5
37,MBB,2023-03-21,2023-03-21,4.3,0.9,8.1,11.7,1.5,1.5
38,MBB,2023-03-22,2023-03-22,4.3,0.9,8.2,11.8,1.5,1.6
39,MBB,2023-03-23,2023-03-23,4.3,0.9,8.3,11.9,1.5,1.6
40,MBB,2023-03-24,2023-03-24,4.4,0.9,8.3,11.9,1.5,1.6
41,MBB,2023-03-27,2023-03-27,4.4,0.9,8.3,11.9,1.5,1.6
42,MBB,2023-03-28,2023-03-28,4.4,0.9,8.4,12.0,1.5,1.6
43,MBB,2023-03-29,2023-03-29,4.5,1.0,8.4,12.0,1.5,1.6
44,MBB,2023-03-30,2023-03-30,4.5,1.0,8.4,12.0,1.5,1.6
45,MBB,2023-03-31,2023-03-31,4.5,1.0,8.5,12.1,1.5,1.6
46,MBB,2023-04-03,2023-04-03,4.5,1.0,8.6,12.2,1.5,1.6
47,MBB,2023-04-04,2023-04-04,4.5,1.0,8.6,12.2,1.5,1.6
48,MBB,2023-04-05,2023-04-05,4.6,1.0,8.6,12.3,1.5,1.6
49,MBB,2023-04-06,2023-04-06,4.5,1.0,8.5,12.2,1.5,1.6
50,MBB,2023-04-07,2023-04-07,4.5,1.0,8.5,12.1,1.5,1.6
51,MBB,2023-04-10,2023-04-10,4.5,1.0,8.4,12.1,1.5,1.6
52,MBB,2023-04-11,2023-04-11,4.5,1.0,8.4,12.1,1.5,1.6
53,MBB,2023-04-12,2023-04-12,4.5,1.0,8.4,12.2,1.5,1.6
54,MBB,2023-04-13,2023-04-13,4.5,1.0,8.4,12.1,1.5,1.6
55,MBB,2023-04-14,2023-04-14,4.4,0.9,8.4,12.0,1.5,1.6
56,MBB,2023-04-17,2023-04-17,4.4,0.9,8.4,12.0,1.5,1.6
57,MBB,2023-04-18,2023-04-18,4.4,0.9,8.3,12.0,1.5,1.6
58,MBB,2023-04-19,2023-04-19,4.4,0.9,8.3,11.9,1.5,1.6
59,MBB,2023-04-20,2023-04-20,4.4,0.9,8.3,12.0,1.4,1.5
60,MBB,2023-04-21,2023-04-21,4.4,0.9,8.2,12.0,1.5,1.6
61,MBB,2023-04-24,2023-04-24,4.4,0.9,8.2,11.8,1.5,1.5
62,MBB,2023-04-25,2023-04-25,4.4,0.9,8.2,11.8,1.5,1.5
63,MBB,2023-04-26,2023-04-26,4.5,0.9,8.3,11.9,1.5,1.6
64,MBB,2023-04-27,2023-04-27,4.5,0.9,8.3,11.9,1.5,1.6
