,ticker,fromDate,toDate,PE,PB,industryPE,vnindexPE,industryPB,vnindexPB
0,MSN,2023-01-27,2023-01-27,67.9,5.6,15.7,11.9,2.7,1.7
1,MSN,2023-01-30,2023-01-30,66.8,5.5,19.0,12.2,2.7,1.7
2,MSN,2023-01-31,2023-01-31,66.2,5.5,20.1,12.3,2.6,1.7
3,MSN,2023-02-01,2023-02-01,62.3,5.2,19.9,12.1,2.6,1.6
4,MSN,2023-02-02,2023-02-02,63.3,5.2,19.8,12.2,2.6,1.6
5,MSN,2023-02-03,2023-02-03,63.2,5.2,19.9,12.2,2.6,1.6
6,MSN,2023-02-06,2023-02-06,63.0,5.2,20.0,12.3,2.6,1.6
7,MSN,2023-02-07,2023-02-07,61.6,5.1,19.7,12.1,2.5,1.6
8,MSN,2023-02-08,2023-02-08,61.2,5.1,19.8,12.1,2.6,1.6
9,MSN,2023-02-09,2023-02-09,60.1,5.0,19.7,12.1,2.5,1.6
10,MSN,2023-02-10,2023-02-10,59.7,4.9,19.7,12.0,2.5,1.6
11,MSN,2023-02-13,2023-02-13,60.8,5.0,19.7,11.9,2.5,1.6
12,MSN,2023-02-14,2023-02-14,60.8,5.0,19.6,11.9,2.5,1.6
13,MSN,2023-02-15,2023-02-15,60.9,5.0,19.7,12.0,2.5,1.6
14,MSN,2023-02-16,2023-02-16,60.8,5.0,19.8,12.1,2.5,1.6
15,MSN,2023-02-17,2023-02-17,59.8,4.9,19.7,12.1,2.5,1.6
16,MSN,2023-02-20,2023-02-20,61.9,5.1,20.1,12.3,2.6,1.6
17,MSN,2023-02-21,2023-02-21,61.4,5.1,20.0,12.3,2.6,1.6
18,MSN,2023-02-22,2023-02-22,59.6,4.9,19.6,12.0,2.5,1.6
19,MSN,2023-02-23,2023-02-23,57.3,4.7,19.4,12.0,2.5,1.6
20,MSN,2023-02-24,2023-02-24,56.2,4.7,19.3,11.8,2.5,1.6
21,MSN,2023-02-27,2023-02-27,52.3,4.3,18.9,11.6,2.4,1.5
22,MSN,2023-02-28,2023-02-28,53.7,4.4,19.0,11.6,2.5,1.5
23,MSN,2023-03-01,2023-03-01,52.7,4.4,19.2,11.8,2.5,1.6
24,MSN,2023-03-02,2023-03-02,51.7,4.3,19.0,11.8,2.5,1.6
25,MSN,2023-03-03,2023-03-03,49.7,4.1,18.8,11.7,2.4,1.5
26,MSN,2023-03-06,2023-03-06,48.7,4.0,18.6,11.8,2.4,1.5
27,MSN,2023-03-07,2023-03-07,51.3,4.2,18.8,11.8,2.4,1.6
28,MSN,2023-03-08,2023-03-08,52.6,4.4,19.0,11.9,2.4,1.6
29,MSN,2023-03-09,2023-03-09,52.9,4.4,19.0,12.0,2.4,1.6
30,MSN,2023-03-10,2023-03-10,54.9,4.5,19.2,12.0,2.5,1.6
31,MSN,2023-03-13,2023-03-13,55.3,4.6,19.2,12.0,2.5,1.6
32,MSN,2023-03-14,2023-03-14,54.7,4.5,19.1,11.8,2.5,1.6
33,MSN,2023-03-15,2023-03-15,55.4,4.6,19.3,12.1,2.5,1.6
34,MSN,2023-03-16,2023-03-16,54.9,4.5,19.2,11.9,2.5,1.6
35,MSN,2023-03-17,2023-03-17,54.7,4.5,19.0,11.9,2.5,1.6
36,MSN,2023-03-20,2023-03-20,53.3,4.4,18.8,11.7,2.4,1.5
37,MSN,2023-03-21,2023-03-21,52.4,4.3,18.7,11.7,2.4,1.5
38,MSN,2023-03-22,2023-03-22,52.7,4.4,18.8,11.8,2.4,1.6
39,MSN,2023-03-23,2023-03-23,51.7,4.3,18.8,11.9,2.4,1.6
40,MSN,2023-03-24,2023-03-24,51.1,4.2,18.8,11.9,2.4,1.6
41,MSN,2023-03-27,2023-03-27,50.2,4.2,18.7,11.9,2.4,1.6
42,MSN,2023-03-28,2023-03-28,50.8,4.2,18.7,12.0,2.4,1.6
43,MSN,2023-03-29,2023-03-29,51.6,4.3,18.8,12.0,2.4,1.6
44,MSN,2023-03-30,2023-03-30,51.8,4.3,18.8,12.0,2.4,1.6
45,MSN,2023-03-31,2023-03-31,50.9,4.2,18.7,12.1,2.4,1.6
46,MSN,2023-04-03,2023-04-03,83.9,4.1,18.7,12.2,2.4,1.6
47,MSN,2023-04-04,2023-04-04,85.6,4.2,18.8,12.2,2.4,1.6
48,MSN,2023-04-05,2023-04-05,85.6,4.2,18.8,12.3,2.4,1.6
49,MSN,2023-04-06,2023-04-06,84.1,4.2,18.7,12.2,2.4,1.6
50,MSN,2023-04-07,2023-04-07,84.7,4.2,18.7,12.1,2.4,1.6
51,MSN,2023-04-10,2023-04-10,84.3,4.2,18.7,12.1,2.4,1.6
52,MSN,2023-04-11,2023-04-11,85.1,4.2,18.7,12.1,2.4,1.6
53,MSN,2023-04-12,2023-04-12,86.8,4.3,18.8,12.2,2.4,1.6
54,MSN,2023-04-13,2023-04-13,86.5,4.3,18.7,12.1,2.4,1.6
55,MSN,2023-04-14,2023-04-14,85.3,4.2,18.6,12.0,2.4,1.6
56,MSN,2023-04-17,2023-04-17,85.3,4.2,18.5,12.0,2.4,1.6
57,MSN,2023-04-18,2023-04-18,85.4,4.2,18.7,12.0,2.4,1.6
58,MSN,2023-04-19,2023-04-19,85.9,4.2,18.6,11.9,2.4,1.6
59,MSN,2023-04-20,2023-04-20,85.2,4.2,20.7,12.0,2.3,1.5
60,MSN,2023-04-21,2023-04-21,83.4,4.1,18.2,12.0,2.3,1.6
61,MSN,2023-04-24,2023-04-24,80.0,4.0,18.0,11.8,2.3,1.5
62,MSN,2023-04-25,2023-04-25,77.9,3.9,17.9,11.8,2.3,1.5
63,MSN,2023-04-26,2023-04-26,78.0,3.9,17.9,11.9,2.3,1.6
