,ticker,fromDate,toDate,PE,PB,industryPE,vnindexPE,industryPB,vnindexPB
0,MWG,2023-01-27,2023-01-27,24.8,2.8,13.5,11.9,2.5,1.7
1,MWG,2023-01-30,2023-01-30,25.0,2.8,15.4,12.2,2.5,1.7
2,MWG,2023-01-31,2023-01-31,25.2,2.8,16.9,12.3,2.5,1.7
3,MWG,2023-02-01,2023-02-01,25.5,2.8,16.8,12.1,2.5,1.6
4,MWG,2023-02-02,2023-02-02,27.0,3.0,17.6,12.2,2.6,1.6
5,MWG,2023-02-03,2023-02-03,25.9,2.9,17.8,12.2,2.5,1.6
6,MWG,2023-02-06,2023-02-06,25.5,2.9,17.7,12.3,2.5,1.6
7,MWG,2023-02-07,2023-02-07,24.7,2.8,17.4,12.1,2.5,1.6
8,MWG,2023-02-08,2023-02-08,24.1,2.7,17.1,12.1,2.4,1.6
9,MWG,2023-02-09,2023-02-09,23.8,2.7,16.9,12.1,2.4,1.6
10,MWG,2023-02-10,2023-02-10,22.8,2.5,16.4,12.0,2.3,1.6
11,MWG,2023-02-13,2023-02-13,23.0,2.6,16.4,11.9,2.3,1.6
12,MWG,2023-02-14,2023-02-14,23.0,2.6,16.4,11.9,2.3,1.6
13,MWG,2023-02-15,2023-02-15,23.1,2.6,16.6,12.0,2.3,1.6
14,MWG,2023-02-16,2023-02-16,23.4,2.6,16.7,12.1,2.4,1.6
15,MWG,2023-02-17,2023-02-17,23.4,2.6,16.8,12.1,2.4,1.6
16,MWG,2023-02-20,2023-02-20,24.0,2.7,17.1,12.3,2.4,1.6
17,MWG,2023-02-21,2023-02-21,24.1,2.7,17.2,12.3,2.4,1.6
18,MWG,2023-02-22,2023-02-22,23.3,2.6,16.8,12.0,2.4,1.6
19,MWG,2023-02-23,2023-02-23,23.3,2.6,16.8,12.0,2.4,1.6
20,MWG,2023-02-24,2023-02-24,22.8,2.5,16.4,11.8,2.3,1.6
21,MWG,2023-02-27,2023-02-27,21.9,2.5,15.8,11.6,2.2,1.5
22,MWG,2023-02-28,2023-02-28,21.6,2.4,15.6,11.6,2.2,1.5
23,MWG,2023-03-01,2023-03-01,22.1,2.5,15.9,11.8,2.3,1.6
24,MWG,2023-03-02,2023-03-02,21.8,2.4,15.8,11.8,2.2,1.6
25,MWG,2023-03-03,2023-03-03,21.3,2.4,15.5,11.7,2.2,1.5
26,MWG,2023-03-06,2023-03-06,21.3,2.4,15.5,11.8,2.2,1.5
