,ticker,fromDate,toDate,PE,PB,industryPE,vnindexPE,industryPB,vnindexPB
0,PAI,2023-01-27,2023-01-27,17.2,1.1,19.8,11.9,2.2,1.7
1,PAI,2023-01-30,2023-01-30,17.2,1.1,19.6,12.2,2.2,1.7
2,PAI,2023-01-31,2023-01-31,17.2,1.1,35.0,12.3,2.3,1.7
3,PAI,2023-02-01,2023-02-01,17.2,1.1,35.0,12.1,2.3,1.6
4,PAI,2023-02-02,2023-02-02,17.2,1.1,33.7,12.2,2.3,1.6
5,PAI,2023-02-03,2023-02-03,17.2,1.1,21.9,12.2,2.2,1.6
6,PAI,2023-02-06,2023-02-06,17.2,1.1,21.5,12.3,2.2,1.6
7,PAI,2023-02-07,2023-02-07,17.2,1.1,21.5,12.1,2.2,1.6
8,PAI,2023-02-08,2023-02-08,17.2,1.1,21.3,12.1,2.1,1.6
9,PAI,2023-02-09,2023-02-09,17.2,1.1,21.6,12.1,2.2,1.6
10,PAI,2023-02-10,2023-02-10,17.2,1.1,21.5,12.0,2.2,1.6
11,PAI,2023-02-13,2023-02-13,17.2,1.1,20.9,11.9,2.1,1.6
12,PAI,2023-02-14,2023-02-14,17.2,1.1,21.1,11.9,2.1,1.6
13,PAI,2023-02-15,2023-02-15,17.2,1.1,21.6,12.0,2.2,1.6
14,PAI,2023-02-16,2023-02-16,17.2,1.1,21.7,12.1,2.2,1.6
15,PAI,2023-02-17,2023-02-17,17.2,1.1,21.9,12.1,2.2,1.6
16,PAI,2023-02-20,2023-02-20,17.2,1.1,22.2,12.3,2.2,1.6
17,PAI,2023-02-21,2023-02-21,17.2,1.1,22.3,12.3,2.2,1.6
18,PAI,2023-02-22,2023-02-22,17.2,1.1,21.7,12.0,2.2,1.6
19,PAI,2023-02-23,2023-02-23,17.2,1.1,21.3,12.0,2.1,1.6
20,PAI,2023-02-24,2023-02-24,17.2,1.1,21.4,11.8,2.1,1.6
21,PAI,2023-02-27,2023-02-27,17.2,1.1,21.0,11.6,2.1,1.5
22,PAI,2023-02-28,2023-02-28,17.2,1.1,21.0,11.6,2.1,1.5
23,PAI,2023-03-01,2023-03-01,17.2,1.1,21.1,11.8,2.1,1.6
24,PAI,2023-03-02,2023-03-02,17.2,1.1,21.2,11.8,2.1,1.6
25,PAI,2023-03-03,2023-03-03,17.2,1.1,21.1,11.7,2.1,1.5
26,PAI,2023-03-06,2023-03-06,17.2,1.1,21.2,11.8,2.1,1.5
27,PAI,2023-03-07,2023-03-07,17.2,1.1,21.2,11.8,2.1,1.6
28,PAI,2023-03-08,2023-03-08,17.2,1.1,21.1,11.9,2.1,1.6
29,PAI,2023-03-09,2023-03-09,17.2,1.1,21.3,12.0,2.1,1.6
30,PAI,2023-03-10,2023-03-10,17.2,1.1,21.5,12.0,2.2,1.6
31,PAI,2023-03-13,2023-03-13,17.2,1.1,21.1,12.0,2.1,1.6
32,PAI,2023-03-14,2023-03-14,17.2,1.1,20.9,11.8,2.1,1.6
33,PAI,2023-03-15,2023-03-15,17.2,1.1,21.2,12.1,2.1,1.6
34,PAI,2023-03-16,2023-03-16,17.2,1.1,21.0,11.9,2.1,1.6
35,PAI,2023-03-17,2023-03-17,17.2,1.1,21.0,11.9,2.1,1.6
36,PAI,2023-03-20,2023-03-20,17.2,1.1,20.8,11.7,2.1,1.5
37,PAI,2023-03-21,2023-03-21,17.2,1.1,20.8,11.7,2.1,1.5
38,PAI,2023-03-22,2023-03-22,17.2,1.1,20.8,11.8,2.1,1.6
39,PAI,2023-03-23,2023-03-23,17.2,1.1,20.8,11.9,2.1,1.6
40,PAI,2023-03-24,2023-03-24,17.2,1.1,21.0,11.9,2.1,1.6
41,PAI,2023-03-27,2023-03-27,17.2,1.1,21.0,11.9,2.1,1.6
42,PAI,2023-03-28,2023-03-28,17.2,1.1,21.0,12.0,2.1,1.6
43,PAI,2023-03-29,2023-03-29,17.2,1.1,20.9,12.0,2.1,1.6
44,PAI,2023-03-30,2023-03-30,17.2,1.1,21.0,12.0,2.1,1.6
45,PAI,2023-03-31,2023-03-31,17.2,1.1,21.8,12.1,2.2,1.6
46,PAI,2023-04-03,2023-04-03,17.2,1.1,22.1,12.2,2.2,1.6
47,PAI,2023-04-04,2023-04-04,17.2,1.1,21.8,12.2,2.2,1.6
48,PAI,2023-04-05,2023-04-05,17.2,1.1,22.3,12.3,2.2,1.6
49,PAI,2023-04-06,2023-04-06,17.2,1.1,22.2,12.2,2.2,1.6
50,PAI,2023-04-07,2023-04-07,17.2,1.1,21.8,12.1,2.2,1.6
51,PAI,2023-04-10,2023-04-10,17.2,1.1,22.3,12.1,2.2,1.6
52,PAI,2023-04-11,2023-04-11,17.2,1.1,22.0,12.1,2.2,1.6
53,PAI,2023-04-12,2023-04-12,17.2,1.1,22.7,12.2,2.3,1.6
54,PAI,2023-04-13,2023-04-13,17.2,1.1,22.8,12.1,2.3,1.6
55,PAI,2023-04-14,2023-04-14,17.2,1.1,22.2,12.0,2.2,1.6
56,PAI,2023-04-17,2023-04-17,17.2,1.1,21.9,12.0,2.2,1.6
57,PAI,2023-04-18,2023-04-18,17.2,1.1,21.9,12.0,2.2,1.6
58,PAI,2023-04-19,2023-04-19,17.2,1.1,22.0,11.9,2.2,1.6
59,PAI,2023-04-20,2023-04-20,17.2,1.1,27.6,12.0,2.2,1.5
60,PAI,2023-04-21,2023-04-21,17.2,1.1,22.0,12.0,2.2,1.6
61,PAI,2023-04-24,2023-04-24,17.2,1.1,21.9,11.8,2.2,1.5
62,PAI,2023-04-25,2023-04-25,17.2,1.1,21.8,11.8,2.2,1.5
63,PAI,2023-04-26,2023-04-26,17.2,1.1,21.6,11.9,2.2,1.6
64,PAI,2023-04-27,2023-04-27,17.2,1.1,21.8,11.9,2.2,1.6
