,ticker,fromDate,toDate,PE,PB,industryPE,vnindexPE,industryPB,vnindexPB
0,PIA,2023-01-27,2023-01-27,6.9,1.3,19.8,11.9,2.2,1.7
1,PIA,2023-01-30,2023-01-30,6.9,1.3,19.6,12.2,2.2,1.7
2,PIA,2023-01-31,2023-01-31,6.9,1.3,35.0,12.3,2.3,1.7
3,PIA,2023-02-01,2023-02-01,6.9,1.3,35.0,12.1,2.3,1.6
4,PIA,2023-02-02,2023-02-02,6.9,1.3,33.7,12.2,2.3,1.6
5,PIA,2023-02-03,2023-02-03,6.9,1.3,21.9,12.2,2.2,1.6
6,PIA,2023-02-06,2023-02-06,6.9,1.3,21.5,12.3,2.2,1.6
7,PIA,2023-02-07,2023-02-07,6.9,1.3,21.5,12.1,2.2,1.6
8,PIA,2023-02-08,2023-02-08,6.9,1.3,21.3,12.1,2.1,1.6
9,PIA,2023-02-09,2023-02-09,6.9,1.3,21.6,12.1,2.2,1.6
10,PIA,2023-02-10,2023-02-10,6.9,1.3,21.5,12.0,2.2,1.6
11,PIA,2023-02-13,2023-02-13,6.9,1.3,20.9,11.9,2.1,1.6
12,PIA,2023-02-14,2023-02-14,7.6,1.4,21.1,11.9,2.1,1.6
13,PIA,2023-02-15,2023-02-15,8.3,1.5,21.6,12.0,2.2,1.6
14,PIA,2023-02-16,2023-02-16,8.8,1.6,21.7,12.1,2.2,1.6
15,PIA,2023-02-17,2023-02-17,7.9,1.4,21.9,12.1,2.2,1.6
16,PIA,2023-02-20,2023-02-20,7.2,1.3,22.2,12.3,2.2,1.6
17,PIA,2023-02-21,2023-02-21,7.2,1.3,22.3,12.3,2.2,1.6
18,PIA,2023-02-22,2023-02-22,7.2,1.3,21.7,12.0,2.2,1.6
19,PIA,2023-02-23,2023-02-23,7.2,1.3,21.3,12.0,2.1,1.6
20,PIA,2023-02-24,2023-02-24,7.2,1.3,21.4,11.8,2.1,1.6
21,PIA,2023-02-27,2023-02-27,7.2,1.3,21.0,11.6,2.1,1.5
22,PIA,2023-02-28,2023-02-28,7.8,1.4,21.0,11.6,2.1,1.5
23,PIA,2023-03-01,2023-03-01,8.4,1.5,21.1,11.8,2.1,1.6
24,PIA,2023-03-02,2023-03-02,7.6,1.4,21.2,11.8,2.1,1.6
25,PIA,2023-03-03,2023-03-03,7.6,1.4,21.1,11.7,2.1,1.5
26,PIA,2023-03-06,2023-03-06,7.1,1.3,21.2,11.8,2.1,1.5
27,PIA,2023-03-07,2023-03-07,7.7,1.4,21.2,11.8,2.1,1.6
28,PIA,2023-03-08,2023-03-08,7.7,1.4,21.1,11.9,2.1,1.6
29,PIA,2023-03-09,2023-03-09,7.1,1.3,21.3,12.0,2.1,1.6
30,PIA,2023-03-10,2023-03-10,7.1,1.3,21.5,12.0,2.2,1.6
31,PIA,2023-03-13,2023-03-13,7.1,1.3,21.1,12.0,2.1,1.6
32,PIA,2023-03-14,2023-03-14,7.1,1.3,20.9,11.8,2.1,1.6
33,PIA,2023-03-15,2023-03-15,7.1,1.3,21.2,12.1,2.1,1.6
34,PIA,2023-03-16,2023-03-16,7.1,1.3,21.0,11.9,2.1,1.6
35,PIA,2023-03-17,2023-03-17,7.1,1.3,21.0,11.9,2.1,1.6
36,PIA,2023-03-20,2023-03-20,7.1,1.3,20.8,11.7,2.1,1.5
37,PIA,2023-03-21,2023-03-21,7.1,1.3,20.8,11.7,2.1,1.5
38,PIA,2023-03-22,2023-03-22,7.1,1.3,20.8,11.8,2.1,1.6
39,PIA,2023-03-23,2023-03-23,7.1,1.3,20.8,11.9,2.1,1.6
40,PIA,2023-03-24,2023-03-24,7.1,1.3,21.0,11.9,2.1,1.6
41,PIA,2023-03-27,2023-03-27,7.1,1.3,21.0,11.9,2.1,1.6
42,PIA,2023-03-28,2023-03-28,7.5,1.4,21.0,12.0,2.1,1.6
43,PIA,2023-03-29,2023-03-29,7.5,1.4,20.9,12.0,2.1,1.6
44,PIA,2023-03-30,2023-03-30,7.5,1.4,21.0,12.0,2.1,1.6
45,PIA,2023-03-31,2023-03-31,7.5,1.4,21.8,12.1,2.2,1.6
46,PIA,2023-04-03,2023-04-03,6.9,1.5,22.1,12.2,2.2,1.6
