,ticker,fromDate,toDate,PE,PB,industryPE,vnindexPE,industryPB,vnindexPB
0,PLX,2023-01-27,2023-01-27,25.6,1.9,8.2,11.9,1.2,1.7
1,PLX,2023-01-30,2023-01-30,24.9,1.8,7.8,12.2,1.1,1.7
2,PLX,2023-01-31,2023-01-31,24.7,1.8,7.8,12.3,1.1,1.7
3,PLX,2023-02-01,2023-02-01,24.3,1.8,7.7,12.1,1.1,1.6
4,PLX,2023-02-02,2023-02-02,24.3,1.8,7.5,12.2,1.1,1.6
5,PLX,2023-02-03,2023-02-03,25.0,1.9,7.6,12.2,1.1,1.6
6,PLX,2023-02-06,2023-02-06,26.1,1.9,7.6,12.3,1.1,1.6
7,PLX,2023-02-07,2023-02-07,26.2,1.9,7.7,12.1,1.1,1.6
8,PLX,2023-02-08,2023-02-08,25.0,1.9,7.6,12.1,1.1,1.6
9,PLX,2023-02-09,2023-02-09,25.4,1.9,7.8,12.1,1.1,1.6
10,PLX,2023-02-10,2023-02-10,25.7,1.9,7.7,12.0,1.1,1.6
11,PLX,2023-02-13,2023-02-13,25.4,1.9,7.6,11.9,1.1,1.6
12,PLX,2023-02-14,2023-02-14,25.5,1.9,7.6,11.9,1.1,1.6
13,PLX,2023-02-15,2023-02-15,26.0,1.9,7.7,12.0,1.1,1.6
14,PLX,2023-02-16,2023-02-16,26.2,1.9,7.9,12.1,1.1,1.6
15,PLX,2023-02-17,2023-02-17,25.9,1.9,7.9,12.1,1.1,1.6
16,PLX,2023-02-20,2023-02-20,26.5,2.0,8.1,12.3,1.2,1.6
17,PLX,2023-02-21,2023-02-21,27.3,2.0,8.2,12.3,1.2,1.6
18,PLX,2023-02-22,2023-02-22,25.6,1.9,8.0,12.0,1.1,1.6
19,PLX,2023-02-23,2023-02-23,25.7,1.9,7.9,12.0,1.1,1.6
20,PLX,2023-02-24,2023-02-24,25.3,1.9,7.8,11.8,1.1,1.6
21,PLX,2023-02-27,2023-02-27,24.9,1.8,7.6,11.6,1.1,1.5
22,PLX,2023-02-28,2023-02-28,25.0,1.9,7.7,11.6,1.1,1.5
23,PLX,2023-03-01,2023-03-01,26.0,1.9,7.9,11.8,1.1,1.6
24,PLX,2023-03-02,2023-03-02,26.0,1.9,7.9,11.8,1.1,1.6
25,PLX,2023-03-03,2023-03-03,26.1,1.9,7.9,11.7,1.1,1.5
26,PLX,2023-03-06,2023-03-06,26.1,1.9,7.9,11.8,1.1,1.5
27,PLX,2023-03-07,2023-03-07,26.2,1.9,8.0,11.8,1.1,1.6
28,PLX,2023-03-08,2023-03-08,26.1,1.9,8.0,11.9,1.2,1.6
29,PLX,2023-03-09,2023-03-09,26.2,1.9,8.1,12.0,1.2,1.6
30,PLX,2023-03-10,2023-03-10,25.6,1.9,7.9,12.0,1.1,1.6
31,PLX,2023-03-13,2023-03-13,25.5,1.9,7.8,12.0,1.1,1.6
32,PLX,2023-03-14,2023-03-14,24.9,1.8,7.6,11.8,1.1,1.6
33,PLX,2023-03-15,2023-03-15,25.3,1.9,7.8,12.1,1.1,1.6
34,PLX,2023-03-16,2023-03-16,24.4,1.8,7.5,11.9,1.1,1.6
35,PLX,2023-03-17,2023-03-17,23.8,1.8,7.5,11.9,1.1,1.6
36,PLX,2023-03-20,2023-03-20,23.8,1.8,7.3,11.7,1.0,1.5
37,PLX,2023-03-21,2023-03-21,23.3,1.7,7.2,11.7,1.0,1.5
38,PLX,2023-03-22,2023-03-22,23.3,1.7,7.2,11.8,1.0,1.6
39,PLX,2023-03-23,2023-03-23,24.1,1.8,7.3,11.9,1.1,1.6
40,PLX,2023-03-24,2023-03-24,24.4,1.8,7.4,11.9,1.1,1.6
41,PLX,2023-03-27,2023-03-27,24.0,1.8,7.4,11.9,1.1,1.6
42,PLX,2023-03-28,2023-03-28,24.0,1.8,7.5,12.0,1.1,1.6
43,PLX,2023-03-29,2023-03-29,24.2,1.8,7.5,12.0,1.1,1.6
44,PLX,2023-03-30,2023-03-30,24.8,1.8,7.5,12.0,1.1,1.6
45,PLX,2023-03-31,2023-03-31,25.1,1.9,7.5,12.1,1.1,1.6
46,PLX,2023-04-03,2023-04-03,17.3,1.9,7.7,12.2,1.1,1.6
47,PLX,2023-04-04,2023-04-04,17.6,1.9,7.8,12.2,1.1,1.6
48,PLX,2023-04-05,2023-04-05,17.6,1.9,7.9,12.3,1.1,1.6
49,PLX,2023-04-06,2023-04-06,17.3,1.9,7.7,12.2,1.1,1.6
50,PLX,2023-04-07,2023-04-07,17.4,1.9,7.7,12.1,1.1,1.6
51,PLX,2023-04-10,2023-04-10,17.3,1.9,7.7,12.1,1.1,1.6
52,PLX,2023-04-11,2023-04-11,17.1,1.9,7.8,12.1,1.1,1.6
53,PLX,2023-04-12,2023-04-12,17.1,1.9,7.8,12.2,1.1,1.6
54,PLX,2023-04-13,2023-04-13,17.2,1.9,7.9,12.1,1.1,1.6
55,PLX,2023-04-14,2023-04-14,16.9,1.8,7.7,12.0,1.1,1.6
56,PLX,2023-04-17,2023-04-17,16.7,1.8,7.6,12.0,1.1,1.6
57,PLX,2023-04-18,2023-04-18,17.0,1.9,7.7,12.0,1.1,1.6
58,PLX,2023-04-19,2023-04-19,16.8,1.8,7.7,11.9,1.1,1.6
59,PLX,2023-04-20,2023-04-20,16.9,1.8,7.7,12.0,1.1,1.5
60,PLX,2023-04-21,2023-04-21,17.0,1.9,7.6,12.0,1.1,1.6
61,PLX,2023-04-24,2023-04-24,17.0,1.9,7.6,11.8,1.1,1.5
62,PLX,2023-04-25,2023-04-25,16.8,1.8,7.6,11.8,1.1,1.5
63,PLX,2023-04-26,2023-04-26,17.1,1.9,7.6,11.9,1.1,1.6
64,PLX,2023-04-27,2023-04-27,17.3,1.9,7.7,11.9,1.1,1.6
65,PLX,2023-04-28,2023-04-28,17.3,1.9,7.7,12.3,1.1,1.5
66,PLX,2023-05-04,2023-05-04,17.3,1.9,7.7,12.5,1.1,1.5
67,PLX,2023-05-05,2023-05-05,17.5,1.9,7.7,12.5,1.1,1.5
68,PLX,2023-05-08,2023-05-08,17.5,1.9,7.9,12.7,1.1,1.5
69,PLX,2023-05-09,2023-05-09,17.6,1.9,8.0,12.7,1.1,1.5
70,PLX,2023-05-10,2023-05-10,17.5,1.9,7.9,12.7,1.1,1.5
71,PLX,2023-05-11,2023-05-11,17.5,1.9,8.0,12.8,1.1,1.5
72,PLX,2023-05-12,2023-05-12,17.4,1.9,8.0,12.9,1.1,1.6
73,PLX,2023-05-15,2023-05-15,17.5,1.9,8.0,12.8,1.1,1.6
74,PLX,2023-05-16,2023-05-16,17.6,1.9,8.1,12.9,1.1,1.6
75,PLX,2023-05-17,2023-05-17,17.3,1.9,7.9,12.8,1.1,1.5
76,PLX,2023-05-18,2023-05-18,17.3,1.9,7.9,12.9,1.1,1.6
77,PLX,2023-05-19,2023-05-19,17.4,1.9,8.1,12.9,1.1,1.6
78,PLX,2023-05-22,2023-05-22,17.5,1.9,8.1,12.9,1.1,1.6
79,PLX,2023-05-23,2023-05-23,17.3,1.9,8.1,12.9,1.1,1.6
80,PLX,2023-05-24,2023-05-24,17.3,1.9,8.1,12.8,1.1,1.6
81,PLX,2023-05-25,2023-05-25,17.3,1.9,8.1,12.9,1.1,1.6
82,PLX,2023-05-26,2023-05-26,17.4,1.9,8.3,12.8,1.2,1.6
83,PLX,2023-05-29,2023-05-29,17.5,1.9,8.3,13.0,1.2,1.6
84,PLX,2023-05-30,2023-05-30,17.5,1.9,8.4,13.0,1.2,1.6
85,PLX,2023-05-31,2023-05-31,17.3,1.9,8.3,13.0,1.2,1.6
86,PLX,2023-06-01,2023-06-01,17.3,1.9,8.3,13.1,1.1,1.6
87,PLX,2023-06-02,2023-06-02,17.7,1.9,8.4,13.2,1.2,1.6
88,PLX,2023-06-05,2023-06-05,18.1,2.0,8.5,13.3,1.2,1.6
89,PLX,2023-06-06,2023-06-06,18.0,2.0,8.5,13.4,1.2,1.6
90,PLX,2023-06-07,2023-06-07,18.0,2.0,8.5,13.4,1.2,1.6
91,PLX,2023-06-08,2023-06-08,17.7,1.9,8.5,13.3,1.2,1.6
92,PLX,2023-06-09,2023-06-09,17.6,1.9,8.3,13.2,1.2,1.6
93,PLX,2023-06-12,2023-06-12,17.6,1.9,8.3,13.5,1.2,1.6
94,PLX,2023-06-13,2023-06-13,17.6,1.9,8.4,13.5,1.2,1.6
95,PLX,2023-06-14,2023-06-14,17.6,1.9,8.4,13.5,1.2,1.6
96,PLX,2023-06-15,2023-06-15,17.7,1.9,8.5,13.4,1.2,1.6
97,PLX,2023-06-16,2023-06-16,17.2,1.9,8.4,13.4,1.2,1.6
98,PLX,2023-06-19,2023-06-19,17.2,1.9,8.4,13.3,1.2,1.6
99,PLX,2023-06-20,2023-06-20,17.2,1.9,8.4,13.4,1.2,1.6
100,PLX,2023-06-21,2023-06-21,17.3,1.9,8.5,13.4,1.2,1.6
101,PLX,2023-06-22,2023-06-22,17.4,1.9,8.6,13.5,1.2,1.6
102,PLX,2023-06-23,2023-06-23,17.3,1.9,8.4,13.6,1.2,1.6
103,PLX,2023-06-26,2023-06-26,17.4,1.9,8.4,13.6,1.2,1.6
104,PLX,2023-06-27,2023-06-27,17.6,1.9,8.5,13.6,1.2,1.6
105,PLX,2023-06-28,2023-06-28,17.6,1.9,8.5,13.7,1.2,1.7
106,PLX,2023-06-29,2023-06-29,17.3,1.9,8.5,13.6,1.2,1.6
107,PLX,2023-06-30,2023-06-30,17.3,1.9,8.4,13.5,1.2,1.6
108,PLX,2023-07-03,2023-07-03,14.1,1.9,8.5,13.5,1.2,1.6
109,PLX,2023-07-04,2023-07-04,14.9,2.0,8.8,13.6,1.2,1.6
110,PLX,2023-07-05,2023-07-05,15.1,2.0,8.8,13.6,1.2,1.6
111,PLX,2023-07-06,2023-07-06,15.1,2.0,8.7,13.5,1.2,1.6
112,PLX,2023-07-07,2023-07-07,15.1,2.0,8.7,13.7,1.2,1.7
113,PLX,2023-07-10,2023-07-10,15.6,2.1,8.9,13.8,1.2,1.7
114,PLX,2023-07-11,2023-07-11,15.4,2.0,8.9,13.8,1.2,1.7
115,PLX,2023-07-12,2023-07-12,15.5,2.0,9.0,13.9,1.2,1.7
116,PLX,2023-07-13,2023-07-13,15.5,2.0,9.0,14.0,1.3,1.7
117,PLX,2023-07-14,2023-07-14,15.3,2.0,9.0,14.0,1.2,1.7
118,PLX,2023-07-17,2023-07-17,15.3,2.0,9.0,14.0,1.2,1.7
119,PLX,2023-07-18,2023-07-18,15.2,2.0,8.9,14.1,1.2,1.7
120,PLX,2023-07-19,2023-07-19,15.0,2.0,8.8,14.1,1.2,1.7
121,PLX,2023-07-20,2023-07-20,14.8,2.0,8.8,14.1,1.2,1.7
122,PLX,2023-07-21,2023-07-21,15.1,2.0,8.9,14.3,1.2,1.7
123,PLX,2023-07-24,2023-07-24,15.1,2.0,9.0,14.4,1.2,1.7
124,PLX,2023-07-25,2023-07-25,15.1,2.0,9.0,14.5,1.3,1.7
125,PLX,2023-07-26,2023-07-26,15.1,2.0,9.0,14.5,1.2,1.7
126,PLX,2023-07-27,2023-07-27,14.9,2.0,8.9,14.5,1.2,1.7
127,PLX,2023-07-28,2023-07-28,15.0,2.0,8.9,14.6,1.2,1.7
128,PLX,2023-07-31,2023-07-31,15.5,2.0,18.5,15.1,1.3,1.7
129,PLX,2023-08-01,2023-08-01,15.3,2.0,16.9,15.2,1.3,1.7
130,PLX,2023-08-02,2023-08-02,15.3,2.0,17.1,15.2,1.3,1.7
131,PLX,2023-08-03,2023-08-03,15.0,2.0,16.9,15.1,1.3,1.7
132,PLX,2023-08-04,2023-08-04,15.1,2.0,17.1,15.3,1.3,1.7
133,PLX,2023-08-07,2023-08-07,15.1,2.0,17.2,15.5,1.3,1.8
134,PLX,2023-08-08,2023-08-08,15.3,2.0,17.3,15.5,1.3,1.8
135,PLX,2023-08-09,2023-08-09,15.2,2.0,17.3,15.4,1.3,1.8
136,PLX,2023-08-10,2023-08-10,15.3,2.0,17.4,15.3,1.3,1.7
137,PLX,2023-08-11,2023-08-11,15.2,2.0,17.4,15.4,1.3,1.8
138,PLX,2023-08-14,2023-08-14,15.2,2.0,17.3,15.4,1.3,1.8
139,PLX,2023-08-15,2023-08-15,15.1,2.0,17.3,15.4,1.3,1.8
140,PLX,2023-08-16,2023-08-16,15.1,2.0,17.1,15.5,1.3,1.8
141,PLX,2023-08-17,2023-08-17,14.9,2.0,17.0,15.4,1.3,1.8
142,PLX,2023-08-18,2023-08-18,14.0,1.8,16.1,14.8,1.2,1.7
143,PLX,2023-08-21,2023-08-21,14.0,1.9,15.7,14.7,1.2,1.7
144,PLX,2023-08-22,2023-08-22,14.1,1.9,15.8,14.8,1.2,1.7
145,PLX,2023-08-23,2023-08-23,14.0,1.8,15.8,14.7,1.2,1.7
146,PLX,2023-08-24,2023-08-24,14.1,1.9,15.9,14.9,1.2,1.7
147,PLX,2023-08-25,2023-08-25,14.0,1.9,15.9,14.8,1.2,1.7
148,PLX,2023-08-28,2023-08-28,14.3,1.9,16.0,15.0,1.2,1.7
149,PLX,2023-08-29,2023-08-29,14.2,1.9,16.3,15.1,1.3,1.7
150,PLX,2023-08-30,2023-08-30,14.4,1.9,16.3,15.2,1.3,1.7
151,PLX,2023-08-31,2023-08-31,14.4,1.9,16.4,15.4,1.3,1.7
152,PLX,2023-09-05,2023-09-05,14.6,1.9,16.8,15.5,1.3,1.8
153,PLX,2023-09-06,2023-09-06,14.7,1.9,17.1,15.7,1.3,1.8
154,PLX,2023-09-07,2023-09-07,14.7,1.9,17.2,15.7,1.3,1.8
155,PLX,2023-09-08,2023-09-08,14.7,1.9,17.3,15.7,1.3,1.8
156,PLX,2023-09-11,2023-09-11,14.9,2.0,17.3,15.5,1.3,1.8
157,PLX,2023-09-12,2023-09-12,15.0,2.0,17.4,15.7,1.3,1.8
