,ticker,fromDate,toDate,PE,PB,industryPE,vnindexPE,industryPB,vnindexPB
0,POW,2023-01-27,2023-01-27,16.7,0.9,12.8,11.9,1.9,1.7
1,POW,2023-01-30,2023-01-30,16.9,0.9,12.3,12.2,1.9,1.7
2,POW,2023-01-31,2023-01-31,17.0,0.9,12.0,12.3,1.8,1.7
3,POW,2023-02-01,2023-02-01,16.4,0.9,12.0,12.1,1.8,1.6
4,POW,2023-02-02,2023-02-02,16.5,0.9,12.0,12.2,1.8,1.6
5,POW,2023-02-03,2023-02-03,16.7,0.9,11.8,12.2,1.8,1.6
6,POW,2023-02-06,2023-02-06,17.2,0.9,11.9,12.3,1.8,1.6
7,POW,2023-02-07,2023-02-07,16.7,0.9,11.9,12.1,1.8,1.6
8,POW,2023-02-08,2023-02-08,16.8,0.9,12.0,12.1,1.8,1.6
9,POW,2023-02-09,2023-02-09,16.5,0.9,12.0,12.1,1.8,1.6
10,POW,2023-02-10,2023-02-10,16.5,0.9,11.8,12.0,1.8,1.6
11,POW,2023-02-13,2023-02-13,16.1,0.9,11.7,11.9,1.8,1.6
12,POW,2023-02-14,2023-02-14,16.3,0.9,11.8,11.9,1.8,1.6
13,POW,2023-02-15,2023-02-15,16.5,0.9,11.9,12.0,1.8,1.6
14,POW,2023-02-16,2023-02-16,16.9,0.9,12.0,12.1,1.8,1.6
15,POW,2023-02-17,2023-02-17,17.0,0.9,11.9,12.1,1.8,1.6
16,POW,2023-02-20,2023-02-20,17.4,1.0,12.1,12.3,1.9,1.6
17,POW,2023-02-21,2023-02-21,17.1,0.9,12.0,12.3,1.8,1.6
18,POW,2023-02-22,2023-02-22,16.5,0.9,11.9,12.0,1.8,1.6
19,POW,2023-02-23,2023-02-23,16.7,0.9,11.8,12.0,1.8,1.6
20,POW,2023-02-24,2023-02-24,16.5,0.9,11.8,11.8,1.8,1.6
21,POW,2023-02-27,2023-02-27,16.5,0.9,11.6,11.6,1.8,1.5
22,POW,2023-02-28,2023-02-28,16.6,0.9,11.7,11.6,1.8,1.5
23,POW,2023-03-01,2023-03-01,16.9,0.9,11.7,11.8,1.8,1.6
24,POW,2023-03-02,2023-03-02,17.4,1.0,11.8,11.8,1.8,1.6
25,POW,2023-03-03,2023-03-03,16.9,0.9,11.8,11.7,1.8,1.5
26,POW,2023-03-06,2023-03-06,17.1,0.9,11.7,11.8,1.8,1.5
27,POW,2023-03-07,2023-03-07,17.2,0.9,11.7,11.8,1.8,1.6
28,POW,2023-03-08,2023-03-08,17.5,1.0,11.8,11.9,1.8,1.6
29,POW,2023-03-09,2023-03-09,17.8,1.0,11.8,12.0,1.8,1.6
30,POW,2023-03-10,2023-03-10,17.8,1.0,11.8,12.0,1.8,1.6
31,POW,2023-03-13,2023-03-13,18.0,1.0,11.9,12.0,1.8,1.6
32,POW,2023-03-14,2023-03-14,17.6,1.0,11.9,11.8,1.8,1.6
33,POW,2023-03-15,2023-03-15,18.5,1.0,11.9,12.1,1.8,1.6
34,POW,2023-03-16,2023-03-16,18.2,1.0,11.8,11.9,1.8,1.6
35,POW,2023-03-17,2023-03-17,18.4,1.0,11.7,11.9,1.8,1.6
36,POW,2023-03-20,2023-03-20,17.6,1.0,11.6,11.7,1.8,1.5
37,POW,2023-03-21,2023-03-21,18.1,1.0,11.7,11.7,1.8,1.5
38,POW,2023-03-22,2023-03-22,18.0,1.0,11.6,11.8,1.8,1.6
39,POW,2023-03-23,2023-03-23,18.1,1.0,11.6,11.9,1.8,1.6
40,POW,2023-03-24,2023-03-24,18.2,1.0,11.5,11.9,1.8,1.6
41,POW,2023-03-27,2023-03-27,18.3,1.0,11.5,11.9,1.8,1.6
42,POW,2023-03-28,2023-03-28,18.3,1.0,11.7,12.0,1.8,1.6
43,POW,2023-03-29,2023-03-29,18.3,1.0,11.6,12.0,1.8,1.6
44,POW,2023-03-30,2023-03-30,18.1,1.0,11.5,12.0,1.8,1.6
45,POW,2023-03-31,2023-03-31,18.1,1.0,11.6,12.1,1.8,1.6
46,POW,2023-04-03,2023-04-03,21.9,1.0,11.5,12.2,1.8,1.6
47,POW,2023-04-04,2023-04-04,22.4,1.0,11.6,12.2,1.8,1.6
48,POW,2023-04-05,2023-04-05,22.3,1.0,11.6,12.3,1.8,1.6
49,POW,2023-04-06,2023-04-06,21.8,1.0,11.5,12.2,1.8,1.6
50,POW,2023-04-07,2023-04-07,21.7,1.0,11.6,12.1,1.8,1.6
51,POW,2023-04-10,2023-04-10,22.2,1.0,11.4,12.1,1.8,1.6
