,ticker,fromDate,toDate,PE,PB,industryPE,vnindexPE,industryPB,vnindexPB
0,SAB,2023-01-27,2023-01-27,23.7,4.9,15.7,11.9,2.7,1.7
1,SAB,2023-01-30,2023-01-30,23.4,4.9,19.0,12.2,2.7,1.7
2,SAB,2023-01-31,2023-01-31,23.2,4.8,20.1,12.3,2.6,1.7
3,SAB,2023-02-01,2023-02-01,23.0,4.8,19.9,12.1,2.6,1.6
4,SAB,2023-02-02,2023-02-02,23.0,4.8,19.8,12.2,2.6,1.6
5,SAB,2023-02-03,2023-02-03,23.7,4.9,19.9,12.2,2.6,1.6
6,SAB,2023-02-06,2023-02-06,24.0,5.0,20.0,12.3,2.6,1.6
7,SAB,2023-02-07,2023-02-07,23.5,4.9,19.7,12.1,2.5,1.6
8,SAB,2023-02-08,2023-02-08,24.2,5.1,19.8,12.1,2.6,1.6
9,SAB,2023-02-09,2023-02-09,23.8,5.0,19.7,12.1,2.5,1.6
10,SAB,2023-02-10,2023-02-10,23.3,4.9,19.7,12.0,2.5,1.6
11,SAB,2023-02-13,2023-02-13,23.6,4.9,19.7,11.9,2.5,1.6
12,SAB,2023-02-14,2023-02-14,23.1,4.8,19.6,11.9,2.5,1.6
13,SAB,2023-02-15,2023-02-15,23.2,4.8,19.7,12.0,2.5,1.6
14,SAB,2023-02-16,2023-02-16,23.3,4.9,19.8,12.1,2.5,1.6
15,SAB,2023-02-17,2023-02-17,23.0,4.8,19.7,12.1,2.5,1.6
16,SAB,2023-02-20,2023-02-20,23.4,4.9,20.1,12.3,2.6,1.6
17,SAB,2023-02-21,2023-02-21,23.4,4.9,20.0,12.3,2.6,1.6
18,SAB,2023-02-22,2023-02-22,23.0,4.8,19.6,12.0,2.5,1.6
19,SAB,2023-02-23,2023-02-23,23.0,4.8,19.4,12.0,2.5,1.6
20,SAB,2023-02-24,2023-02-24,23.2,4.8,19.3,11.8,2.5,1.6
21,SAB,2023-02-27,2023-02-27,22.8,4.7,18.9,11.6,2.4,1.5
22,SAB,2023-02-28,2023-02-28,23.1,4.8,19.0,11.6,2.5,1.5
23,SAB,2023-03-01,2023-03-01,23.7,4.9,19.2,11.8,2.5,1.6
24,SAB,2023-03-02,2023-03-02,23.2,4.8,19.0,11.8,2.5,1.6
25,SAB,2023-03-03,2023-03-03,23.1,4.8,18.8,11.7,2.4,1.5
26,SAB,2023-03-06,2023-03-06,22.9,4.8,18.6,11.8,2.4,1.5
27,SAB,2023-03-07,2023-03-07,23.1,4.8,18.8,11.8,2.4,1.6
28,SAB,2023-03-08,2023-03-08,23.0,4.8,19.0,11.9,2.4,1.6
