,ticker,fromDate,toDate,PE,PB,industryPE,vnindexPE,industryPB,vnindexPB
0,SHB,2023-01-27,2023-01-27,4.3,0.7,8.9,11.9,1.6,1.7
1,SHB,2023-01-30,2023-01-30,4.2,0.7,8.6,12.2,1.5,1.7
2,SHB,2023-01-31,2023-01-31,4.2,0.7,8.6,12.3,1.6,1.7
3,SHB,2023-02-01,2023-02-01,4.1,0.7,8.3,12.1,1.5,1.6
4,SHB,2023-02-02,2023-02-02,4.0,0.7,8.3,12.2,1.5,1.6
5,SHB,2023-02-03,2023-02-03,4.0,0.7,8.3,12.2,1.5,1.6
6,SHB,2023-02-06,2023-02-06,4.0,0.7,8.5,12.3,1.5,1.6
7,SHB,2023-02-07,2023-02-07,3.9,0.7,8.3,12.1,1.5,1.6
8,SHB,2023-02-08,2023-02-08,3.9,0.7,8.4,12.1,1.5,1.6
9,SHB,2023-02-09,2023-02-09,3.9,0.7,8.4,12.1,1.5,1.6
10,SHB,2023-02-10,2023-02-10,3.9,0.7,8.2,12.0,1.5,1.6
11,SHB,2023-02-13,2023-02-13,3.8,0.7,8.2,11.9,1.5,1.6
12,SHB,2023-02-14,2023-02-14,3.8,0.7,8.1,11.9,1.5,1.6
13,SHB,2023-02-15,2023-02-15,3.8,0.7,8.2,12.0,1.5,1.6
14,SHB,2023-02-16,2023-02-16,3.9,0.7,8.3,12.1,1.5,1.6
15,SHB,2023-02-17,2023-02-17,3.9,0.7,8.3,12.1,1.5,1.6
16,SHB,2023-02-20,2023-02-20,4.0,0.7,8.5,12.3,1.5,1.6
17,SHB,2023-02-21,2023-02-21,4.0,0.7,8.5,12.3,1.5,1.6
18,SHB,2023-02-22,2023-02-22,3.9,0.7,8.3,12.0,1.5,1.6
19,SHB,2023-02-23,2023-02-23,3.9,0.7,8.3,12.0,1.5,1.6
20,SHB,2023-02-24,2023-02-24,3.8,0.7,8.2,11.8,1.5,1.6
21,SHB,2023-02-27,2023-02-27,3.8,0.7,8.1,11.6,1.5,1.5
22,SHB,2023-02-28,2023-02-28,3.8,0.7,8.1,11.6,1.5,1.5
23,SHB,2023-03-01,2023-03-01,3.8,0.7,8.3,11.8,1.5,1.6
24,SHB,2023-03-02,2023-03-02,3.8,0.7,8.3,11.8,1.5,1.6
25,SHB,2023-03-03,2023-03-03,3.7,0.7,8.1,11.7,1.5,1.5
26,SHB,2023-03-06,2023-03-06,3.8,0.7,8.2,11.8,1.5,1.5
27,SHB,2023-03-07,2023-03-07,3.8,0.7,8.3,11.8,1.5,1.6
28,SHB,2023-03-08,2023-03-08,3.8,0.7,8.4,11.9,1.5,1.6
29,SHB,2023-03-09,2023-03-09,3.9,0.7,8.4,12.0,1.5,1.6
30,SHB,2023-03-10,2023-03-10,3.9,0.7,8.4,12.0,1.5,1.6
31,SHB,2023-03-13,2023-03-13,3.8,0.7,8.3,12.0,1.5,1.6
32,SHB,2023-03-14,2023-03-14,3.8,0.7,8.2,11.8,1.5,1.6
33,SHB,2023-03-15,2023-03-15,3.9,0.7,8.4,12.1,1.5,1.6
34,SHB,2023-03-16,2023-03-16,3.9,0.7,8.3,11.9,1.5,1.6
35,SHB,2023-03-17,2023-03-17,3.9,0.7,8.2,11.9,1.5,1.6
36,SHB,2023-03-20,2023-03-20,3.8,0.7,8.0,11.7,1.5,1.5
37,SHB,2023-03-21,2023-03-21,3.9,0.7,8.1,11.7,1.5,1.5
38,SHB,2023-03-22,2023-03-22,3.9,0.7,8.2,11.8,1.5,1.6
39,SHB,2023-03-23,2023-03-23,4.0,0.7,8.3,11.9,1.5,1.6
40,SHB,2023-03-24,2023-03-24,4.0,0.7,8.3,11.9,1.5,1.6
41,SHB,2023-03-27,2023-03-27,4.1,0.7,8.3,11.9,1.5,1.6
42,SHB,2023-03-28,2023-03-28,4.2,0.7,8.4,12.0,1.5,1.6
43,SHB,2023-03-29,2023-03-29,4.1,0.7,8.4,12.0,1.5,1.6
44,SHB,2023-03-30,2023-03-30,4.1,0.7,8.4,12.0,1.5,1.6
45,SHB,2023-03-31,2023-03-31,4.1,0.7,8.5,12.1,1.5,1.6
46,SHB,2023-04-03,2023-04-03,4.3,0.7,8.6,12.2,1.5,1.6
47,SHB,2023-04-04,2023-04-04,4.5,0.7,8.6,12.2,1.5,1.6
48,SHB,2023-04-05,2023-04-05,4.5,0.7,8.6,12.3,1.5,1.6
49,SHB,2023-04-06,2023-04-06,4.4,0.7,8.5,12.2,1.5,1.6
50,SHB,2023-04-07,2023-04-07,4.5,0.7,8.5,12.1,1.5,1.6
51,SHB,2023-04-10,2023-04-10,4.7,0.8,8.4,12.1,1.5,1.6
52,SHB,2023-04-11,2023-04-11,4.6,0.8,8.4,12.1,1.5,1.6
53,SHB,2023-04-12,2023-04-12,4.7,0.8,8.4,12.2,1.5,1.6
54,SHB,2023-04-13,2023-04-13,4.7,0.8,8.4,12.1,1.5,1.6
55,SHB,2023-04-14,2023-04-14,4.6,0.8,8.4,12.0,1.5,1.6
56,SHB,2023-04-17,2023-04-17,4.6,0.8,8.4,12.0,1.5,1.6
57,SHB,2023-04-18,2023-04-18,4.5,0.7,8.3,12.0,1.5,1.6
58,SHB,2023-04-19,2023-04-19,4.4,0.7,8.3,11.9,1.5,1.6
59,SHB,2023-04-20,2023-04-20,4.4,0.7,8.3,12.0,1.4,1.5
60,SHB,2023-04-21,2023-04-21,4.3,0.7,8.2,12.0,1.5,1.6
