,ticker,fromDate,toDate,PE,PB,industryPE,vnindexPE,industryPB,vnindexPB
0,SSB,2023-01-27,2023-01-27,18.3,2.6,8.9,11.9,1.6,1.7
1,SSB,2023-01-30,2023-01-30,18.2,2.6,8.6,12.2,1.5,1.7
2,SSB,2023-01-31,2023-01-31,18.2,2.6,8.6,12.3,1.6,1.7
3,SSB,2023-02-01,2023-02-01,18.0,2.6,8.3,12.1,1.5,1.6
4,SSB,2023-02-02,2023-02-02,18.0,2.6,8.3,12.2,1.5,1.6
5,SSB,2023-02-03,2023-02-03,17.1,2.4,8.3,12.2,1.5,1.6
6,SSB,2023-02-06,2023-02-06,17.1,2.4,8.5,12.3,1.5,1.6
7,SSB,2023-02-07,2023-02-07,17.2,2.4,8.3,12.1,1.5,1.6
8,SSB,2023-02-08,2023-02-08,17.2,2.5,8.4,12.1,1.5,1.6
9,SSB,2023-02-09,2023-02-09,17.2,2.5,8.4,12.1,1.5,1.6
10,SSB,2023-02-10,2023-02-10,17.2,2.4,8.2,12.0,1.5,1.6
11,SSB,2023-02-13,2023-02-13,17.1,2.4,8.2,11.9,1.5,1.6
12,SSB,2023-02-14,2023-02-14,17.1,2.4,8.1,11.9,1.5,1.6
13,SSB,2023-02-15,2023-02-15,17.1,2.4,8.2,12.0,1.5,1.6
14,SSB,2023-02-16,2023-02-16,17.2,2.4,8.3,12.1,1.5,1.6
15,SSB,2023-02-17,2023-02-17,17.2,2.4,8.3,12.1,1.5,1.6
16,SSB,2023-02-20,2023-02-20,17.4,2.5,8.5,12.3,1.5,1.6
17,SSB,2023-02-21,2023-02-21,17.3,2.5,8.5,12.3,1.5,1.6
18,SSB,2023-02-22,2023-02-22,17.2,2.4,8.3,12.0,1.5,1.6
19,SSB,2023-02-23,2023-02-23,17.1,2.4,8.3,12.0,1.5,1.6
20,SSB,2023-02-24,2023-02-24,17.0,2.4,8.2,11.8,1.5,1.6
21,SSB,2023-02-27,2023-02-27,16.9,2.4,8.1,11.6,1.5,1.5
22,SSB,2023-02-28,2023-02-28,17.1,2.4,8.1,11.6,1.5,1.5
23,SSB,2023-03-01,2023-03-01,17.2,2.5,8.3,11.8,1.5,1.6
24,SSB,2023-03-02,2023-03-02,17.2,2.5,8.3,11.8,1.5,1.6
25,SSB,2023-03-03,2023-03-03,17.2,2.4,8.1,11.7,1.5,1.5
26,SSB,2023-03-06,2023-03-06,17.3,2.5,8.2,11.8,1.5,1.5
27,SSB,2023-03-07,2023-03-07,17.4,2.5,8.3,11.8,1.5,1.6
28,SSB,2023-03-08,2023-03-08,17.5,2.5,8.4,11.9,1.5,1.6
29,SSB,2023-03-09,2023-03-09,17.5,2.5,8.4,12.0,1.5,1.6
30,SSB,2023-03-10,2023-03-10,17.4,2.5,8.4,12.0,1.5,1.6
31,SSB,2023-03-13,2023-03-13,17.4,2.5,8.3,12.0,1.5,1.6
32,SSB,2023-03-14,2023-03-14,17.4,2.5,8.2,11.8,1.5,1.6
33,SSB,2023-03-15,2023-03-15,17.5,2.5,8.4,12.1,1.5,1.6
34,SSB,2023-03-16,2023-03-16,17.3,2.5,8.3,11.9,1.5,1.6
35,SSB,2023-03-17,2023-03-17,17.3,2.5,8.2,11.9,1.5,1.6
36,SSB,2023-03-20,2023-03-20,17.3,2.5,8.0,11.7,1.5,1.5
37,SSB,2023-03-21,2023-03-21,17.3,2.5,8.1,11.7,1.5,1.5
