,ticker,fromDate,toDate,PE,PB,industryPE,vnindexPE,industryPB,vnindexPB
0,TCB,2023-01-27,2023-01-27,5.3,0.9,8.9,11.9,1.6,1.7
1,TCB,2023-01-30,2023-01-30,5.3,0.9,8.6,12.2,1.5,1.7
2,TCB,2023-01-31,2023-01-31,5.4,0.9,8.6,12.3,1.6,1.7
3,TCB,2023-02-01,2023-02-01,5.2,0.8,8.3,12.1,1.5,1.6
4,TCB,2023-02-02,2023-02-02,5.2,0.8,8.3,12.2,1.5,1.6
5,TCB,2023-02-03,2023-02-03,5.0,0.8,8.3,12.2,1.5,1.6
6,TCB,2023-02-06,2023-02-06,5.1,0.8,8.5,12.3,1.5,1.6
7,TCB,2023-02-07,2023-02-07,5.0,0.8,8.3,12.1,1.5,1.6
8,TCB,2023-02-08,2023-02-08,5.1,0.8,8.4,12.1,1.5,1.6
9,TCB,2023-02-09,2023-02-09,5.0,0.8,8.4,12.1,1.5,1.6
10,TCB,2023-02-10,2023-02-10,5.0,0.8,8.2,12.0,1.5,1.6
11,TCB,2023-02-13,2023-02-13,4.9,0.8,8.2,11.9,1.5,1.6
12,TCB,2023-02-14,2023-02-14,4.9,0.8,8.1,11.9,1.5,1.6
13,TCB,2023-02-15,2023-02-15,5.0,0.8,8.2,12.0,1.5,1.6
14,TCB,2023-02-16,2023-02-16,5.1,0.8,8.3,12.1,1.5,1.6
15,TCB,2023-02-17,2023-02-17,5.1,0.8,8.3,12.1,1.5,1.6
16,TCB,2023-02-20,2023-02-20,5.3,0.9,8.5,12.3,1.5,1.6
17,TCB,2023-02-21,2023-02-21,5.2,0.8,8.5,12.3,1.5,1.6
18,TCB,2023-02-22,2023-02-22,5.1,0.8,8.3,12.0,1.5,1.6
19,TCB,2023-02-23,2023-02-23,5.1,0.8,8.3,12.0,1.5,1.6
20,TCB,2023-02-24,2023-02-24,5.0,0.8,8.2,11.8,1.5,1.6
21,TCB,2023-02-27,2023-02-27,5.0,0.8,8.1,11.6,1.5,1.5
22,TCB,2023-02-28,2023-02-28,4.9,0.8,8.1,11.6,1.5,1.5
23,TCB,2023-03-01,2023-03-01,5.0,0.8,8.3,11.8,1.5,1.6
24,TCB,2023-03-02,2023-03-02,5.0,0.8,8.3,11.8,1.5,1.6
25,TCB,2023-03-03,2023-03-03,4.9,0.8,8.1,11.7,1.5,1.5
26,TCB,2023-03-06,2023-03-06,5.0,0.8,8.2,11.8,1.5,1.5
27,TCB,2023-03-07,2023-03-07,5.0,0.8,8.3,11.8,1.5,1.6
28,TCB,2023-03-08,2023-03-08,5.0,0.8,8.4,11.9,1.5,1.6
29,TCB,2023-03-09,2023-03-09,5.1,0.8,8.4,12.0,1.5,1.6
30,TCB,2023-03-10,2023-03-10,5.0,0.8,8.4,12.0,1.5,1.6
31,TCB,2023-03-13,2023-03-13,4.9,0.8,8.3,12.0,1.5,1.6
32,TCB,2023-03-14,2023-03-14,4.8,0.8,8.2,11.8,1.5,1.6
33,TCB,2023-03-15,2023-03-15,5.0,0.8,8.4,12.1,1.5,1.6
34,TCB,2023-03-16,2023-03-16,4.9,0.8,8.3,11.9,1.5,1.6
35,TCB,2023-03-17,2023-03-17,4.9,0.8,8.2,11.9,1.5,1.6
36,TCB,2023-03-20,2023-03-20,4.8,0.8,8.0,11.7,1.5,1.5
37,TCB,2023-03-21,2023-03-21,4.8,0.8,8.1,11.7,1.5,1.5
38,TCB,2023-03-22,2023-03-22,4.8,0.8,8.2,11.8,1.5,1.6
39,TCB,2023-03-23,2023-03-23,4.8,0.8,8.3,11.9,1.5,1.6
40,TCB,2023-03-24,2023-03-24,4.9,0.8,8.3,11.9,1.5,1.6
41,TCB,2023-03-27,2023-03-27,4.9,0.8,8.3,11.9,1.5,1.6
42,TCB,2023-03-28,2023-03-28,5.1,0.8,8.4,12.0,1.5,1.6
43,TCB,2023-03-29,2023-03-29,5.2,0.8,8.4,12.0,1.5,1.6
44,TCB,2023-03-30,2023-03-30,5.1,0.8,8.4,12.0,1.5,1.6
45,TCB,2023-03-31,2023-03-31,5.2,0.8,8.5,12.1,1.5,1.6
