,ticker,fromDate,toDate,PE,PB,industryPE,vnindexPE,industryPB,vnindexPB
0,TPB,2023-01-27,2023-01-27,5.5,1.0,8.9,11.9,1.6,1.7
1,TPB,2023-01-30,2023-01-30,5.3,1.0,8.6,12.2,1.5,1.7
2,TPB,2023-01-31,2023-01-31,5.6,1.1,8.6,12.3,1.6,1.7
3,TPB,2023-02-01,2023-02-01,5.3,1.0,8.3,12.1,1.5,1.6
4,TPB,2023-02-02,2023-02-02,5.3,1.0,8.3,12.2,1.5,1.6
5,TPB,2023-02-03,2023-02-03,5.4,1.0,8.3,12.2,1.5,1.6
6,TPB,2023-02-06,2023-02-06,5.4,1.0,8.5,12.3,1.5,1.6
7,TPB,2023-02-07,2023-02-07,5.5,1.0,8.3,12.1,1.5,1.6
8,TPB,2023-02-08,2023-02-08,5.5,1.0,8.4,12.1,1.5,1.6
9,TPB,2023-02-09,2023-02-09,5.4,1.0,8.4,12.1,1.5,1.6
10,TPB,2023-02-10,2023-02-10,5.3,1.0,8.2,12.0,1.5,1.6
11,TPB,2023-02-13,2023-02-13,5.1,1.0,8.2,11.9,1.5,1.6
12,TPB,2023-02-14,2023-02-14,5.3,1.0,8.1,11.9,1.5,1.6
13,TPB,2023-02-15,2023-02-15,5.3,1.0,8.2,12.0,1.5,1.6
14,TPB,2023-02-16,2023-02-16,5.4,1.0,8.3,12.1,1.5,1.6
15,TPB,2023-02-17,2023-02-17,5.3,1.0,8.3,12.1,1.5,1.6
16,TPB,2023-02-20,2023-02-20,5.5,1.0,8.5,12.3,1.5,1.6
17,TPB,2023-02-21,2023-02-21,5.5,1.1,8.5,12.3,1.5,1.6
18,TPB,2023-02-22,2023-02-22,5.3,1.0,8.3,12.0,1.5,1.6
19,TPB,2023-02-23,2023-02-23,5.4,1.0,8.3,12.0,1.5,1.6
20,TPB,2023-02-24,2023-02-24,5.3,1.0,8.2,11.8,1.5,1.6
21,TPB,2023-02-27,2023-02-27,5.2,1.0,8.1,11.6,1.5,1.5
22,TPB,2023-02-28,2023-02-28,5.2,1.0,8.1,11.6,1.5,1.5
23,TPB,2023-03-01,2023-03-01,5.4,1.0,8.3,11.8,1.5,1.6
24,TPB,2023-03-02,2023-03-02,5.3,1.0,8.3,11.8,1.5,1.6
25,TPB,2023-03-03,2023-03-03,5.2,1.0,8.1,11.7,1.5,1.5
26,TPB,2023-03-06,2023-03-06,5.2,1.0,8.2,11.8,1.5,1.5
27,TPB,2023-03-07,2023-03-07,5.3,1.0,8.3,11.8,1.5,1.6
28,TPB,2023-03-08,2023-03-08,5.4,1.0,8.4,11.9,1.5,1.6
29,TPB,2023-03-09,2023-03-09,5.5,1.0,8.4,12.0,1.5,1.6
30,TPB,2023-03-10,2023-03-10,5.4,1.0,8.4,12.0,1.5,1.6
31,TPB,2023-03-13,2023-03-13,5.4,1.0,8.3,12.0,1.5,1.6
32,TPB,2023-03-14,2023-03-14,5.4,1.0,8.2,11.8,1.5,1.6
33,TPB,2023-03-15,2023-03-15,5.5,1.0,8.4,12.1,1.5,1.6
34,TPB,2023-03-16,2023-03-16,5.5,1.0,8.3,11.9,1.5,1.6
35,TPB,2023-03-17,2023-03-17,5.7,1.1,8.2,11.9,1.5,1.6
36,TPB,2023-03-20,2023-03-20,5.4,1.0,8.0,11.7,1.5,1.5
37,TPB,2023-03-21,2023-03-21,5.4,1.0,8.1,11.7,1.5,1.5
38,TPB,2023-03-22,2023-03-22,5.4,1.0,8.2,11.8,1.5,1.6
39,TPB,2023-03-23,2023-03-23,5.5,1.0,8.3,11.9,1.5,1.6
40,TPB,2023-03-24,2023-03-24,5.5,1.0,8.3,11.9,1.5,1.6
41,TPB,2023-03-27,2023-03-27,5.4,1.0,8.3,11.9,1.5,1.6
42,TPB,2023-03-28,2023-03-28,5.4,1.0,8.4,12.0,1.5,1.6
43,TPB,2023-03-29,2023-03-29,5.4,1.0,8.4,12.0,1.5,1.6
44,TPB,2023-03-30,2023-03-30,5.5,1.0,8.4,12.0,1.5,1.6
45,TPB,2023-03-31,2023-03-31,5.5,1.0,8.5,12.1,1.5,1.6
46,TPB,2023-04-03,2023-04-03,6.1,1.2,8.6,12.2,1.5,1.6
47,TPB,2023-04-04,2023-04-04,6.0,1.2,8.6,12.2,1.5,1.6
48,TPB,2023-04-05,2023-04-05,6.0,1.2,8.6,12.3,1.5,1.6
49,TPB,2023-04-06,2023-04-06,6.2,1.2,8.5,12.2,1.5,1.6
50,TPB,2023-04-07,2023-04-07,6.2,1.2,8.5,12.1,1.5,1.6
51,TPB,2023-04-10,2023-04-10,6.2,1.2,8.4,12.1,1.5,1.6
52,TPB,2023-04-11,2023-04-11,6.2,1.2,8.4,12.1,1.5,1.6
53,TPB,2023-04-12,2023-04-12,6.2,1.2,8.4,12.2,1.5,1.6
54,TPB,2023-04-13,2023-04-13,6.2,1.2,8.4,12.1,1.5,1.6
55,TPB,2023-04-14,2023-04-14,6.2,1.2,8.4,12.0,1.5,1.6
56,TPB,2023-04-17,2023-04-17,6.1,1.2,8.4,12.0,1.5,1.6
57,TPB,2023-04-18,2023-04-18,6.1,1.2,8.3,12.0,1.5,1.6
58,TPB,2023-04-19,2023-04-19,6.0,1.1,8.3,11.9,1.5,1.6
59,TPB,2023-04-20,2023-04-20,6.0,1.1,8.3,12.0,1.4,1.5
60,TPB,2023-04-21,2023-04-21,6.0,1.2,8.2,12.0,1.5,1.6
61,TPB,2023-04-24,2023-04-24,6.1,1.2,8.2,11.8,1.5,1.5
62,TPB,2023-04-25,2023-04-25,6.1,1.2,8.2,11.8,1.5,1.5
63,TPB,2023-04-26,2023-04-26,6.1,1.2,8.3,11.9,1.5,1.6
64,TPB,2023-04-27,2023-04-27,6.1,1.2,8.3,11.9,1.5,1.6
65,TPB,2023-04-28,2023-04-28,6.3,1.2,8.2,12.3,1.5,1.5
66,TPB,2023-05-04,2023-05-04,6.3,1.2,8.3,12.5,1.4,1.5
67,TPB,2023-05-05,2023-05-05,6.2,1.2,8.3,12.5,1.4,1.5
68,TPB,2023-05-08,2023-05-08,6.2,1.2,8.4,12.7,1.4,1.5
69,TPB,2023-05-09,2023-05-09,6.3,1.2,8.4,12.7,1.4,1.5
70,TPB,2023-05-10,2023-05-10,6.3,1.2,8.4,12.7,1.5,1.5
71,TPB,2023-05-11,2023-05-11,6.3,1.2,8.4,12.8,1.4,1.5
72,TPB,2023-05-12,2023-05-12,6.3,1.2,8.5,12.9,1.5,1.6
73,TPB,2023-05-15,2023-05-15,6.4,1.2,8.5,12.8,1.5,1.6
74,TPB,2023-05-16,2023-05-16,6.4,1.2,8.5,12.9,1.5,1.6
75,TPB,2023-05-17,2023-05-17,6.2,1.2,8.4,12.8,1.4,1.5
76,TPB,2023-05-18,2023-05-18,6.2,1.2,8.5,12.9,1.5,1.6
77,TPB,2023-05-19,2023-05-19,6.2,1.2,8.5,12.9,1.5,1.6
78,TPB,2023-05-22,2023-05-22,6.3,1.2,8.5,12.9,1.5,1.6
79,TPB,2023-05-23,2023-05-23,6.3,1.2,8.5,12.9,1.5,1.6
80,TPB,2023-05-24,2023-05-24,6.3,1.2,8.4,12.8,1.4,1.6
81,TPB,2023-05-25,2023-05-25,6.2,1.2,8.4,12.9,1.4,1.6
82,TPB,2023-05-26,2023-05-26,6.3,1.2,8.4,12.8,1.4,1.6
83,TPB,2023-05-29,2023-05-29,6.5,1.2,8.5,13.0,1.5,1.6
84,TPB,2023-05-30,2023-05-30,6.4,1.2,8.5,13.0,1.5,1.6
85,TPB,2023-05-31,2023-05-31,6.7,1.3,8.4,13.0,1.5,1.6
86,TPB,2023-06-01,2023-06-01,7.0,1.3,8.5,13.1,1.5,1.6
87,TPB,2023-06-02,2023-06-02,7.0,1.3,8.8,13.2,1.5,1.6
88,TPB,2023-06-05,2023-06-05,7.0,1.3,8.8,13.3,1.5,1.6
89,TPB,2023-06-06,2023-06-06,6.9,1.3,8.9,13.4,1.5,1.6
90,TPB,2023-06-07,2023-06-07,7.0,1.3,8.9,13.4,1.5,1.6
91,TPB,2023-06-08,2023-06-08,6.8,1.3,8.8,13.3,1.5,1.6
92,TPB,2023-06-09,2023-06-09,6.9,1.3,8.8,13.2,1.5,1.6
93,TPB,2023-06-12,2023-06-12,6.8,1.3,8.9,13.5,1.5,1.6
94,TPB,2023-06-13,2023-06-13,6.7,1.3,8.9,13.5,1.5,1.6
95,TPB,2023-06-14,2023-06-14,6.7,1.3,8.9,13.5,1.5,1.6
96,TPB,2023-06-15,2023-06-15,6.7,1.3,8.9,13.4,1.5,1.6
97,TPB,2023-06-16,2023-06-16,6.7,1.3,9.0,13.4,1.5,1.6
98,TPB,2023-06-19,2023-06-19,6.8,1.3,8.9,13.3,1.5,1.6
99,TPB,2023-06-20,2023-06-20,6.8,1.3,8.8,13.4,1.5,1.6
100,TPB,2023-06-21,2023-06-21,6.8,1.3,8.8,13.4,1.5,1.6
101,TPB,2023-06-22,2023-06-22,6.8,1.3,8.9,13.5,1.5,1.6
102,TPB,2023-06-23,2023-06-23,6.9,1.3,9.0,13.6,1.5,1.6
103,TPB,2023-06-26,2023-06-26,6.8,1.3,9.0,13.6,1.5,1.6
104,TPB,2023-06-27,2023-06-27,6.8,1.3,9.0,13.6,1.5,1.6
105,TPB,2023-06-28,2023-06-28,6.8,1.3,9.1,13.7,1.6,1.7
106,TPB,2023-06-29,2023-06-29,6.7,1.3,9.0,13.6,1.5,1.6
107,TPB,2023-06-30,2023-06-30,6.7,1.3,8.9,13.5,1.5,1.6
108,TPB,2023-07-03,2023-07-03,7.3,1.2,8.9,13.5,1.5,1.6
109,TPB,2023-07-04,2023-07-04,7.3,1.2,8.9,13.6,1.5,1.6
110,TPB,2023-07-05,2023-07-05,7.3,1.2,9.0,13.6,1.5,1.6
111,TPB,2023-07-06,2023-07-06,7.3,1.2,8.9,13.5,1.5,1.6
112,TPB,2023-07-07,2023-07-07,7.2,1.2,9.1,13.7,1.6,1.7
113,TPB,2023-07-10,2023-07-10,7.3,1.2,9.1,13.8,1.6,1.7
114,TPB,2023-07-11,2023-07-11,7.3,1.2,9.2,13.8,1.6,1.7
115,TPB,2023-07-12,2023-07-12,7.3,1.2,9.2,13.9,1.6,1.7
116,TPB,2023-07-13,2023-07-13,7.3,1.2,9.1,14.0,1.6,1.7
117,TPB,2023-07-14,2023-07-14,7.3,1.2,9.2,14.0,1.6,1.7
118,TPB,2023-07-17,2023-07-17,7.3,1.2,9.2,14.0,1.6,1.7
119,TPB,2023-07-18,2023-07-18,7.6,1.3,9.2,14.1,1.6,1.7
120,TPB,2023-07-19,2023-07-19,7.5,1.3,9.3,14.1,1.6,1.7
121,TPB,2023-07-20,2023-07-20,7.5,1.3,9.3,14.1,1.6,1.7
122,TPB,2023-07-21,2023-07-21,7.5,1.3,9.4,14.3,1.6,1.7
123,TPB,2023-07-24,2023-07-24,7.5,1.3,9.4,14.4,1.6,1.7
124,TPB,2023-07-25,2023-07-25,7.6,1.3,9.6,14.5,1.6,1.7
125,TPB,2023-07-26,2023-07-26,7.5,1.3,9.7,14.5,1.6,1.7
126,TPB,2023-07-27,2023-07-27,7.4,1.3,9.6,14.5,1.6,1.7
127,TPB,2023-07-28,2023-07-28,7.5,1.3,9.5,14.6,1.6,1.7
128,TPB,2023-07-31,2023-07-31,7.5,1.3,9.5,15.1,1.6,1.7
129,TPB,2023-08-01,2023-08-01,7.5,1.3,9.6,15.2,1.6,1.7
130,TPB,2023-08-02,2023-08-02,7.6,1.3,9.6,15.2,1.6,1.7
131,TPB,2023-08-03,2023-08-03,7.4,1.3,9.6,15.1,1.6,1.7
132,TPB,2023-08-04,2023-08-04,7.6,1.3,9.6,15.3,1.6,1.7
133,TPB,2023-08-07,2023-08-07,7.7,1.3,9.8,15.5,1.6,1.8
134,TPB,2023-08-08,2023-08-08,7.6,1.3,9.7,15.5,1.6,1.8
135,TPB,2023-08-09,2023-08-09,7.6,1.3,9.7,15.4,1.6,1.8
136,TPB,2023-08-10,2023-08-10,7.4,1.3,9.5,15.3,1.6,1.7
137,TPB,2023-08-11,2023-08-11,7.5,1.3,9.6,15.4,1.6,1.8
138,TPB,2023-08-14,2023-08-14,7.5,1.3,9.6,15.4,1.6,1.8
139,TPB,2023-08-15,2023-08-15,7.6,1.3,9.6,15.4,1.6,1.8
140,TPB,2023-08-16,2023-08-16,7.7,1.3,9.7,15.5,1.6,1.8
141,TPB,2023-08-17,2023-08-17,7.6,1.3,9.6,15.4,1.6,1.8
142,TPB,2023-08-18,2023-08-18,7.3,1.2,9.2,14.8,1.5,1.7
143,TPB,2023-08-21,2023-08-21,7.4,1.3,9.3,14.7,1.6,1.7
144,TPB,2023-08-22,2023-08-22,7.4,1.3,9.4,14.8,1.6,1.7
145,TPB,2023-08-23,2023-08-23,7.4,1.3,9.3,14.7,1.5,1.7
146,TPB,2023-08-24,2023-08-24,7.5,1.3,9.3,14.9,1.6,1.7
147,TPB,2023-08-25,2023-08-25,7.6,1.3,9.3,14.8,1.5,1.7
148,TPB,2023-08-28,2023-08-28,7.6,1.3,9.3,15.0,1.6,1.7
149,TPB,2023-08-29,2023-08-29,7.6,1.3,9.4,15.1,1.6,1.7
150,TPB,2023-08-30,2023-08-30,7.8,1.3,9.5,15.2,1.6,1.7
151,TPB,2023-08-31,2023-08-31,7.9,1.3,9.6,15.4,1.6,1.7
152,TPB,2023-09-05,2023-09-05,7.9,1.3,9.7,15.5,1.6,1.8
153,TPB,2023-09-06,2023-09-06,7.9,1.3,9.7,15.7,1.6,1.8
154,TPB,2023-09-07,2023-09-07,7.9,1.3,9.7,15.7,1.6,1.8
155,TPB,2023-09-08,2023-09-08,7.8,1.3,9.7,15.7,1.6,1.8
156,TPB,2023-09-11,2023-09-11,7.6,1.3,9.6,15.5,1.6,1.8
157,TPB,2023-09-12,2023-09-12,7.7,1.3,9.7,15.7,1.6,1.8
158,TPB,2023-09-13,2023-09-13,7.7,1.3,9.7,15.5,1.6,1.8
159,TPB,2023-09-14,2023-09-14,7.6,1.3,9.7,15.5,1.6,1.8
160,TPB,2023-09-15,2023-09-15,7.7,1.3,9.7,15.5,1.6,1.8
161,TPB,2023-09-18,2023-09-18,7.6,1.3,9.6,15.4,1.6,1.7
162,TPB,2023-09-19,2023-09-19,7.6,1.3,9.5,15.3,1.6,1.7
163,TPB,2023-09-20,2023-09-20,7.8,1.3,9.6,15.5,1.6,1.8
