,ticker,fromDate,toDate,PE,PB,industryPE,vnindexPE,industryPB,vnindexPB
0,TTN,2023-01-27,2023-01-27,7.3,0.6,19.8,11.9,2.2,1.7
1,TTN,2023-01-30,2023-01-30,7.4,0.6,19.6,12.2,2.2,1.7
2,TTN,2023-01-31,2023-01-31,7.5,0.6,35.0,12.3,2.3,1.7
3,TTN,2023-02-01,2023-02-01,7.9,0.6,35.0,12.1,2.3,1.6
4,TTN,2023-02-02,2023-02-02,7.7,0.6,33.7,12.2,2.3,1.6
5,TTN,2023-02-03,2023-02-03,7.9,0.6,21.9,12.2,2.2,1.6
6,TTN,2023-02-06,2023-02-06,8.0,0.6,21.5,12.3,2.2,1.6
7,TTN,2023-02-07,2023-02-07,7.8,0.6,21.5,12.1,2.2,1.6
8,TTN,2023-02-08,2023-02-08,7.9,0.6,21.3,12.1,2.1,1.6
9,TTN,2023-02-09,2023-02-09,8.1,0.6,21.6,12.1,2.2,1.6
10,TTN,2023-02-10,2023-02-10,7.9,0.6,21.5,12.0,2.2,1.6
11,TTN,2023-02-13,2023-02-13,7.8,0.6,20.9,11.9,2.1,1.6
12,TTN,2023-02-14,2023-02-14,7.7,0.6,21.1,11.9,2.1,1.6
13,TTN,2023-02-15,2023-02-15,7.9,0.6,21.6,12.0,2.2,1.6
14,TTN,2023-02-16,2023-02-16,8.0,0.6,21.7,12.1,2.2,1.6
15,TTN,2023-02-17,2023-02-17,8.0,0.6,21.9,12.1,2.2,1.6
16,TTN,2023-02-20,2023-02-20,8.0,0.6,22.2,12.3,2.2,1.6
17,TTN,2023-02-21,2023-02-21,7.9,0.6,22.3,12.3,2.2,1.6
18,TTN,2023-02-22,2023-02-22,7.8,0.6,21.7,12.0,2.2,1.6
19,TTN,2023-02-23,2023-02-23,8.0,0.6,21.3,12.0,2.1,1.6
20,TTN,2023-02-24,2023-02-24,8.1,0.6,21.4,11.8,2.1,1.6
21,TTN,2023-02-27,2023-02-27,8.0,0.6,21.0,11.6,2.1,1.5
22,TTN,2023-02-28,2023-02-28,8.0,0.6,21.0,11.6,2.1,1.5
23,TTN,2023-03-01,2023-03-01,8.0,0.6,21.1,11.8,2.1,1.6
24,TTN,2023-03-02,2023-03-02,8.0,0.6,21.2,11.8,2.1,1.6
25,TTN,2023-03-03,2023-03-03,8.0,0.6,21.1,11.7,2.1,1.5
26,TTN,2023-03-06,2023-03-06,7.9,0.6,21.2,11.8,2.1,1.5
27,TTN,2023-03-07,2023-03-07,7.8,0.6,21.2,11.8,2.1,1.6
28,TTN,2023-03-08,2023-03-08,8.0,0.6,21.1,11.9,2.1,1.6
29,TTN,2023-03-09,2023-03-09,8.4,0.7,21.3,12.0,2.1,1.6
