,ticker,fromDate,toDate,PE,PB,industryPE,vnindexPE,industryPB,vnindexPB
0,VCB,2023-01-27,2023-01-27,14.2,3.0,8.9,11.9,1.6,1.7
1,VCB,2023-01-30,2023-01-30,13.8,2.9,8.6,12.2,1.5,1.7
2,VCB,2023-01-31,2023-01-31,14.1,3.0,8.6,12.3,1.6,1.7
3,VCB,2023-02-01,2023-02-01,13.6,2.9,8.3,12.1,1.5,1.6
4,VCB,2023-02-02,2023-02-02,13.9,3.0,8.3,12.2,1.5,1.6
5,VCB,2023-02-03,2023-02-03,14.2,3.0,8.3,12.2,1.5,1.6
6,VCB,2023-02-06,2023-02-06,14.7,3.1,8.5,12.3,1.5,1.6
7,VCB,2023-02-07,2023-02-07,14.1,3.0,8.3,12.1,1.5,1.6
8,VCB,2023-02-08,2023-02-08,14.4,3.1,8.4,12.1,1.5,1.6
9,VCB,2023-02-09,2023-02-09,14.2,3.0,8.4,12.1,1.5,1.6
10,VCB,2023-02-10,2023-02-10,14.5,3.1,8.2,12.0,1.5,1.6
11,VCB,2023-02-13,2023-02-13,14.3,3.1,8.2,11.9,1.5,1.6
12,VCB,2023-02-14,2023-02-14,14.2,3.0,8.1,11.9,1.5,1.6
13,VCB,2023-02-15,2023-02-15,14.2,3.0,8.2,12.0,1.5,1.6
14,VCB,2023-02-16,2023-02-16,14.1,3.0,8.3,12.1,1.5,1.6
15,VCB,2023-02-17,2023-02-17,14.2,3.0,8.3,12.1,1.5,1.6
16,VCB,2023-02-20,2023-02-20,14.4,3.1,8.5,12.3,1.5,1.6
17,VCB,2023-02-21,2023-02-21,14.4,3.1,8.5,12.3,1.5,1.6
18,VCB,2023-02-22,2023-02-22,14.2,3.0,8.3,12.0,1.5,1.6
19,VCB,2023-02-23,2023-02-23,14.3,3.1,8.3,12.0,1.5,1.6
20,VCB,2023-02-24,2023-02-24,14.3,3.1,8.2,11.8,1.5,1.6
21,VCB,2023-02-27,2023-02-27,14.2,3.0,8.1,11.6,1.5,1.5
22,VCB,2023-02-28,2023-02-28,14.3,3.1,8.1,11.6,1.5,1.5
23,VCB,2023-03-01,2023-03-01,14.2,3.0,8.3,11.8,1.5,1.6
24,VCB,2023-03-02,2023-03-02,14.3,3.0,8.3,11.8,1.5,1.6
25,VCB,2023-03-03,2023-03-03,13.9,3.0,8.1,11.7,1.5,1.5
26,VCB,2023-03-06,2023-03-06,13.9,3.0,8.2,11.8,1.5,1.5
27,VCB,2023-03-07,2023-03-07,14.1,3.0,8.3,11.8,1.5,1.6
28,VCB,2023-03-08,2023-03-08,14.1,3.0,8.4,11.9,1.5,1.6
29,VCB,2023-03-09,2023-03-09,14.2,3.0,8.4,12.0,1.5,1.6
30,VCB,2023-03-10,2023-03-10,14.1,3.0,8.4,12.0,1.5,1.6
31,VCB,2023-03-13,2023-03-13,14.0,3.0,8.3,12.0,1.5,1.6
32,VCB,2023-03-14,2023-03-14,13.9,3.0,8.2,11.8,1.5,1.6
33,VCB,2023-03-15,2023-03-15,14.0,3.0,8.4,12.1,1.5,1.6
34,VCB,2023-03-16,2023-03-16,13.9,3.0,8.3,11.9,1.5,1.6
35,VCB,2023-03-17,2023-03-17,13.6,2.9,8.2,11.9,1.5,1.6
36,VCB,2023-03-20,2023-03-20,13.0,2.8,8.0,11.7,1.5,1.5
37,VCB,2023-03-21,2023-03-21,13.2,2.8,8.1,11.7,1.5,1.5
38,VCB,2023-03-22,2023-03-22,13.6,2.9,8.2,11.8,1.5,1.6
39,VCB,2023-03-23,2023-03-23,13.9,3.0,8.3,11.9,1.5,1.6
40,VCB,2023-03-24,2023-03-24,13.6,2.9,8.3,11.9,1.5,1.6
41,VCB,2023-03-27,2023-03-27,13.9,3.0,8.3,11.9,1.5,1.6
42,VCB,2023-03-28,2023-03-28,14.1,3.0,8.4,12.0,1.5,1.6
43,VCB,2023-03-29,2023-03-29,14.1,3.0,8.4,12.0,1.5,1.6
44,VCB,2023-03-30,2023-03-30,14.2,3.0,8.4,12.0,1.5,1.6
45,VCB,2023-03-31,2023-03-31,14.0,3.0,8.5,12.1,1.5,1.6
46,VCB,2023-04-03,2023-04-03,13.6,2.9,8.6,12.2,1.5,1.6
47,VCB,2023-04-04,2023-04-04,13.4,2.9,8.6,12.2,1.5,1.6
48,VCB,2023-04-05,2023-04-05,13.5,2.9,8.6,12.3,1.5,1.6
49,VCB,2023-04-06,2023-04-06,13.3,2.8,8.5,12.2,1.5,1.6
50,VCB,2023-04-07,2023-04-07,13.1,2.8,8.5,12.1,1.5,1.6
51,VCB,2023-04-10,2023-04-10,13.0,2.8,8.4,12.1,1.5,1.6
52,VCB,2023-04-11,2023-04-11,12.9,2.7,8.4,12.1,1.5,1.6
53,VCB,2023-04-12,2023-04-12,12.9,2.7,8.4,12.2,1.5,1.6
54,VCB,2023-04-13,2023-04-13,12.9,2.7,8.4,12.1,1.5,1.6
55,VCB,2023-04-14,2023-04-14,12.9,2.8,8.4,12.0,1.5,1.6
56,VCB,2023-04-17,2023-04-17,12.9,2.8,8.4,12.0,1.5,1.6
57,VCB,2023-04-18,2023-04-18,12.9,2.7,8.3,12.0,1.5,1.6
58,VCB,2023-04-19,2023-04-19,12.9,2.8,8.3,11.9,1.5,1.6
59,VCB,2023-04-20,2023-04-20,12.9,2.7,8.3,12.0,1.4,1.5
60,VCB,2023-04-21,2023-04-21,12.8,2.7,8.2,12.0,1.5,1.6
61,VCB,2023-04-24,2023-04-24,12.8,2.7,8.2,11.8,1.5,1.5
62,VCB,2023-04-25,2023-04-25,12.9,2.7,8.2,11.8,1.5,1.5
63,VCB,2023-04-26,2023-04-26,13.1,2.8,8.3,11.9,1.5,1.6
64,VCB,2023-04-27,2023-04-27,13.1,2.8,8.3,11.9,1.5,1.6
65,VCB,2023-04-28,2023-04-28,13.2,2.8,8.2,12.3,1.5,1.5
66,VCB,2023-05-04,2023-05-04,12.9,2.8,8.3,12.5,1.4,1.5
67,VCB,2023-05-05,2023-05-05,13.1,2.8,8.3,12.5,1.4,1.5
68,VCB,2023-05-08,2023-05-08,13.6,2.9,8.4,12.7,1.4,1.5
69,VCB,2023-05-09,2023-05-09,13.5,2.9,8.4,12.7,1.4,1.5
70,VCB,2023-05-10,2023-05-10,13.4,2.9,8.4,12.7,1.5,1.5
71,VCB,2023-05-11,2023-05-11,13.3,2.8,8.4,12.8,1.4,1.5
72,VCB,2023-05-12,2023-05-12,13.6,2.9,8.5,12.9,1.5,1.6
73,VCB,2023-05-15,2023-05-15,13.4,2.9,8.5,12.8,1.5,1.6
74,VCB,2023-05-16,2023-05-16,13.5,2.9,8.5,12.9,1.5,1.6
75,VCB,2023-05-17,2023-05-17,13.6,2.9,8.4,12.8,1.4,1.5
76,VCB,2023-05-18,2023-05-18,13.9,3.0,8.5,12.9,1.5,1.6
77,VCB,2023-05-19,2023-05-19,13.8,2.9,8.5,12.9,1.5,1.6
78,VCB,2023-05-22,2023-05-22,13.6,2.9,8.5,12.9,1.5,1.6
79,VCB,2023-05-23,2023-05-23,13.6,2.9,8.5,12.9,1.5,1.6
80,VCB,2023-05-24,2023-05-24,13.5,2.9,8.4,12.8,1.4,1.6
81,VCB,2023-05-25,2023-05-25,13.6,2.9,8.4,12.9,1.4,1.6
82,VCB,2023-05-26,2023-05-26,13.4,2.9,8.4,12.8,1.4,1.6
83,VCB,2023-05-29,2023-05-29,13.6,2.9,8.5,13.0,1.5,1.6
84,VCB,2023-05-30,2023-05-30,13.8,2.9,8.5,13.0,1.5,1.6
85,VCB,2023-05-31,2023-05-31,13.7,2.9,8.4,13.0,1.5,1.6
86,VCB,2023-06-01,2023-06-01,13.7,2.9,8.5,13.1,1.5,1.6
87,VCB,2023-06-02,2023-06-02,13.9,3.0,8.8,13.2,1.5,1.6
88,VCB,2023-06-05,2023-06-05,14.3,3.1,8.8,13.3,1.5,1.6
89,VCB,2023-06-06,2023-06-06,14.5,3.1,8.9,13.4,1.5,1.6
90,VCB,2023-06-07,2023-06-07,14.2,3.0,8.9,13.4,1.5,1.6
91,VCB,2023-06-08,2023-06-08,14.6,3.1,8.8,13.3,1.5,1.6
92,VCB,2023-06-09,2023-06-09,14.7,3.1,8.8,13.2,1.5,1.6
93,VCB,2023-06-12,2023-06-12,14.8,3.1,8.9,13.5,1.5,1.6
94,VCB,2023-06-13,2023-06-13,15.0,3.2,8.9,13.5,1.5,1.6
95,VCB,2023-06-14,2023-06-14,15.0,3.2,8.9,13.5,1.5,1.6
96,VCB,2023-06-15,2023-06-15,15.1,3.2,8.9,13.4,1.5,1.6
97,VCB,2023-06-16,2023-06-16,15.3,3.3,9.0,13.4,1.5,1.6
98,VCB,2023-06-19,2023-06-19,14.9,3.2,8.9,13.3,1.5,1.6
99,VCB,2023-06-20,2023-06-20,14.6,3.1,8.8,13.4,1.5,1.6
