,ticker,fromDate,toDate,PE,PB,industryPE,vnindexPE,industryPB,vnindexPB
0,VGI,2023-01-27,2023-01-27,1682.1,2.4,19.8,11.9,2.2,1.7
1,VGI,2023-01-30,2023-01-30,1660.3,2.4,19.6,12.2,2.2,1.7
2,VGI,2023-01-31,2023-01-31,1624.1,2.3,35.0,12.3,2.3,1.7
3,VGI,2023-02-01,2023-02-01,1624.1,2.3,35.0,12.1,2.3,1.6
4,VGI,2023-02-02,2023-02-02,1551.6,2.2,33.7,12.2,2.3,1.6
5,VGI,2023-02-03,2023-02-03,1537.1,2.2,21.9,12.2,2.2,1.6
6,VGI,2023-02-06,2023-02-06,1500.8,2.1,21.5,12.3,2.2,1.6
7,VGI,2023-02-07,2023-02-07,1515.3,2.2,21.5,12.1,2.2,1.6
8,VGI,2023-02-08,2023-02-08,1500.8,2.1,21.3,12.1,2.1,1.6
9,VGI,2023-02-09,2023-02-09,1522.6,2.2,21.6,12.1,2.2,1.6
10,VGI,2023-02-10,2023-02-10,1515.3,2.2,21.5,12.0,2.2,1.6
11,VGI,2023-02-13,2023-02-13,1464.5,2.1,20.9,11.9,2.1,1.6
12,VGI,2023-02-14,2023-02-14,1479.1,2.1,21.1,11.9,2.1,1.6
13,VGI,2023-02-15,2023-02-15,1515.3,2.2,21.6,12.0,2.2,1.6
14,VGI,2023-02-16,2023-02-16,1529.8,2.2,21.7,12.1,2.2,1.6
15,VGI,2023-02-17,2023-02-17,1529.8,2.2,21.9,12.1,2.2,1.6
16,VGI,2023-02-20,2023-02-20,1558.8,2.2,22.2,12.3,2.2,1.6
17,VGI,2023-02-21,2023-02-21,1566.1,2.2,22.3,12.3,2.2,1.6
18,VGI,2023-02-22,2023-02-22,1515.3,2.2,21.7,12.0,2.2,1.6
19,VGI,2023-02-23,2023-02-23,1479.1,2.1,21.3,12.0,2.1,1.6
20,VGI,2023-02-24,2023-02-24,1486.3,2.1,21.4,11.8,2.1,1.6
21,VGI,2023-02-27,2023-02-27,1457.3,2.1,21.0,11.6,2.1,1.5
22,VGI,2023-02-28,2023-02-28,1457.3,2.1,21.0,11.6,2.1,1.5
23,VGI,2023-03-01,2023-03-01,1464.5,2.1,21.1,11.8,2.1,1.6
