,ticker,fromDate,toDate,PE,PB,industryPE,vnindexPE,industryPB,vnindexPB
0,VHM,2023-01-27,2023-01-27,6.4,1.5,16.7,11.9,1.5,1.7
1,VHM,2023-01-30,2023-01-30,6.2,1.4,17.7,12.2,1.4,1.7
2,VHM,2023-01-31,2023-01-31,6.2,1.4,16.1,12.3,1.4,1.7
3,VHM,2023-02-01,2023-02-01,5.8,1.3,15.7,12.1,1.4,1.6
4,VHM,2023-02-02,2023-02-02,5.8,1.3,15.7,12.2,1.4,1.6
5,VHM,2023-02-03,2023-02-03,5.8,1.3,15.7,12.2,1.4,1.6
6,VHM,2023-02-06,2023-02-06,5.8,1.3,15.8,12.3,1.4,1.6
7,VHM,2023-02-07,2023-02-07,5.7,1.3,15.5,12.1,1.4,1.6
8,VHM,2023-02-08,2023-02-08,5.6,1.3,15.4,12.1,1.3,1.6
9,VHM,2023-02-09,2023-02-09,5.5,1.3,15.2,12.1,1.3,1.6
10,VHM,2023-02-10,2023-02-10,5.5,1.3,15.1,12.0,1.3,1.6
11,VHM,2023-02-13,2023-02-13,5.4,1.2,14.8,11.9,1.3,1.6
12,VHM,2023-02-14,2023-02-14,5.2,1.2,14.6,11.9,1.3,1.6
13,VHM,2023-02-15,2023-02-15,5.1,1.2,14.7,12.0,1.3,1.6
14,VHM,2023-02-16,2023-02-16,5.1,1.2,14.8,12.1,1.3,1.6
15,VHM,2023-02-17,2023-02-17,5.2,1.2,14.9,12.1,1.3,1.6
16,VHM,2023-02-20,2023-02-20,5.5,1.3,15.2,12.3,1.3,1.6
17,VHM,2023-02-21,2023-02-21,5.5,1.3,15.3,12.3,1.3,1.6
18,VHM,2023-02-22,2023-02-22,5.2,1.2,14.7,12.0,1.3,1.6
19,VHM,2023-02-23,2023-02-23,5.1,1.2,14.6,12.0,1.3,1.6
20,VHM,2023-02-24,2023-02-24,5.0,1.1,14.4,11.8,1.3,1.6
21,VHM,2023-02-27,2023-02-27,4.9,1.1,14.2,11.6,1.2,1.5
22,VHM,2023-02-28,2023-02-28,5.0,1.1,14.3,11.6,1.3,1.5
23,VHM,2023-03-01,2023-03-01,5.0,1.1,14.3,11.8,1.3,1.6
24,VHM,2023-03-02,2023-03-02,5.0,1.1,14.2,11.8,1.2,1.6
25,VHM,2023-03-03,2023-03-03,5.0,1.1,14.2,11.7,1.2,1.5
26,VHM,2023-03-06,2023-03-06,5.1,1.2,14.4,11.8,1.3,1.5
27,VHM,2023-03-07,2023-03-07,5.1,1.2,14.4,11.8,1.3,1.6
28,VHM,2023-03-08,2023-03-08,5.1,1.2,14.5,11.9,1.3,1.6
29,VHM,2023-03-09,2023-03-09,5.1,1.2,14.6,12.0,1.3,1.6
30,VHM,2023-03-10,2023-03-10,5.2,1.2,14.6,12.0,1.3,1.6
31,VHM,2023-03-13,2023-03-13,5.4,1.2,14.8,12.0,1.3,1.6
32,VHM,2023-03-14,2023-03-14,5.4,1.2,14.6,11.8,1.3,1.6
33,VHM,2023-03-15,2023-03-15,5.6,1.3,14.9,12.1,1.3,1.6
34,VHM,2023-03-16,2023-03-16,5.4,1.2,14.7,11.9,1.3,1.6
35,VHM,2023-03-17,2023-03-17,5.2,1.2,14.7,11.9,1.3,1.6
36,VHM,2023-03-20,2023-03-20,5.1,1.2,14.5,11.7,1.3,1.5
37,VHM,2023-03-21,2023-03-21,5.5,1.3,14.8,11.7,1.3,1.5
38,VHM,2023-03-22,2023-03-22,5.8,1.3,15.0,11.8,1.3,1.6
39,VHM,2023-03-23,2023-03-23,5.8,1.3,15.0,11.9,1.3,1.6
40,VHM,2023-03-24,2023-03-24,5.9,1.4,15.2,11.9,1.3,1.6
41,VHM,2023-03-27,2023-03-27,5.9,1.3,15.2,11.9,1.3,1.6
42,VHM,2023-03-28,2023-03-28,5.8,1.3,15.1,12.0,1.3,1.6
43,VHM,2023-03-29,2023-03-29,5.8,1.3,15.2,12.0,1.3,1.6
44,VHM,2023-03-30,2023-03-30,6.0,1.4,15.3,12.0,1.3,1.6
45,VHM,2023-03-31,2023-03-31,6.2,1.4,15.6,12.1,1.4,1.6
46,VHM,2023-04-03,2023-04-03,5.1,1.4,16.1,12.2,1.4,1.6
47,VHM,2023-04-04,2023-04-04,4.9,1.3,15.9,12.2,1.4,1.6
48,VHM,2023-04-05,2023-04-05,5.0,1.4,15.9,12.3,1.4,1.6
49,VHM,2023-04-06,2023-04-06,5.0,1.3,15.8,12.2,1.4,1.6
50,VHM,2023-04-07,2023-04-07,4.9,1.3,15.7,12.1,1.4,1.6
51,VHM,2023-04-10,2023-04-10,4.8,1.3,15.6,12.1,1.4,1.6
52,VHM,2023-04-11,2023-04-11,5.0,1.3,15.8,12.1,1.4,1.6
53,VHM,2023-04-12,2023-04-12,5.0,1.3,15.8,12.2,1.4,1.6
54,VHM,2023-04-13,2023-04-13,4.9,1.3,15.6,12.1,1.4,1.6
55,VHM,2023-04-14,2023-04-14,4.8,1.3,15.4,12.0,1.4,1.6
56,VHM,2023-04-17,2023-04-17,4.9,1.3,15.5,12.0,1.4,1.6
57,VHM,2023-04-18,2023-04-18,4.9,1.3,15.6,12.0,1.4,1.6
58,VHM,2023-04-19,2023-04-19,4.9,1.3,15.4,11.9,1.4,1.6
59,VHM,2023-04-20,2023-04-20,4.9,1.3,14.4,12.0,1.3,1.5
60,VHM,2023-04-21,2023-04-21,4.9,1.3,15.5,12.0,1.3,1.6
61,VHM,2023-04-24,2023-04-24,4.9,1.3,13.9,11.8,1.3,1.5
62,VHM,2023-04-25,2023-04-25,4.9,1.3,13.9,11.8,1.4,1.5
63,VHM,2023-04-26,2023-04-26,4.6,1.3,13.8,11.9,1.3,1.6
64,VHM,2023-04-27,2023-04-27,4.6,1.2,13.7,11.9,1.3,1.6
65,VHM,2023-04-28,2023-04-28,4.8,1.3,13.9,12.3,1.3,1.5
66,VHM,2023-05-04,2023-05-04,4.8,1.3,14.2,12.5,1.3,1.5
