,ticker,fromDate,toDate,PE,PB,industryPE,vnindexPE,industryPB,vnindexPB
0,VIB,2023-01-27,2023-01-27,5.1,1.4,8.9,11.9,1.6,1.7
1,VIB,2023-01-30,2023-01-30,5.0,1.4,8.6,12.2,1.5,1.7
2,VIB,2023-01-31,2023-01-31,5.1,1.4,8.6,12.3,1.6,1.7
3,VIB,2023-02-01,2023-02-01,5.2,1.4,8.3,12.1,1.5,1.6
4,VIB,2023-02-02,2023-02-02,5.2,1.4,8.3,12.2,1.5,1.6
5,VIB,2023-02-03,2023-02-03,5.3,1.4,8.3,12.2,1.5,1.6
6,VIB,2023-02-06,2023-02-06,5.2,1.4,8.5,12.3,1.5,1.6
7,VIB,2023-02-07,2023-02-07,5.0,1.4,8.3,12.1,1.5,1.6
8,VIB,2023-02-08,2023-02-08,5.1,1.4,8.4,12.1,1.5,1.6
9,VIB,2023-02-09,2023-02-09,5.0,1.4,8.4,12.1,1.5,1.6
10,VIB,2023-02-10,2023-02-10,4.8,1.3,8.2,12.0,1.5,1.6
11,VIB,2023-02-13,2023-02-13,4.6,1.2,8.2,11.9,1.5,1.6
12,VIB,2023-02-14,2023-02-14,4.7,1.3,8.1,11.9,1.5,1.6
13,VIB,2023-02-15,2023-02-15,4.7,1.3,8.2,12.0,1.5,1.6
14,VIB,2023-02-16,2023-02-16,4.8,1.3,8.3,12.1,1.5,1.6
15,VIB,2023-02-17,2023-02-17,4.9,1.3,8.3,12.1,1.5,1.6
16,VIB,2023-02-20,2023-02-20,5.0,1.4,8.5,12.3,1.5,1.6
17,VIB,2023-02-21,2023-02-21,5.0,1.3,8.5,12.3,1.5,1.6
18,VIB,2023-02-22,2023-02-22,4.8,1.3,8.3,12.0,1.5,1.6
19,VIB,2023-02-23,2023-02-23,4.9,1.3,8.3,12.0,1.5,1.6
20,VIB,2023-02-24,2023-02-24,4.8,1.3,8.2,11.8,1.5,1.6
21,VIB,2023-02-27,2023-02-27,4.7,1.3,8.1,11.6,1.5,1.5
22,VIB,2023-02-28,2023-02-28,4.7,1.3,8.1,11.6,1.5,1.5
23,VIB,2023-03-01,2023-03-01,4.8,1.3,8.3,11.8,1.5,1.6
24,VIB,2023-03-02,2023-03-02,4.8,1.3,8.3,11.8,1.5,1.6
25,VIB,2023-03-03,2023-03-03,4.7,1.3,8.1,11.7,1.5,1.5
26,VIB,2023-03-06,2023-03-06,4.7,1.3,8.2,11.8,1.5,1.5
27,VIB,2023-03-07,2023-03-07,4.7,1.3,8.3,11.8,1.5,1.6
28,VIB,2023-03-08,2023-03-08,4.7,1.3,8.4,11.9,1.5,1.6
29,VIB,2023-03-09,2023-03-09,4.8,1.3,8.4,12.0,1.5,1.6
30,VIB,2023-03-10,2023-03-10,4.8,1.3,8.4,12.0,1.5,1.6
31,VIB,2023-03-13,2023-03-13,4.7,1.3,8.3,12.0,1.5,1.6
32,VIB,2023-03-14,2023-03-14,4.6,1.2,8.2,11.8,1.5,1.6
33,VIB,2023-03-15,2023-03-15,4.9,1.3,8.4,12.1,1.5,1.6
34,VIB,2023-03-16,2023-03-16,4.8,1.3,8.3,11.9,1.5,1.6
35,VIB,2023-03-17,2023-03-17,4.8,1.3,8.2,11.9,1.5,1.6
36,VIB,2023-03-20,2023-03-20,4.7,1.3,8.0,11.7,1.5,1.5
37,VIB,2023-03-21,2023-03-21,4.7,1.3,8.1,11.7,1.5,1.5
38,VIB,2023-03-22,2023-03-22,4.7,1.3,8.2,11.8,1.5,1.6
39,VIB,2023-03-23,2023-03-23,4.7,1.3,8.3,11.9,1.5,1.6
40,VIB,2023-03-24,2023-03-24,4.8,1.3,8.3,11.9,1.5,1.6
41,VIB,2023-03-27,2023-03-27,4.8,1.3,8.3,11.9,1.5,1.6
42,VIB,2023-03-28,2023-03-28,4.8,1.3,8.4,12.0,1.5,1.6
43,VIB,2023-03-29,2023-03-29,4.8,1.3,8.4,12.0,1.5,1.6
44,VIB,2023-03-30,2023-03-30,4.9,1.3,8.4,12.0,1.5,1.6
45,VIB,2023-03-31,2023-03-31,4.9,1.3,8.5,12.1,1.5,1.6
46,VIB,2023-04-03,2023-04-03,4.9,1.3,8.6,12.2,1.5,1.6
47,VIB,2023-04-04,2023-04-04,5.0,1.3,8.6,12.2,1.5,1.6
48,VIB,2023-04-05,2023-04-05,4.9,1.3,8.6,12.3,1.5,1.6
49,VIB,2023-04-06,2023-04-06,4.8,1.3,8.5,12.2,1.5,1.6
50,VIB,2023-04-07,2023-04-07,4.8,1.3,8.5,12.1,1.5,1.6
51,VIB,2023-04-10,2023-04-10,4.8,1.3,8.4,12.1,1.5,1.6
52,VIB,2023-04-11,2023-04-11,4.8,1.3,8.4,12.1,1.5,1.6
53,VIB,2023-04-12,2023-04-12,4.9,1.3,8.4,12.2,1.5,1.6
54,VIB,2023-04-13,2023-04-13,4.8,1.3,8.4,12.1,1.5,1.6
55,VIB,2023-04-14,2023-04-14,4.8,1.3,8.4,12.0,1.5,1.6
56,VIB,2023-04-17,2023-04-17,4.7,1.3,8.4,12.0,1.5,1.6
57,VIB,2023-04-18,2023-04-18,4.7,1.3,8.3,12.0,1.5,1.6
58,VIB,2023-04-19,2023-04-19,4.7,1.2,8.3,11.9,1.5,1.6
59,VIB,2023-04-20,2023-04-20,4.7,1.2,8.3,12.0,1.4,1.5
60,VIB,2023-04-21,2023-04-21,4.6,1.2,8.2,12.0,1.5,1.6
61,VIB,2023-04-24,2023-04-24,4.7,1.2,8.2,11.8,1.5,1.5
62,VIB,2023-04-25,2023-04-25,4.6,1.2,8.2,11.8,1.5,1.5
63,VIB,2023-04-26,2023-04-26,4.7,1.2,8.3,11.9,1.5,1.6
64,VIB,2023-04-27,2023-04-27,4.6,1.2,8.3,11.9,1.5,1.6
65,VIB,2023-04-28,2023-04-28,4.7,1.2,8.2,12.3,1.5,1.5
66,VIB,2023-05-04,2023-05-04,4.6,1.2,8.3,12.5,1.4,1.5
67,VIB,2023-05-05,2023-05-05,4.6,1.2,8.3,12.5,1.4,1.5
68,VIB,2023-05-08,2023-05-08,4.7,1.2,8.4,12.7,1.4,1.5
69,VIB,2023-05-09,2023-05-09,4.6,1.2,8.4,12.7,1.4,1.5
70,VIB,2023-05-10,2023-05-10,4.7,1.3,8.4,12.7,1.5,1.5
71,VIB,2023-05-11,2023-05-11,4.7,1.2,8.4,12.8,1.4,1.5
72,VIB,2023-05-12,2023-05-12,4.7,1.2,8.5,12.9,1.5,1.6
73,VIB,2023-05-15,2023-05-15,4.8,1.3,8.5,12.8,1.5,1.6
74,VIB,2023-05-16,2023-05-16,4.8,1.3,8.5,12.9,1.5,1.6
75,VIB,2023-05-17,2023-05-17,4.8,1.3,8.4,12.8,1.4,1.5
76,VIB,2023-05-18,2023-05-18,4.9,1.3,8.5,12.9,1.5,1.6
77,VIB,2023-05-19,2023-05-19,4.9,1.3,8.5,12.9,1.5,1.6
78,VIB,2023-05-22,2023-05-22,5.0,1.3,8.5,12.9,1.5,1.6
79,VIB,2023-05-23,2023-05-23,4.9,1.3,8.5,12.9,1.5,1.6
80,VIB,2023-05-24,2023-05-24,4.8,1.3,8.4,12.8,1.4,1.6
81,VIB,2023-05-25,2023-05-25,4.8,1.3,8.4,12.9,1.4,1.6
82,VIB,2023-05-26,2023-05-26,4.8,1.3,8.4,12.8,1.4,1.6
83,VIB,2023-05-29,2023-05-29,4.9,1.3,8.5,13.0,1.5,1.6
84,VIB,2023-05-30,2023-05-30,4.9,1.3,8.5,13.0,1.5,1.6
85,VIB,2023-05-31,2023-05-31,4.9,1.3,8.4,13.0,1.5,1.6
86,VIB,2023-06-01,2023-06-01,4.9,1.3,8.5,13.1,1.5,1.6
87,VIB,2023-06-02,2023-06-02,5.3,1.4,8.8,13.2,1.5,1.6
88,VIB,2023-06-05,2023-06-05,5.3,1.4,8.8,13.3,1.5,1.6
89,VIB,2023-06-06,2023-06-06,5.4,1.4,8.9,13.4,1.5,1.6
90,VIB,2023-06-07,2023-06-07,5.4,1.4,8.9,13.4,1.5,1.6
91,VIB,2023-06-08,2023-06-08,5.2,1.4,8.8,13.3,1.5,1.6
92,VIB,2023-06-09,2023-06-09,5.4,1.4,8.8,13.2,1.5,1.6
93,VIB,2023-06-12,2023-06-12,5.4,1.4,8.9,13.5,1.5,1.6
94,VIB,2023-06-13,2023-06-13,5.4,1.4,8.9,13.5,1.5,1.6
95,VIB,2023-06-14,2023-06-14,5.3,1.4,8.9,13.5,1.5,1.6
96,VIB,2023-06-15,2023-06-15,5.3,1.4,8.9,13.4,1.5,1.6
97,VIB,2023-06-16,2023-06-16,5.3,1.4,9.0,13.4,1.5,1.6
98,VIB,2023-06-19,2023-06-19,5.3,1.4,8.9,13.3,1.5,1.6
99,VIB,2023-06-20,2023-06-20,5.3,1.4,8.8,13.4,1.5,1.6
100,VIB,2023-06-21,2023-06-21,5.3,1.4,8.8,13.4,1.5,1.6
101,VIB,2023-06-22,2023-06-22,5.4,1.4,8.9,13.5,1.5,1.6
102,VIB,2023-06-23,2023-06-23,5.5,1.5,9.0,13.6,1.5,1.6
103,VIB,2023-06-26,2023-06-26,5.5,1.5,9.0,13.6,1.5,1.6
104,VIB,2023-06-27,2023-06-27,5.4,1.4,9.0,13.6,1.5,1.6
105,VIB,2023-06-28,2023-06-28,5.5,1.4,9.1,13.7,1.6,1.7
106,VIB,2023-06-29,2023-06-29,5.4,1.4,9.0,13.6,1.5,1.6
107,VIB,2023-06-30,2023-06-30,5.4,1.4,8.9,13.5,1.5,1.6
108,VIB,2023-07-03,2023-07-03,5.5,1.3,8.9,13.5,1.5,1.6
